,time,signal,type,phrase,results
0,146.64454555511475,has_information,,,"4379,3302,2243,5798,2257,886,1745,1300,5488,3772,2580,1251,5610,2321,5740,744,2908,1275,5765,2943,307,448,3557,4270,3296,2510,1175,4957,1115,1499,3811,4670,923,1969,2410,4172,3101,4370,1910,4486,3762,1274,2514,1399,3155,4803,5218,4667,4382,2717,3129,5499,3191,1010,3079,1926,2724,5429,453,2177,4414,4274,2451,3711,1209,4397,3354,5362,4401,119,4406,1416,5899,5432,5035,1697,1723,3547,4314,2486,3558,4023,2332,676,4552,3172,5818,2958,5239,1732,1848,5441,2103,2920,5221,3546,4576,4384,2951,2571"
1,161.39071202278137,has_information,Video,Hand,"5740,5765,5768,5722,5757,2832,5770,5727,5742,5764,505,5753,2960,2876,2652,5726,5732,2880,5682,5748,3015,2875,5767,5087,4443,5735,5750,5745,2616,5756,2617,5734,102,2588,5739,5754,3361,2930,2877,3499,2328,2878,2027,5738,2781,5733,5763,5724,1248,5723,5730,2928,5078,5749,5769,4361,5743,2784,5747,2049,5728,5725,2587,2835,519,5731,5746,5373,4045,3501,352,4058,5771,5759,2654,4056,5736,2301,2547,2618,3504,5615,5755,5744,5094,2136,4101,1412,2881,5762,4041,1411,5751,4068,4096,153,671,3759,2516,601"
2,179.20939111709595,has_information,Video,Hand,"421,614,556,629,504,489,34,527,371,83,190,59,453,823,372,316,668,838,782,7,716,761,748,632,528,815,669,550,653,542,56,776,309,833,232,454,28,667,773,373,389,469,539,808,568,741,136,184,36,832,248,822,658,342,349,79,322,50,302,710,115,209,863,726,762,433,260,74,130,173,311,589,149,353,100,436,595,646,128,843,52,117,470,245,476,661,513,175,325,675,279,666,569,253,821,68,393,244,737,223"
3,188.42406225204468,has_information,Audio, ,"421,614,556,629,504,489,34,527,371,83,190,59,453,823,372,316,668,838,782,7,716,761,748,632,528,815,669,550,653,542,56,776,309,833,232,454,28,667,773,373,389,469,539,808,568,741,136,184,36,832,248,822,658,342,349,79,322,50,302,710,115,209,863,726,762,433,260,74,130,173,311,589,149,353,100,436,595,646,128,843,52,117,470,245,476,661,513,175,325,675,279,666,569,253,821,68,393,244,737,223"
4,441.8829514980316,has_item,Audio, ,"747,496,33,438,505,328,563,780,226,16,196,147,616,514,613,216,37,359,346,626,797,337,86,71,811,829,552,257,1,641,81,18,213,530,745,601,200,306,584,809,55,425,212,139,262,766,84,0,300,824,312,588,352,242,555,746,624,638,174,585,769,727,778,445,635,491,67,366,592,420,219,760,665,397,303,448,340,6,640,676,305,851,265,132,603,215,695,644,466,678,35,508,278,90,785,472,183,356,401,462"
5,443.00760793685913,has_item,Movement, ,"352,369,368,367,353,351,1492,1493,373,1867,1619,366,372,1866,357,1494,350,1853,1490,1478,1873,362,370,1869,1477,1874,1865,1604,1242,1622,1872,1616,1491,371,1851,1871,355,1476,354,363,1483,1858,356,241,1870,244,1623,1854,1852,1617,1868,1497,1243,1498,374,1850,240,1856,1624,1603,248,1227,1482,1857,1602,365,225,242,1855,364,1618,358,359,1614,243,116,1609,1607,1606,1226,231,1475,249,1479,1741,1621,115,1228,226,1488,230,1859,1369,1744,119,101,229,1247,1499,1484"
6,445.2612655162811,has_item,Movement, ,"352,369,368,367,353,351,1492,1493,373,1867,1619,366,372,1866,357,1494,350,1853,1490,1478,1873,362,370,1869,1477,1874,1865,1604,1242,1622,1872,1616,1491,371,1851,1871,355,1476,354,363,1483,1858,356,241,1870,244,1623,1854,1852,1617,1868,1497,1243,1498,374,1850,240,1856,1624,1603,248,1227,1482,1857,1602,365,225,242,1855,364,1618,358,359,1614,243,116,1609,1607,1606,1226,231,1475,249,1479,1741,1621,115,1228,226,1488,230,1859,1369,1744,119,101,229,1247,1499,1484"
