,signal,type,query,choice,pid
37,has_information,kinesthetic,"1921,2098,599",1,2
715,has_information,auditory,"38,562,423",0,13
199,has_item,auditory,"515,136,336",3,5
16,searching,auditory,"448,404,12",3,2
311,has_item,auditory,"609,712,314",2,6
168,has_information,auditory,"232,192,595",3,5
1045,searching,visual,"226,4937,3282",0,26
306,has_item,visual,"4277,5236,4016",2,6
978,searching,visual,"3030,3083,641",0,22
833,has_information,kinesthetic,"1343,1341,2094",0,18
294,searching,auditory,"108,478,390",1,6
726,has_item,auditory,"140,765,813",3,13
839,searching,kinesthetic,"1453,93,514",3,19
1012,idle,visual,"1502,5587,4041",1,24
944,has_information,visual,"954,5543,200",0,22
738,searching,auditory,"709,773,567",3,13
729,has_item,kinesthetic,"935,1075,551",3,13
1030,has_item,visual,"4415,4058,2684",0,25
451,has_item,visual,"4532,3668,4241",3,9
885,has_item,visual,"5077,3795,299",0,22
874,has_item,visual,"5425,5697,4785",3,19
565,has_information,auditory,"104,156,283",3,10
539,idle,kinesthetic,"1355,125,1361",2,10
752,idle,visual,"2696,5476,1455",3,13
560,has_information,visual,"560,858,954",0,10
961,idle,visual,"713,1186,4155",2,22
588,searching,auditory,"287,500,112",3,10
910,has_item,visual,"5077,911,1588",0,22
437,idle,visual,"862,1239,5460",1,8
1059,searching,visual,"226,4937,2122",0,26
816,searching,kinesthetic,"100,860,1007",0,18
438,has_item,visual,"4860,240,5075",3,8
1060,searching,visual,"226,4937,3465",0,26
930,has_information,visual,"5137,5854,687",3,22
429,idle,kinesthetic,"1961,1960,1864",0,8
786,idle,kinesthetic,"1939,1935,934",0,15
75,has_information,visual,"374,807,1201",1,3
827,has_information,visual,"5797,241,2318",0,18
388,has_information,auditory,"614,225,629",0,8
13,searching,auditory,"119,438,435",3,2
170,has_information,auditory,"678,112,363",3,5
515,idle,visual,"5055,2376,2760",1,10
721,has_information,visual,"3798,1540,3609",3,13
473,idle,visual,"5798,3549,3950",2,9
368,has_information,visual,"4829,5025,2740",3,7
1017,idle,visual,"114,5587,3168",1,24
834,searching,auditory,"864,193,562",3,19
578,searching,auditory,"768,831,488",3,10
448,has_item,visual,"410,3768,4988",3,8
989,searching,kinesthetic,"835,2085,750",1,22
2,idle,visual,"72,1378,4353",3,2
419,idle,visual,"2595,5547,1789",3,8
235,idle,auditory,"288,740,156",3,5
236,idle,auditory,"288,744,695",3,5
652,searching,visual,"3402,3733,5457",2,11
1051,searching,visual,"226,4937,5173",0,26
768,has_information,kinesthetic,"835,1961,1811",1,14
668,searching,visual,"36,4245,798",0,11
345,has_item,auditory,"753,636,747",3,7
210,idle,visual,"4336,2056,1137",3,5
232,idle,auditory,"288,722,496",3,5
642,searching,visual,"961,136,5163",1,11
209,idle,visual,"3165,3542,1705",3,5
655,searching,visual,"105,5464,5378",1,11
449,has_item,visual,"156,1926,189",3,8
514,idle,visual,"5779,2376,2804",1,10
751,idle,visual,"2696,5476,1455",3,13
175,has_information,kinesthetic,"790,1846,10",3,5
131,searching,visual,"5882,3454,3828",3,4
608,searching,auditory,"288,269,781",3,10
301,searching,kinesthetic,"2116,450,1991",2,6
917,has_item,kinesthetic,"1191,262,1193",2,22
344,has_item,auditory,"261,754,43",3,7
836,searching,auditory,"94,192,612",1,19
518,idle,visual,"5712,911,2760",2,10
479,searching,auditory,"288,249,678",2,9
389,has_information,auditory,"614,371,490",0,8
423,idle,auditory,"207,554,687",3,8
321,idle,visual,"1447,2194,5601",1,7
144,searching,visual,"1291,3483,3035",3,5
351,searching,visual,"2097,5442,3086",3,7
604,searching,auditory,"288,395,196",3,10
365,searching,auditory,"404,211,782",0,7
481,searching,kinesthetic,"493,2066,1835",1,9
563,has_information,visual,"560,5686,591",0,10
403,searching,auditory,"82,265,500",1,8
412,searching,auditory,"288,565,138",3,8
1025,searching,visual,"2198,2226,3337",0,25
616,searching,auditory,"288,5,485",3,10
683,has_information,visual,"1943,5682,5133",3,12
25,searching,visual,"2385,5038,5628",3,2
135,searching,auditory,"196,46,847",2,4
1013,idle,visual,"1502,5587,4041",1,24
88,searching,kinesthetic,"1213,1077,1214",2,3
134,searching,auditory,"141,195,847",2,4
634,searching,visual,"4839,5642,5106",1,11
809,searching,visual,"4796,65,1662",0,17
109,searching,visual,"5787,5781,4604",0,3
411,searching,auditory,"288,148,327",3,8
146,searching,visual,"2583,319,2185",3,5
405,searching,auditory,"288,695,858",1,8
151,searching,auditory,"134,182,156",3,5
867,has_item,visual,"5688,724,2409",3,19
986,searching,kinesthetic,"836,2085,1642",1,22
369,has_information,visual,"5245,5228,5376",3,7
947,has_information,auditory,"494,851,682",3,22
91,searching,kinesthetic,"1428,1448,210",1,3
64,has_information,visual,"3102,469,790",3,3
53,has_item,auditory,"285,466,120",3,2
819,idle,visual,"5357,4364,4334",0,18
575,searching,visual,"3879,3121,55",3,10
918,has_item,kinesthetic,"1183,724,1193",2,22
699,has_information,kinesthetic,"1907,42,1296",3,12
213,idle,visual,"4885,1535,3992",3,5
259,idle,visual,"5628,375,2744",0,6
72,has_information,kinesthetic,"966,1553,1094",2,3
869,has_item,visual,"2453,5712,4409",3,19
811,has_item,visual,"11,4775,5271",0,18
393,searching,visual,"1675,3017,3804",0,8
87,searching,kinesthetic,"1996,479,1214",1,3
507,has_information,kinesthetic,"1066,800,546",3,9
145,searching,visual,"1291,3483,3035",3,5
59,has_item,kinesthetic,"966,2025,969",2,2
409,searching,auditory,"288,64,339",3,8
701,has_information,kinesthetic,"1869,1686,617",3,12
348,has_item,kinesthetic,"871,1902,2056",1,7
740,searching,auditory,"256,154,620",1,13
994,has_item,visual,"1580,1238,5784",3,23
124,has_information,kinesthetic,"1780,152,728",3,4
70,has_information,auditory,"362,635,456",2,3
557,has_information,visual,"560,2994,5208",0,10
625,searching,auditory,"288,516,19",3,10
276,has_information,visual,"1783,1036,3999",0,6
888,has_item,visual,"5077,911,3035",0,22
82,has_item,kinesthetic,"953,1077,1627",0,3
382,has_information,kinesthetic,"1350,992,891",1,7
358,searching,auditory,"329,812,292",2,7
162,has_information,visual,"1006,3247,2472",3,5
733,searching,visual,"5049,4584,5753",3,13
120,idle,visual,"5254,1541,2767",0,4
817,searching,kinesthetic,"245,350,395",1,18
939,has_information,visual,"954,5543,2360",0,22
579,searching,auditory,"194,0,419",3,10
941,has_information,visual,"954,5543,4062",0,22
999,has_information,kinesthetic,"275,1674,276",1,24
1001,has_information,visual,"5571,5551,5861",0,24
660,searching,visual,"4260,187,1071",2,11
1003,has_item,auditory,"322,443,44",0,24
128,has_information,auditory,"223,303,622",1,4
533,idle,auditory,"288,390,396",1,10
506,has_information,kinesthetic,"1803,1822,727",0,9
953,has_information,auditory,"34,690,79",2,22
226,idle,auditory,"757,436,490",3,5
18,searching,auditory,"384,368,687",3,2
85,has_item,kinesthetic,"953,994,651",2,3
696,has_information,visual,"2402,1602,1666",3,12
418,idle,visual,"5677,1432,308",3,8
896,has_item,visual,"5077,1963,808",0,22
732,searching,auditory,"1,83,593",3,13
349,has_item,kinesthetic,"1922,1902,1970",1,7
453,has_item,visual,"4436,5342,2357",0,9
249,idle,auditory,"288,252,161",3,5
692,has_information,visual,"4530,3565,4513",3,12
773,has_item,visual,"499,1637,3358",2,15
1016,idle,visual,"1502,5587,3866",1,24
897,has_item,visual,"5077,911,3034",0,22
266,idle,auditory,"519,644,520",2,6
493,has_information,visual,"2919,4743,3735",3,9
34,has_information,visual,"3302,3461,2527",3,2
892,has_item,auditory,"288,300,388",1,22
548,has_item,auditory,"14,53,721",3,10
923,has_item,auditory,"288,300,24",1,22
