,signal,type,query,choice,pid
1065,searching,visual,"226,4937,1928",0,26
177,has_information,kinesthetic,"2053,1221,1680",3,5
309,has_item,visual,"145,310,4016",2,6
800,idle,visual,"4975,5720,4056",0,17
163,has_information,visual,"1379,2536,5209",3,5
431,idle,kinesthetic,"960,1960,1735",1,8
179,has_information,kinesthetic,"1053,1172,455",3,5
161,has_information,visual,"5646,2314,96",3,5
704,idle,visual,"1500,2107,5703",3,12
848,has_item,visual,"3885,1130,4797",3,19
812,has_item,auditory,"451,447,712",0,18
1007,idle,visual,"5218,5587,317",1,24
813,has_item,kinesthetic,"737,1563,733",2,18
881,has_item,auditory,"316,668,188",0,19
1,idle,visual,"1016,5052,122",3,2
335,has_item,visual,"2080,1733,1787",3,7
33,has_information,visual,"1159,1995,2453",3,2
470,idle,visual,"4576,4708,3950",2,9
823,idle,auditory,"762,757,724",0,18
946,has_information,visual,"4318,2696,1184",0,22
770,has_information,auditory,"350,404,737",0,14
643,searching,visual,"961,136,5163",0,11
998,has_item,visual,"2310,856,4117",3,23
728,has_item,kinesthetic,"580,1200,1547",0,13
690,has_information,visual,"5561,375,5692",3,12
86,has_item,kinesthetic,"953,994,651",2,3
258,idle,visual,"5628,375,1469",0,6
257,idle,visual,"5628,2308,1720",1,6
985,searching,kinesthetic,"1962,2085,1554",1,22
708,idle,kinesthetic,"338,1116,817",3,12
19,searching,auditory,"3,97,772",3,2
173,has_information,kinesthetic,"1247,1464,1747",3,5
1047,searching,visual,"226,4937,4015",0,26
992,searching,kinesthetic,"2086,835,1023",0,22
587,searching,auditory,"778,254,721",3,10
722,has_information,visual,"3798,1540,3609",3,13
8,searching,auditory,"608,442,178",3,2
1040,idle,kinesthetic,"675,695,1181",0,26
866,has_item,visual,"1458,4476,5801",3,19
342,has_item,visual,"1087,1151,5423",1,7
681,has_information,visual,"5148,3969,1055",3,12
909,has_item,visual,"5077,1963,353",0,22
935,has_information,visual,"954,5538,4826",0,22
950,has_information,auditory,"646,269,801",0,22
340,has_item,visual,"1087,1151,3123",1,7
602,searching,auditory,"288,740,57",3,10
845,has_item,visual,"5076,4940,2358",3,19
275,idle,kinesthetic,"1284,1533,419",0,6
370,has_information,visual,"4231,5186,1014",3,7
40,has_information,visual,"5777,914,999",2,2
157,has_information,visual,"2728,5347,2833",3,5
1027,searching,auditory,"53,408,717",0,25
79,idle,kinesthetic,"1377,384,1462",2,3
576,searching,visual,"4698,3694,1619",3,10
189,has_item,visual,"396,1830,2474",3,5
749,idle,visual,"471,3532,4973",3,13
873,has_item,visual,"5464,2898,3414",3,19
760,idle,auditory,"499,301,585",1,13
748,idle,visual,"809,5566,410",3,13
931,has_information,visual,"5268,1803,3467",3,22
1005,searching,kinesthetic,"2047,797,1291",0,24
202,has_item,auditory,"783,341,683",3,5
700,has_information,kinesthetic,"563,1329,635",3,12
977,idle,kinesthetic,"762,2013,126",0,22
517,idle,visual,"4681,4289,2760",2,10
65,has_information,visual,"5047,807,1571",3,3
0,idle,visual,"584,5052,122",1,2
413,searching,auditory,"288,143,29",3,8
387,has_information,kinesthetic,"215,341,1371",0,8
828,has_information,visual,"5797,5180,3393",0,18
156,has_information,visual,"148,4726,1922",3,5
672,searching,visual,"825,3104,2108",1,11
289,searching,visual,"1266,1596,3040",1,6
391,searching,auditory,"583,749,576",2,8
502,has_information,visual,"2982,2565,4985",0,9
887,has_item,visual,"5077,911,2897",0,22
586,searching,auditory,"453,788,286",3,10
489,has_information,visual,"4823,5566,1225",3,9
415,searching,visual,"1269,780,3557",0,8
936,has_information,visual,"954,3812,4490",0,22
601,searching,auditory,"288,277,577",3,10
890,has_item,visual,"5077,1963,4353",0,22
269,idle,auditory,"479,707,520",2,6
613,searching,auditory,"288,662,625",3,10
341,has_item,visual,"1087,1151,3858",1,7
139,searching,kinesthetic,"577,1904,1496",3,4
754,idle,visual,"1663,687,2536",3,13
433,idle,visual,"325,5326,3193",3,8
927,has_item,auditory,"288,300,447",1,22
609,searching,auditory,"288,479,37",3,10
632,searching,visual,"5663,4908,5660",0,11
283,searching,visual,"1704,4013,645",1,6
852,has_item,visual,"4937,4705,1689",3,19
21,searching,auditory,"288,836,693",3,2
461,has_item,auditory,"453,183,577",2,9
444,has_item,auditory,"547,288,19",0,8
859,has_item,visual,"1363,5885,5753",3,19
794,idle,visual,"722,1779,5114",2,17
802,idle,visual,"4975,1112,1149",0,17
15,searching,auditory,"466,695,372",0,2
600,searching,auditory,"288,315,245",3,10
268,idle,auditory,"390,500,520",2,6
114,has_item,auditory,"505,161,613",3,4
969,idle,auditory,"508,60,210",3,22
81,has_item,kinesthetic,"1216,847,1930",1,3
619,searching,auditory,"288,805,712",3,10
241,idle,auditory,"288,673,522",3,5
227,idle,auditory,"196,301,17",3,5
427,idle,auditory,"530,455,481",2,8
66,has_information,visual,"5047,807,1571",1,3
755,idle,visual,"5662,4785,3155",3,13
562,has_information,visual,"560,1740,3196",0,10
234,idle,auditory,"288,9,353",3,5
1035,has_information,visual,"88,3611,1956",0,25
870,has_item,visual,"3736,490,4896",3,19
820,idle,auditory,"662,352,162",3,18
574,searching,visual,"1442,5317,275",3,10
937,has_information,visual,"954,3812,4490",0,22
1057,searching,visual,"226,4937,875",0,26
894,has_item,visual,"5077,1963,4303",0,22
612,searching,auditory,"288,158,350",3,10
229,idle,auditory,"98,427,578",3,5
353,searching,visual,"5446,5442,5693",1,7
211,idle,visual,"2637,2049,2615",3,5
155,has_information,visual,"1666,5726,5256",3,5
580,searching,auditory,"287,694,397",3,10
231,idle,auditory,"401,87,812",3,5
645,searching,visual,"961,5663,5554",2,11
658,searching,visual,"4839,5464,1071",1,11
60,has_item,kinesthetic,"966,1091,286",0,2
499,has_information,visual,"2982,2565,3554",0,9
1018,idle,visual,"1502,5587,1273",1,24
216,idle,auditory,"43,494,708",3,5
1068,searching,kinesthetic,"1216,1206,795",0,26
594,searching,auditory,"33,707,346",2,10
205,has_item,kinesthetic,"1560,910,1467",3,5
956,idle,visual,"1226,4989,4155",2,22
338,has_item,visual,"3489,1151,700",1,7
346,has_item,auditory,"753,409,120",0,7
141,searching,kinesthetic,"266,940,894",3,4
484,has_information,visual,"227,1469,351",3,9
1034,idle,visual,"5723,3272,2067",0,25
307,has_item,visual,"4277,5236,4016",2,6
278,has_information,kinesthetic,"2077,1296,394",0,6
778,has_item,visual,"4927,652,3358",1,15
55,has_item,auditory,"285,27,19",3,2
195,has_item,auditory,"510,431,74",3,5
304,has_item,visual,"5739,1098,2693",0,6
855,has_item,visual,"4230,2738,4799",3,19
1006,idle,visual,"1224,5587,2533",1,24
714,has_information,auditory,"38,341,631",2,13
45,has_item,visual,"2470,3603,3844",3,2
928,has_item,auditory,"288,300,596",1,22
980,searching,auditory,"306,381,437",3,22
822,idle,auditory,"228,757,724",2,18
376,has_information,visual,"4361,3163,1014",2,7
914,has_item,auditory,"288,300,822",1,22
390,has_information,auditory,"614,190,541",0,8
528,idle,visual,"3110,469,2760",2,10
396,searching,visual,"254,3715,1954",3,8
1023,idle,visual,"114,5587,3713",1,24
581,searching,auditory,"346,443,93",3,10
915,has_item,auditory,"288,300,100",1,22
264,idle,auditory,"413,343,520",2,6
1032,has_item,kinesthetic,"1393,1418,1598",0,25
880,has_item,visual,"5233,4576,1730",0,19
246,idle,auditory,"288,289,798",3,5
651,searching,visual,"961,4600,5457",2,11
496,has_information,visual,"4913,3088,3504",1,9
745,idle,visual,"4314,5893,2438",3,13
107,searching,visual,"5787,5604,1377",0,3
299,searching,kinesthetic,"865,1622,1991",2,6
140,searching,kinesthetic,"1637,1687,1364",0,4
970,idle,kinesthetic,"1048,1151,535",3,22
446,has_item,kinesthetic,"1845,1090,2050",3,8
552,has_item,auditory,"315,738,827",3,10
121,has_information,visual,"1344,5217,4771",3,4
1033,idle,kinesthetic,"1510,260,121",0,25
102,searching,visual,"5604,5056,1297",0,3
354,searching,visual,"5446,5442,3445",1,7
312,has_item,auditory,"566,608,314",2,6
315,has_item,auditory,"524,337,320",1,6
174,has_information,kinesthetic,"1247,1464,1747",3,5
960,idle,visual,"1385,1180,4155",2,22
684,has_information,visual,"620,2344,4851",3,12
407,searching,kinesthetic,"239,293,1312",1,8
831,has_information,kinesthetic,"1343,1328,578",0,18
51,has_item,auditory,"576,70,654",3,2
428,idle,kinesthetic,"1961,1804,1962",2,8
614,searching,auditory,"288,662,625",3,10
12,searching,auditory,"285,537,51",3,2
380,has_information,auditory,"653,679,260",2,7
771,has_information,kinesthetic,"1964,1961,667",1,14
921,has_item,auditory,"288,300,208",1,22
529,idle,visual,"3110,788,2760",2,10
988,searching,kinesthetic,"2086,2085,1838",1,22
39,has_information,kinesthetic,"1375,1352,271",3,2
212,idle,visual,"2637,2049,2615",3,5
1048,searching,visual,"226,1289,5821",0,26
698,has_information,kinesthetic,"1337,1002,339",3,12
851,has_item,visual,"1355,2064,236",3,19
362,searching,auditory,"268,846,398",0,7
806,searching,kinesthetic,"164,884,660",0,17
656,searching,visual,"5648,5464,2747",1,11
317,has_item,kinesthetic,"1977,1727,1502",0,6
537,idle,kinesthetic,"1845,1389,85",2,10
287,searching,visual,"3424,1596,792",1,6
589,searching,auditory,"287,500,112",3,10
511,idle,visual,"4516,4507,575",2,10
217,idle,auditory,"211,65,713",3,5
29,searching,visual,"1583,2105,5668",3,2
675,searching,visual,"1048,1265,5792",0,11
400,searching,visual,"254,2738,4289",3,8
818,searching,kinesthetic,"366,350,1342",1,18
846,has_item,visual,"2963,3900,4578",3,19
84,has_item,kinesthetic,"1097,1098,651",0,3
629,searching,visual,"824,4954,1481",1,11
805,searching,auditory,"464,441,368",0,17
48,has_item,auditory,"626,471,300",3,2
840,searching,kinesthetic,"1044,762,1754",3,19
958,idle,visual,"3812,2098,4155",2,22
136,searching,auditory,"802,543,480",3,4
606,searching,auditory,"288,763,302",3,10
316,has_item,kinesthetic,"1977,4,568",0,6
583,searching,auditory,"780,861,697",3,10
402,searching,auditory,"82,265,500",3,8
801,idle,visual,"4975,1112,1149",0,17
253,idle,kinesthetic,"947,1607,780",3,5
942,has_information,visual,"954,5543,4062",0,22
743,searching,kinesthetic,"1729,1362,1749",2,13
465,has_item,kinesthetic,"1167,920,2071",3,9
814,has_item,kinesthetic,"737,1563,733",2,18
1046,searching,visual,"226,4937,5255",0,26
959,idle,visual,"3812,18,4155",2,22
224,idle,auditory,"79,245,471",2,5
218,idle,auditory,"497,376,606",3,5
127,has_information,auditory,"644,14,480",3,4
731,searching,auditory,"341,103,783",3,13
106,searching,visual,"5787,3682,1884",0,3
967,idle,auditory,"63,424,391",3,22
367,searching,kinesthetic,"133,255,961",0,7
624,searching,auditory,"288,483,614",3,10
98,searching,auditory,"275,678,250",0,3
476,idle,auditory,"147,542,21",3,9
260,idle,visual,"5628,1004,2454",0,6
860,has_item,visual,"1363,5885,5753",3,19
392,searching,visual,"1675,3653,1023",0,8
647,searching,visual,"961,1423,5554",2,11
49,has_item,auditory,"626,471,300",3,2
674,searching,visual,"1048,1265,5792",0,11
158,has_information,visual,"574,3969,421",3,5
237,idle,auditory,"288,570,383",3,5
620,searching,auditory,"288,661,402",3,10
185,has_item,visual,"1520,3767,3261",3,5
222,idle,auditory,"830,420,111",3,5
905,has_item,visual,"5077,1963,469",0,22
641,searching,visual,"4788,136,5187",1,11
621,searching,auditory,"288,514,187",3,10
401,searching,visual,"1269,780,3557",0,8
876,has_item,visual,"22,4024,2381",3,19
824,idle,kinesthetic,"517,737,1925",2,18
920,has_item,kinesthetic,"1142,1449,1193",2,22
471,idle,visual,"5292,4739,3950",2,9
788,has_item,auditory,"295,148,658",0,16
929,has_information,visual,"2572,3978,5686",3,22
534,idle,auditory,"288,286,658",0,10
1061,searching,visual,"226,4937,1213",0,26
495,has_information,visual,"5456,3088,5327",3,9
1067,searching,visual,"226,4937,3677",0,26
233,idle,auditory,"288,371,590",3,5
856,has_item,visual,"2470,3820,2831",3,19
713,has_information,auditory,"421,556,631",0,13
239,idle,auditory,"288,61,263",3,5
452,has_item,visual,"4436,2450,4983",3,9
945,has_information,visual,"954,5543,5509",0,22
480,searching,visual,"5431,4677,2587",3,9
572,has_information,auditory,"592,422,125",3,10
750,idle,visual,"3590,738,4595",3,13
254,idle,kinesthetic,"1082,1607,762",1,5
377,has_information,visual,"4361,3163,1014",2,7
492,has_information,visual,"4244,5417,1456",3,9
150,searching,auditory,"33,863,342",3,5
530,idle,auditory,"570,627,264",1,10
52,has_item,auditory,"285,466,120",3,2
248,idle,auditory,"288,200,155",3,5
884,has_item,visual,"5077,911,1588",3,22
1043,searching,visual,"226,2081,345",0,26
872,has_item,visual,"945,2651,1589",3,19
255,idle,kinesthetic,"218,739,1064",3,5
670,searching,visual,"4250,3104,4619",1,11
712,has_information,visual,"5798,4983,955",2,13
954,has_information,auditory,"134,24,79",2,22
302,searching,kinesthetic,"1741,1069,1991",2,6
1011,idle,visual,"114,5587,2377",1,24
966,idle,visual,"1385,4134,4155",2,22
334,has_item,visual,"4579,663,2383",3,7
93,searching,auditory,"95,729,614",3,3
355,searching,visual,"5798,5442,1492",1,7
826,idle,kinesthetic,"1945,1925,1066",0,18
63,has_information,visual,"5783,5774,5066",3,3
837,searching,kinesthetic,"1860,1909,478",0,19
724,has_item,visual,"954,4824,5832",3,13
297,searching,auditory,"99,735,183",2,6
531,idle,auditory,"218,46,445",0,10
564,has_information,visual,"560,858,264",0,10
490,has_information,visual,"5788,5567,4925",3,9
99,searching,auditory,"275,734,628",0,3
310,has_item,visual,"145,5326,4016",2,6
115,has_item,auditory,"747,674,366",3,4
1052,searching,visual,"226,4937,5218",0,26
193,has_item,visual,"2599,2787,3371",3,5
577,searching,auditory,"210,78,508",3,10
337,has_item,visual,"2470,1151,3943",1,7
516,idle,visual,"4145,5482,2760",2,10
807,searching,visual,"4796,907,4137",0,17
171,has_information,auditory,"806,462,26",3,5
829,has_information,auditory,"136,272,71",2,18
1028,searching,kinesthetic,"1256,927,1623",2,25
615,searching,auditory,"288,541,451",3,10
132,searching,visual,"211,3991,3527",3,4
225,idle,auditory,"757,436,490",3,5
504,has_information,visual,"2982,2565,79",0,9
154,searching,auditory,"359,476,370",3,5
491,has_information,visual,"102,3856,4614",3,9
408,searching,kinesthetic,"282,297,1232",0,8
26,searching,visual,"5222,3622,5741",3,2
519,idle,visual,"4679,3597,2760",2,10
445,has_item,kinesthetic,"747,1527,622",2,8
1002,has_information,visual,"5571,4782,5177",0,24
551,has_item,visual,"72,772,3686",0,10
440,has_item,visual,"395,819,4366",0,8
191,has_item,visual,"1851,815,918",3,5
907,has_item,visual,"5077,795,5634",0,22
282,searching,visual,"3918,4013,5575",1,6
891,has_item,auditory,"288,300,596",1,22
825,idle,kinesthetic,"1945,1925,2049",0,18
397,searching,visual,"254,4583,5537",0,8
113,has_item,auditory,"525,262,449",3,4
436,idle,visual,"1749,1239,3295",3,8
521,idle,visual,"5066,794,2760",2,10
198,has_item,auditory,"515,136,336",3,5
693,has_information,visual,"1549,3357,4654",3,12
654,searching,visual,"701,5464,5457",1,11
251,idle,auditory,"288,13,262",3,5
181,has_item,visual,"1118,1436,3866",3,5
42,has_information,auditory,"449,192,215",3,2
295,searching,auditory,"192,478,183",1,6
123,has_information,visual,"4948,1425,4065",2,4
908,has_item,visual,"5077,1963,5539",0,22
545,has_item,auditory,"208,112,693",3,10
765,has_information,visual,"685,467,1367",0,14
417,idle,visual,"809,3552,2140",3,8
422,idle,auditory,"525,792,205",3,8
467,has_item,kinesthetic,"1167,1158,1780",0,9
526,idle,visual,"3110,4918,2760",2,10
559,has_information,visual,"560,5685,3890",0,10
326,idle,auditory,"27,661,86",2,7
360,searching,auditory,"268,411,292",2,7
469,idle,visual,"4576,4708,3950",2,9
902,has_item,visual,"5077,3968,459",0,22
455,has_item,visual,"3727,4436,3218",0,9
618,searching,auditory,"288,135,424",3,10
188,has_item,visual,"504,1282,1432",3,5
520,idle,visual,"4679,4207,2760",2,10
356,searching,visual,"5798,114,2379",0,7
147,searching,visual,"2637,1644,2960",3,5
649,searching,visual,"961,2603,1349",0,11
482,searching,kinesthetic,"1551,187,1550",2,9
477,idle,auditory,"147,542,21",3,9
280,searching,visual,"3918,1704,2157",0,6
142,searching,kinesthetic,"1136,896,177",3,4
871,has_item,visual,"4264,5236,4181",3,19
597,searching,auditory,"288,57,233",3,10
1063,searching,visual,"226,4937,5551",0,26
379,has_information,auditory,"50,53,260",2,7
687,has_information,visual,"4795,2322,2713",3,12
1049,searching,visual,"226,4937,2660",0,26
680,has_information,visual,"1758,2582,5010",3,12
6,searching,auditory,"1,262,455",3,2
952,has_information,auditory,"476,704,79",2,22
1056,searching,visual,"226,4937,560",0,26
319,has_item,kinesthetic,"1977,1992,1892",1,6
673,searching,visual,"1048,3104,2123",1,11
603,searching,auditory,"288,145,584",3,10
290,searching,auditory,"214,522,316",0,6
46,has_item,visual,"11,2791,5466",0,2
1024,idle,visual,"1502,5587,3057",1,24
425,idle,auditory,"464,802,481",3,8
957,idle,visual,"3812,2098,4155",2,22
197,has_item,auditory,"208,384,98",3,5
924,has_item,auditory,"288,300,537",1,22
753,idle,visual,"1663,687,2536",3,13
347,has_item,auditory,"301,95,120",2,7
1054,searching,visual,"226,4937,1883",0,26
464,has_item,kinesthetic,"528,452,985",3,9
595,searching,auditory,"288,814,445",3,10
104,searching,visual,"5787,4090,1696",1,3
747,idle,visual,"3558,5837,2189",3,13
406,searching,auditory,"288,695,645",1,8
798,idle,visual,"1911,2221,4537",0,17
879,has_item,kinesthetic,"967,133,2093",2,19
160,has_information,visual,"5551,1223,1204",3,5
653,searching,visual,"701,5464,5457",2,11
913,has_item,auditory,"288,300,14",1,22
126,has_information,kinesthetic,"444,817,583",1,4

