condition,rank,signal,trial,modality,id,pid
autoencoder,3,searching,24,visual,3290,0
contrastive+autoencoder,4,searching,24,visual,5807,0
contrastive+autoencoder,0,searching,25,auditory,536,0
contrastive+VAE,1,searching,25,auditory,820,0
contrastive,2,searching,25,auditory,808,0
autoencoder,3,searching,25,auditory,529,0
VAE,4,searching,25,auditory,615,0
contrastive,0,searching,26,kinetic,744,0
contrastive+autoencoder,1,searching,26,kinetic,1733,0
autoencoder,2,searching,26,kinetic,1739,0
VAE,3,searching,26,kinetic,1736,0
contrastive+VAE,4,searching,26,kinetic,1731,0
autoencoder,0,searching,27,auditory,0,0
contrastive+VAE,1,searching,27,auditory,64,0
VAE,2,searching,27,auditory,211,0
contrastive+autoencoder,3,searching,27,auditory,120,0
contrastive,4,searching,27,auditory,782,0
autoencoder,0,searching,28,visual,3551,0
contrastive+autoencoder,1,searching,28,visual,5142,0
contrastive,2,searching,28,visual,333,0
VAE,3,searching,28,visual,2930,0
contrastive+VAE,4,searching,28,visual,226,0
VAE,0,searching,29,kinetic,1570,0
contrastive+VAE,1,searching,29,kinetic,1571,0
contrastive+autoencoder,2,searching,29,kinetic,1550,0
autoencoder,3,searching,29,kinetic,1561,0
contrastive,4,searching,29,kinetic,353,0
