condition,rank,signal,trial,modality,id
autoencoder,0,searching,0,visual,2815
VAE,1,searching,0,visual,5483
contrastive,2,searching,0,visual,3277
contrastive+autoencoder,3,searching,0,visual,2791
random,4,searching,0,visual,4866
contrastive+autoencoder,0,searching,1,visual,5176
autoencoder,1,searching,1,visual,4132
contrastive,2,searching,1,visual,1352
VAE,3,searching,1,visual,5457
random,4,searching,1,visual,584
random,0,searching,2,visual,778
VAE,1,searching,2,visual,4728
contrastive+autoencoder,2,searching,2,visual,5314
contrastive,3,searching,2,visual,4663
autoencoder,4,searching,2,visual,5802
random,0,searching,3,visual,4520
autoencoder,1,searching,3,visual,4525
contrastive,2,searching,3,visual,4617
VAE,3,searching,3,visual,4924
contrastive+autoencoder,4,searching,3,visual,4650
contrastive,0,searching,4,visual,499
autoencoder,1,searching,4,visual,170
contrastive+autoencoder,2,searching,4,visual,5786
random,3,searching,4,visual,2604
VAE,4,searching,4,visual,4937
random,0,searching,5,visual,1171
contrastive,1,searching,5,visual,1129
VAE,2,searching,5,visual,3455
autoencoder,3,searching,5,visual,2471
contrastive+autoencoder,4,searching,5,visual,998
contrastive,0,searching,6,visual,2580
contrastive+autoencoder,1,searching,6,visual,1790
autoencoder,2,searching,6,visual,4603
random,3,searching,6,visual,5441
VAE,4,searching,6,visual,1675
contrastive,0,searching,7,visual,11
VAE,1,searching,7,visual,2556
contrastive+autoencoder,2,searching,7,visual,3656
random,3,searching,7,visual,2805
autoencoder,4,searching,7,visual,1438
contrastive+autoencoder,0,searching,8,visual,2127
contrastive,1,searching,8,visual,378
random,2,searching,8,visual,717
autoencoder,3,searching,8,visual,348
VAE,4,searching,8,visual,170
random,0,searching,9,visual,2361
contrastive,1,searching,9,visual,2289
VAE,2,searching,9,visual,2896
autoencoder,3,searching,9,visual,1362
contrastive+autoencoder,4,searching,9,visual,5807
random,0,searching,10,auditory,308
contrastive+autoencoder,1,searching,10,auditory,209
contrastive,2,searching,10,auditory,522
VAE,3,searching,10,auditory,702
autoencoder,4,searching,10,auditory,291
random,0,searching,11,auditory,827
contrastive+autoencoder,1,searching,11,auditory,379
contrastive,2,searching,11,auditory,324
autoencoder,3,searching,11,auditory,107
VAE,4,searching,11,auditory,733
contrastive+autoencoder,0,searching,12,auditory,613
contrastive,1,searching,12,auditory,494
autoencoder,2,searching,12,auditory,650
VAE,3,searching,12,auditory,682
random,4,searching,12,auditory,328
VAE,0,searching,13,auditory,717
autoencoder,1,searching,13,auditory,99
contrastive+autoencoder,2,searching,13,auditory,97
contrastive,3,searching,13,auditory,292
random,4,searching,13,auditory,225
VAE,0,searching,14,auditory,44
random,1,searching,14,auditory,552
autoencoder,2,searching,14,auditory,63
contrastive+autoencoder,3,searching,14,auditory,48
contrastive,4,searching,14,auditory,172
contrastive,0,searching,15,auditory,470
VAE,1,searching,15,auditory,426
contrastive+autoencoder,2,searching,15,auditory,482
autoencoder,3,searching,15,auditory,742
random,4,searching,15,auditory,660
contrastive,0,searching,16,auditory,397
contrastive+autoencoder,1,searching,16,auditory,274
random,2,searching,16,auditory,280
autoencoder,3,searching,16,auditory,736
VAE,4,searching,16,auditory,842
contrastive+autoencoder,0,searching,17,auditory,669
VAE,1,searching,17,auditory,102
contrastive,2,searching,17,auditory,414
autoencoder,3,searching,17,auditory,88
random,4,searching,17,auditory,128
VAE,0,searching,18,auditory,182
random,1,searching,18,auditory,385
contrastive,2,searching,18,auditory,274
autoencoder,3,searching,18,auditory,228
contrastive+autoencoder,4,searching,18,auditory,192
autoencoder,0,searching,19,auditory,176
contrastive,1,searching,19,auditory,272
VAE,2,searching,19,auditory,24
random,3,searching,19,auditory,551
contrastive+autoencoder,4,searching,19,auditory,597
VAE,0,searching,20,kinetic,1382
contrastive,1,searching,20,kinetic,1835
autoencoder,2,searching,20,kinetic,1444
random,3,searching,20,kinetic,1442
contrastive+autoencoder,4,searching,20,kinetic,1390
autoencoder,0,searching,21,kinetic,1560
contrastive,1,searching,21,kinetic,1933
VAE,2,searching,21,kinetic,1570
contrastive+autoencoder,3,searching,21,kinetic,1555
random,4,searching,21,kinetic,1571
contrastive+autoencoder,0,searching,22,kinetic,1508
autoencoder,1,searching,22,kinetic,1503
VAE,2,searching,22,kinetic,1512
random,3,searching,22,kinetic,1502
contrastive,4,searching,22,kinetic,1598
random,0,searching,23,kinetic,470
contrastive+autoencoder,1,searching,23,kinetic,455
autoencoder,2,searching,23,kinetic,471
VAE,3,searching,23,kinetic,473
contrastive,4,searching,23,kinetic,451
random,0,searching,24,kinetic,360
