condition,rank,signal,trial,modality,id,pid
VAE,0,idle,0,visual,339,4
contrastive,1,idle,0,visual,4942,4
autoencoder,2,idle,0,visual,4498,4
random,3,idle,0,visual,4636,4
contrastive+autoencoder,4,idle,0,visual,5783,4
random,0,idle,1,visual,5511,4
VAE,1,idle,1,visual,766,4
contrastive+autoencoder,2,idle,1,visual,3757,4
autoencoder,3,idle,1,visual,5474,4
contrastive,4,idle,1,visual,4404,4
contrastive,0,idle,2,visual,341,4
VAE,1,idle,2,visual,3651,4
autoencoder,2,idle,2,visual,4014,4
random,3,idle,2,visual,3413,4
contrastive+autoencoder,4,idle,2,visual,5149,4
contrastive,0,idle,3,kinetic,498,4
random,1,idle,3,kinetic,2122,4
autoencoder,2,idle,3,kinetic,2114,4
contrastive+autoencoder,3,idle,3,kinetic,2113,4
VAE,4,idle,3,kinetic,2108,4
autoencoder,0,idle,4,visual,5573,4
contrastive,1,idle,4,visual,3971,4
random,2,idle,4,visual,2378,4
contrastive+autoencoder,3,idle,4,visual,4255,4
VAE,4,idle,4,visual,2385,4
VAE,0,idle,5,auditory,245,4
autoencoder,1,idle,5,auditory,27,4
contrastive,2,idle,5,auditory,326,4
contrastive+autoencoder,3,idle,5,auditory,551,4
random,4,idle,5,auditory,750,4
random,0,idle,6,visual,2931,4
autoencoder,1,idle,6,visual,4992,4
VAE,2,idle,6,visual,3815,4
contrastive,3,idle,6,visual,2384,4
contrastive+autoencoder,4,idle,6,visual,1312,4
random,0,idle,7,auditory,605,4
contrastive+autoencoder,1,idle,7,auditory,148,4
VAE,2,idle,7,auditory,415,4
autoencoder,3,idle,7,auditory,454,4
contrastive,4,idle,7,auditory,42,4
VAE,0,idle,8,auditory,845,4
contrastive,1,idle,8,auditory,21,4
random,2,idle,8,auditory,314,4
autoencoder,3,idle,8,auditory,744,4
contrastive+autoencoder,4,idle,8,auditory,677,4
random,0,idle,9,kinetic,749,4
autoencoder,1,idle,9,kinetic,746,4
VAE,2,idle,9,kinetic,729,4
contrastive,3,idle,9,kinetic,1725,4
contrastive+autoencoder,4,idle,9,kinetic,736,4
VAE,0,idle,10,auditory,591,4
autoencoder,1,idle,10,auditory,519,4
contrastive,2,idle,10,auditory,62,4
contrastive+autoencoder,3,idle,10,auditory,364,4
random,4,idle,10,auditory,416,4
random,0,idle,11,visual,2969,4
VAE,1,idle,11,visual,5897,4
autoencoder,2,idle,11,visual,5879,4
contrastive+autoencoder,3,idle,11,visual,4440,4
contrastive,4,idle,11,visual,4325,4
VAE,0,idle,12,kinetic,2070,4
contrastive+autoencoder,1,idle,12,kinetic,2071,4
autoencoder,2,idle,12,kinetic,2061,4
contrastive,3,idle,12,kinetic,435,4
random,4,idle,12,kinetic,2064,4
autoencoder,0,idle,13,kinetic,802,4
contrastive,1,idle,13,kinetic,609,4
VAE,2,idle,13,kinetic,806,4
random,3,idle,13,kinetic,800,4
contrastive+autoencoder,4,idle,13,kinetic,801,4
random,0,idle,14,kinetic,1935,4
VAE,1,idle,14,kinetic,1946,4
contrastive+autoencoder,2,idle,14,kinetic,1926,4
autoencoder,3,idle,14,kinetic,1931,4
contrastive,4,idle,14,kinetic,2011,4
contrastive+autoencoder,0,idle,15,auditory,316,4
autoencoder,1,idle,15,auditory,308,4
VAE,2,idle,15,auditory,762,4
random,3,idle,15,auditory,50,4
contrastive,4,idle,15,auditory,55,4
contrastive,0,idle,16,auditory,324,4
VAE,1,idle,16,auditory,733,4
autoencoder,2,idle,16,auditory,107,4
random,3,idle,16,auditory,827,4
contrastive+autoencoder,4,idle,16,auditory,379,4
contrastive,0,idle,17,kinetic,436,4
autoencoder,1,idle,17,kinetic,396,4
VAE,2,idle,17,kinetic,395,4
random,3,idle,17,kinetic,385,4
contrastive+autoencoder,4,idle,17,kinetic,389,4
contrastive+autoencoder,0,idle,18,kinetic,1299,4
contrastive,1,idle,18,kinetic,1328,4
random,2,idle,18,kinetic,1279,4
autoencoder,3,idle,18,kinetic,1294,4
VAE,4,idle,18,kinetic,1291,4
contrastive,0,idle,19,visual,662,4
contrastive+autoencoder,1,idle,19,visual,5786,4
autoencoder,2,idle,19,visual,2014,4
VAE,3,idle,19,visual,3325,4
random,4,idle,19,visual,3324,4
contrastive,0,idle,20,auditory,145,4
VAE,1,idle,20,auditory,323,4
random,2,idle,20,auditory,233,4
contrastive+autoencoder,3,idle,20,auditory,637,4
autoencoder,4,idle,20,auditory,524,4
