condition,rank,signal,trial,modality,id,pid
contrastive+autoencoder,0,has_information,0,visual,1395,3
autoencoder,1,has_information,0,visual,3696,3
VAE,2,has_information,0,visual,3580,3
random,3,has_information,0,visual,5516,3
contrastive,4,has_information,0,visual,2394,3
autoencoder,0,has_information,1,visual,4146,3
VAE,1,has_information,1,visual,756,3
contrastive,2,has_information,1,visual,1321,3
contrastive+autoencoder,3,has_information,1,visual,1785,3
random,4,has_information,1,visual,3088,3
contrastive,0,has_information,2,visual,5012,3
contrastive+autoencoder,1,has_information,2,visual,2756,3
random,2,has_information,2,visual,2518,3
VAE,3,has_information,2,visual,2526,3
autoencoder,4,has_information,2,visual,1696,3
autoencoder,0,has_information,3,visual,3619,3
contrastive+autoencoder,1,has_information,3,visual,1138,3
random,2,has_information,3,visual,5332,3
contrastive,3,has_information,3,visual,4748,3
VAE,4,has_information,3,visual,2278,3
random,0,has_information,4,visual,3015,3
autoencoder,1,has_information,4,visual,2630,3
contrastive,2,has_information,4,visual,2916,3
contrastive+autoencoder,3,has_information,4,visual,311,3
VAE,4,has_information,4,visual,187,3
random,0,has_information,5,visual,5444,3
contrastive+autoencoder,1,has_information,5,visual,3865,3
autoencoder,2,has_information,5,visual,958,3
VAE,3,has_information,5,visual,856,3
contrastive,4,has_information,5,visual,5729,3
random,0,has_information,6,visual,441,3
autoencoder,1,has_information,6,visual,267,3
contrastive+autoencoder,2,has_information,6,visual,20,3
contrastive,3,has_information,6,visual,106,3
VAE,4,has_information,6,visual,4448,3
contrastive,0,has_information,7,auditory,61,3
contrastive+autoencoder,1,has_information,7,auditory,490,3
VAE,2,has_information,7,auditory,232,3
random,3,has_information,7,auditory,721,3
autoencoder,4,has_information,7,auditory,213,3
contrastive+autoencoder,0,has_information,8,auditory,177,3
VAE,1,has_information,8,auditory,728,3
random,2,has_information,8,auditory,789,3
autoencoder,3,has_information,8,auditory,803,3
contrastive,4,has_information,8,auditory,507,3
contrastive,0,has_information,9,auditory,118,3
contrastive+autoencoder,1,has_information,9,auditory,6,3
random,2,has_information,9,auditory,448,3
VAE,3,has_information,9,auditory,404,3
autoencoder,4,has_information,9,auditory,626,3
contrastive,0,has_information,10,auditory,173,3
contrastive+autoencoder,1,has_information,10,auditory,301,3
random,2,has_information,10,auditory,782,3
autoencoder,3,has_information,10,auditory,308,3
VAE,4,has_information,10,auditory,513,3
contrastive+autoencoder,0,has_information,11,auditory,238,3
VAE,1,has_information,11,auditory,859,3
random,2,has_information,11,auditory,245,3
contrastive,3,has_information,11,auditory,785,3
autoencoder,4,has_information,11,auditory,602,3
contrastive+autoencoder,0,has_information,12,auditory,491,3
random,1,has_information,12,auditory,771,3
VAE,2,has_information,12,auditory,228,3
autoencoder,3,has_information,12,auditory,581,3
contrastive,4,has_information,12,auditory,330,3
random,0,has_information,13,auditory,560,3
autoencoder,1,has_information,13,auditory,485,3
contrastive+autoencoder,2,has_information,13,auditory,242,3
contrastive,3,has_information,13,auditory,6,3
VAE,4,has_information,13,auditory,414,3
random,0,has_information,14,kinetic,42,3
contrastive+autoencoder,1,has_information,14,kinetic,30,3
VAE,2,has_information,14,kinetic,40,3
autoencoder,3,has_information,14,kinetic,31,3
contrastive,4,has_information,14,kinetic,1793,3
contrastive+autoencoder,0,has_information,15,kinetic,216,3
contrastive,1,has_information,15,kinetic,1084,3
autoencoder,2,has_information,15,kinetic,205,3
random,3,has_information,15,kinetic,219,3
VAE,4,has_information,15,kinetic,217,3
contrastive,0,has_information,16,kinetic,1957,3
contrastive+autoencoder,1,has_information,16,kinetic,1344,3
autoencoder,2,has_information,16,kinetic,1341,3
VAE,3,has_information,16,kinetic,1342,3
random,4,has_information,16,kinetic,1340,3
contrastive+autoencoder,0,has_information,17,kinetic,1675,3
contrastive,1,has_information,17,kinetic,1939,3
autoencoder,2,has_information,17,kinetic,1937,3
random,3,has_information,17,kinetic,437,3
VAE,4,has_information,17,kinetic,1947,3
VAE,0,has_information,18,kinetic,1529,3
random,1,has_information,18,kinetic,1534,3
autoencoder,2,has_information,18,kinetic,1539,3
contrastive+autoencoder,3,has_information,18,kinetic,1542,3
contrastive,4,has_information,18,kinetic,1715,3
random,0,has_information,19,kinetic,2097,3
contrastive+autoencoder,1,has_information,19,kinetic,2098,3
VAE,2,has_information,19,kinetic,2078,3
contrastive,3,has_information,19,kinetic,846,3
autoencoder,4,has_information,19,kinetic,2079,3
contrastive+autoencoder,0,has_information,20,kinetic,2059,3
autoencoder,1,has_information,20,kinetic,1893,3
random,2,has_information,20,kinetic,1894,3
VAE,3,has_information,20,kinetic,1890,3
contrastive,4,has_information,20,kinetic,766,3
