,time,signal,type,query,choice
0,272.0917022228241,has_information,kinesthetic,[ 275 1674  276],1
1,278.40223574638367,has_information,kinesthetic,"1284,1291,276",2
2,307.9007058143616,has_information,visual,[5571 5551 5861],0
3,318.95622158050537,has_information,visual,"5571,4782,5177",0
4,376.39575386047363,has_item,auditory,"322,443,44",0
5,389.50952410697937,has_item,visual,"3927,2453,1723",2
6,483.3036296367645,searching,kinesthetic,"2047,797,1291",0
7,564.4041187763214,idle,visual,"1224,5587,2533",1
8,566.247073173523,idle,visual,"5218,5587,317",1
9,567.4813590049744,idle,visual,"114,5587,4646",1
10,569.3243114948273,idle,visual,"1224,5587,2848",1
11,570.5724937915802,idle,visual,"1224,5587,2848",1
12,572.0870213508606,idle,visual,"114,5587,2377",1
13,573.1137392520905,idle,visual,"1502,5587,4041",1
14,574.9540891647339,idle,visual,"1502,5587,4041",1
15,576.6916043758392,idle,visual,"114,5587,5124",1
16,577.9210035800934,idle,visual,"1502,5587,3866",1
17,580.685298204422,idle,visual,"1502,5587,3866",1
18,582.5282399654388,idle,visual,"114,5587,3168",1
19,584.1660676002502,idle,visual,"1502,5587,1273",1
20,585.9127078056335,idle,visual,"114,5587,4230",1
21,587.7504189014435,idle,visual,"114,5587,378",1
22,589.2863354682922,idle,visual,"1502,5587,3797",1
23,590.8248047828674,idle,visual,"114,5587,2449",1
24,592.3587625026703,idle,visual,"114,5587,3713",1
25,593.280264377594,idle,visual,"1502,5587,3057",1
