,time,signal,type,query,choice
0,175.65439772605896,idle,visual,,0
1,214.62177276611328,idle,visual,"5628,2308,1720",1
2,219.2453203201294,idle,visual,"5628,375,1469",0
3,237.66054892539978,idle,visual,"5628,375,2744",0
4,240.32866096496582,idle,visual,"5628,1004,2454",0
5,268.2811350822449,idle,visual,"2765,1004,2454",0
6,297.07513213157654,idle,auditory,,1
7,305.24353861808777,idle,auditory,"413,343,520",0
8,315.70788764953613,idle,auditory,"413,343,520",2
9,327.671240568161,idle,auditory,"9,240,520",2
10,337.80789589881897,idle,auditory,"519,644,520",2
11,359.4125690460205,idle,auditory,"834,541,520",2
12,380.5888350009918,idle,auditory,"390,500,520",2
13,390.314199924469,idle,auditory,"479,707,520",2
14,422.0805296897888,idle,kinesthetic,,1
15,432.12191438674927,idle,kinesthetic,"706,580,1293",1
16,450.86190819740295,idle,kinesthetic,"1284,332,1293",2
17,460.3032763004303,idle,kinesthetic,"1284,1291,1684",0
18,476.6609408855438,idle,kinesthetic,"1284,1286,943",0
19,486.18934869766235,idle,kinesthetic,"1284,1533,419",0
20,774.3422989845276,has_information,visual,"1783,1036,3999",0
21,777.7219891548157,has_information,auditory,"12,594,286",0
22,779.0343518257141,has_information,kinesthetic,"2077,1296,394",0
23,830.7548604011536,searching,visual,"3918,871,2998",0
24,835.1722092628479,searching,visual,"3918,1704,2157",0
25,846.8399069309235,searching,visual,"3918,4013,5575",0
26,850.6150541305542,searching,visual,"3918,4013,5575",1
27,858.2018077373505,searching,visual,"1704,4013,645",1
28,865.2734115123749,searching,visual,"4013,2300,645",2
29,867.4239735603333,searching,visual,"3424,2424,645",2
30,876.5668179988861,searching,visual,"3441,1596,645",2
31,886.5103006362915,searching,visual,"3424,1596,792",1
32,888.8252143859863,searching,visual,"1349,1596,1606",1
33,892.0971686840057,searching,visual,"1266,1596,3040",1
34,903.3029336929321,searching,auditory,"214,522,316",0
35,916.8802342414856,searching,auditory,"848,522,818",1
36,926.7118446826935,searching,auditory,"848,522,818",1
37,932.2468149662018,searching,auditory,"9,478,32",0
38,933.7792356014252,searching,auditory,"108,478,390",1
39,940.7425644397736,searching,auditory,"192,478,183",1
40,949.4447996616364,searching,auditory,"588,404,183",2
41,962.3532900810242,searching,auditory,"99,735,183",2
42,969.2951664924622,searching,kinesthetic,"2014,2013,1991",1
43,976.0012340545654,searching,kinesthetic,"865,1622,1991",2
44,985.6943361759186,searching,kinesthetic,"1741,1896,1991",2
45,993.4767632484436,searching,kinesthetic,"2116,450,1991",2
46,1000.8522560596466,searching,kinesthetic,"1741,1069,1991",2
47,1230.53879737854,has_item,visual,"5739,1098,2693",0
48,1233.3019750118256,has_item,visual,"5739,1098,2693",0
49,1242.2142379283905,has_item,visual,"5739,5053,4016",2
50,1244.6764121055603,has_item,visual,"4277,5236,4016",2
51,1248.3346526622772,has_item,visual,"4277,5236,4016",2
52,1258.493952035904,has_item,visual,"145,310,4016",2
53,1264.5136351585388,has_item,visual,"145,310,4016",2
54,1271.0881333351135,has_item,visual,"145,5326,4016",2
55,1287.6793503761292,has_item,auditory,"609,712,314",2
56,1292.5897607803345,has_item,auditory,"566,608,314",2
57,1304.2586109638214,has_item,auditory,"5,183,107",1
58,1319.0092549324036,has_item,auditory,"568,337,107",2
59,1328.9469077587128,has_item,auditory,"524,337,320",1
60,1339.025724887848,has_item,kinesthetic,"1977,4,568",0
61,1348.1938984394073,has_item,kinesthetic,"1977,1727,1502",0
62,1359.3567514419556,has_item,kinesthetic,"1977,1992,1492",0
63,1368.4684064388275,has_item,kinesthetic,"1977,1992,1892",1
