,time,signal,type,query,choice
0,88.46333622932434,searching,visual,,2
1,122.17837572097778,searching,visual,"824,4954,1481",1
2,148.52339482307434,searching,visual,"2176,4954,5029",1
3,157.50122809410095,searching,visual,"98,4954,5660",2
4,176.55413508415222,searching,visual,"5663,4908,5660",0
5,185.76541471481323,searching,visual,"4839,5642,5106",1
6,204.19876098632812,searching,visual,"4839,5642,5106",1
7,206.65499663352966,searching,visual,"4839,5642,3714",1
8,226.8815577030182,searching,visual,"4788,5663,1096",0
9,236.45618867874146,searching,visual,"5642,5663,1904",1
10,241.67895579338074,searching,visual,"5642,5663,1904",1
11,251.09512734413147,searching,visual,"4788,5663,5582",2
12,260.4152834415436,searching,visual,"4788,2686,5582",2
13,267.1768355369568,searching,visual,"4788,136,5187",1
14,274.0249402523041,searching,visual,"961,136,5163",1
15,283.5633735656738,searching,visual,"961,136,5163",0
16,286.2233974933624,searching,visual,"961,5663,4950",1
17,293.910941362381,searching,visual,"961,5663,5554",2
18,295.74341344833374,searching,visual,"961,3955,5554",2
19,301.8880035877228,searching,visual,"961,1423,5554",2
20,310.7971773147583,searching,visual,"961,2603,1349",1
21,323.70241928100586,searching,visual,"961,2603,1349",0
22,332.34765553474426,searching,visual,"961,5642,5457",2
23,341.4893069267273,searching,visual,"961,4600,5457",2
24,352.58105301856995,searching,visual,"3402,3733,5457",2
25,369.5759742259979,searching,visual,"701,5464,5457",2
26,376.5391948223114,searching,visual,"701,5464,5457",1
27,391.28581857681274,searching,visual,"105,5464,5378",1
28,398.97259759902954,searching,visual,"5648,5464,2747",1
29,408.1850483417511,searching,visual,"5655,5464,2812",1
30,415.86295557022095,searching,visual,"4839,5464,1071",1
31,425.07630610466003,searching,visual,"5655,1315,1071",2
32,427.2281606197357,searching,visual,"4260,187,1071",2
33,440.7462999820709,searching,visual,"5648,1872,1071",2
34,447.19616198539734,searching,visual,"5648,888,1071",2
35,464.70743584632874,searching,visual,"1485,825,1071",2
36,474.3313364982605,searching,visual,"1602,825,3644",1
37,482.3192501068115,searching,visual,"1602,825,1960",1
38,492.66483974456787,searching,visual,"4125,825,2169",1
39,507.00036215782166,searching,visual,"36,825,1031",1
40,514.17502617836,searching,visual,"36,4245,798",0
41,523.3832716941833,searching,visual,"36,3104,2699",0
42,529.5270011425018,searching,visual,"4250,3104,4619",1
43,530.9603397846222,searching,visual,"1265,3104,4504",1
44,532.3165545463562,searching,visual,"825,3104,2108",1
45,540.7546956539154,searching,visual,"1048,3104,2123",1
46,550.1871151924133,searching,visual,"1048,1265,5792",0
47,553.062911272049,searching,visual,"1048,1265,5792",0
48,638.3198938369751,searching,auditory,,0
49,660.5584435462952,searching,kinesthetic,,2
