condition,rank,signal,trial,modality,id,pid,name,time
contrastive+autoencoder,0,has_information,0,kinetic,1326,36,1326.png,1714613548624
random,1,has_information,0,kinetic,1325,36,1325.png,1714613548624
autoencoder,2,has_information,0,kinetic,1327,36,1327.png,1714613548624
contrastive,3,has_information,0,kinetic,1272,36,1272.png,1714613548624
contrastive+VAE,4,has_information,0,kinetic,1332,36,1332.png,1714613548624
random,0,has_information,1,kinetic,868,36,868.png,1714613602624
contrastive+autoencoder,1,has_information,1,kinetic,980,36,980.png,1714613602624
contrastive+VAE,2,has_information,1,kinetic,990,36,990.png,1714613602624
VAE,3,has_information,1,kinetic,993,36,993.png,1714613602624
contrastive,4,has_information,1,kinetic,493,36,493.png,1714613602624
VAE,0,has_information,2,kinetic,1661,36,1661.png,1714613656387
contrastive+VAE,1,has_information,2,kinetic,1671,36,1671.png,1714613656387
contrastive,2,has_information,2,kinetic,1651,36,1651.png,1714613656387
autoencoder,3,has_information,2,kinetic,1668,36,1668.png,1714613656387
contrastive+autoencoder,4,has_information,2,kinetic,1667,36,1667.png,1714613656387
autoencoder,0,has_information,3,kinetic,417,36,417.png,1714613724201
contrastive,1,has_information,3,kinetic,1172,36,1172.png,1714613724201
contrastive+VAE,2,has_information,3,kinetic,1663,36,1663.png,1714613724201
random,3,has_information,3,kinetic,1922,36,1922.png,1714613724201
contrastive+autoencoder,4,has_information,3,kinetic,1657,36,1657.png,1714613724201
random,0,has_information,4,kinetic,765,36,765.png,1714613746439
contrastive+VAE,1,has_information,4,kinetic,1332,36,1332.png,1714613746439
contrastive+autoencoder,2,has_information,4,kinetic,1657,36,1657.png,1714613746439
contrastive+autoencoder,3,has_information,4,kinetic,1667,36,1667.png,1714613746439
contrastive,4,has_information,4,kinetic,493,36,493.png,1714613746439
contrastive,0,has_information,5,kinetic,2062,36,2062.png,1714613790991
contrastive+autoencoder,1,has_information,5,kinetic,1675,36,1675.png,1714613790991
VAE,2,has_information,5,kinetic,1933,36,1933.png,1714613790991
random,3,has_information,5,kinetic,1937,36,1937.png,1714613790991
autoencoder,4,has_information,5,kinetic,1682,36,1682.png,1714613790991
contrastive+VAE,0,has_information,6,kinetic,2075,36,2075.png,1714613823070
contrastive,1,has_information,6,kinetic,1286,36,1286.png,1714613823070
VAE,2,has_information,6,kinetic,2077,36,2077.png,1714613823070
random,3,has_information,6,kinetic,2081,36,2081.png,1714613823070
autoencoder,4,has_information,6,kinetic,2076,36,2076.png,1714613823070
VAE,0,has_information,7,kinetic,1890,36,1890.png,1714613856186
random,1,has_information,7,kinetic,1640,36,1640.png,1714613856186
contrastive+autoencoder,2,has_information,7,kinetic,1892,36,1892.png,1714613856186
contrastive,3,has_information,7,kinetic,766,36,766.png,1714613856186
autoencoder,4,has_information,7,kinetic,1893,36,1893.png,1714613856186
random,0,has_information,8,kinetic,942,36,942.png,1714613912280
contrastive,1,has_information,8,kinetic,592,36,592.png,1714613912280
contrastive+VAE,2,has_information,8,kinetic,1068,36,1068.png,1714613912280
contrastive+autoencoder,3,has_information,8,kinetic,1067,36,1067.png,1714613912280
autoencoder,4,has_information,8,kinetic,1065,36,1065.png,1714613912280
autoencoder,0,has_information,9,kinetic,1065,36,1065.png,1714613985164
autoencoder,1,has_information,9,kinetic,1893,36,1893.png,1714613985164
autoencoder,2,has_information,9,kinetic,2076,36,2076.png,1714613985164
autoencoder,3,has_information,9,kinetic,1682,36,1682.png,1714613985164
contrastive,4,has_information,9,kinetic,493,36,493.png,1714613985164
