condition,rank,signal,trial,modality,id,pid,name,time
contrastive+autoencoder,0,searching,0,kinetic,126,9,126.png,1713907243246
VAE,1,searching,0,kinetic,128,9,128.png,1713907243246
random,2,searching,0,kinetic,147,9,147.png,1713907243246
contrastive+VAE,3,searching,0,kinetic,257,9,257.png,1713907243246
autoencoder,4,searching,0,kinetic,132,9,132.png,1713907243246
contrastive+autoencoder,0,searching,1,kinetic,1570,9,1570.png,1713907292758
autoencoder,1,searching,1,kinetic,1555,9,1555.png,1713907292758
VAE,2,searching,1,kinetic,1560,9,1560.png,1713907292758
contrastive,3,searching,1,kinetic,1933,9,1933.png,1713907292758
contrastive+VAE,4,searching,1,kinetic,1558,9,1558.png,1713907292758
contrastive,0,searching,2,kinetic,1037,9,1037.png,1713907388917
contrastive+autoencoder,1,searching,2,kinetic,1431,9,1431.png,1713907388917
VAE,2,searching,2,kinetic,1436,9,1436.png,1713907388917
contrastive+VAE,3,searching,2,kinetic,1447,9,1447.png,1713907388917
random,4,searching,2,kinetic,1428,9,1428.png,1713907388917
contrastive+VAE,0,searching,3,kinetic,235,9,235.png,1713907469013
random,1,searching,3,kinetic,355,9,355.png,1713907469013
autoencoder,2,searching,3,kinetic,370,9,370.png,1713907469013
VAE,3,searching,3,kinetic,360,9,360.png,1713907469013
contrastive,4,searching,3,kinetic,1657,9,1657.png,1713907469013
contrastive,0,searching,4,kinetic,1657,9,1657.png,1713907517021
contrastive+VAE,1,searching,4,kinetic,1441,9,1441.png,1713907517021
autoencoder,2,searching,4,kinetic,132,9,132.png,1713907517021
random,3,searching,4,kinetic,1428,9,1428.png,1713907517021
contrastive+VAE,4,searching,4,kinetic,1558,9,1558.png,1713907517021
contrastive,0,searching,5,kinetic,2026,9,2026.png,1713907573517
contrastive+autoencoder,1,searching,5,kinetic,896,9,896.png,1713907573517
VAE,2,searching,5,kinetic,895,9,895.png,1713907573517
autoencoder,3,searching,5,kinetic,881,9,881.png,1713907573517
contrastive+VAE,4,searching,5,kinetic,877,9,877.png,1713907573517
contrastive+autoencoder,0,searching,6,kinetic,1375,9,1375.png,1713907627478
contrastive,1,searching,6,kinetic,311,9,311.png,1713907627478
random,2,searching,6,kinetic,1397,9,1397.png,1713907627478
autoencoder,3,searching,6,kinetic,1378,9,1378.png,1713907627478
VAE,4,searching,6,kinetic,1383,9,1383.png,1713907627478
autoencoder,0,searching,7,kinetic,1215,9,1215.png,1713907678934
contrastive+autoencoder,1,searching,7,kinetic,1217,9,1217.png,1713907678934
random,2,searching,7,kinetic,1205,9,1205.png,1713907678934
VAE,3,searching,7,kinetic,1206,9,1206.png,1713907678934
contrastive+VAE,4,searching,7,kinetic,1218,9,1218.png,1713907678934
contrastive,0,searching,8,kinetic,827,9,827.png,1713907748607
VAE,1,searching,8,kinetic,1276,9,1276.png,1713907748607
autoencoder,2,searching,8,kinetic,1286,9,1286.png,1713907748607
random,3,searching,8,kinetic,1281,9,1281.png,1713907748607
contrastive+autoencoder,4,searching,8,kinetic,1292,9,1292.png,1713907748607
contrastive+VAE,0,searching,9,kinetic,877,9,877.png,1713907794184
VAE,1,searching,9,kinetic,1383,9,1383.png,1713907794184
contrastive+autoencoder,2,searching,9,kinetic,1292,9,1292.png,1713907794184
contrastive+VAE,3,searching,9,kinetic,1558,9,1558.png,1713907794184
contrastive+VAE,4,searching,9,kinetic,1218,9,1218.png,1713907794184
