condition,rank,signal,trial,modality,id,pid,name,time
contrastive+VAE,0,has_item,0,kinetic,1520,39,1520.png,1714768581546
contrastive+autoencoder,1,has_item,0,kinetic,1501,39,1501.png,1714768581546
VAE,2,has_item,0,kinetic,1505,39,1505.png,1714768581546
autoencoder,3,has_item,0,kinetic,1511,39,1511.png,1714768581546
contrastive,4,has_item,0,kinetic,605,39,605.png,1714768581546
contrastive,0,has_item,1,kinetic,2105,39,2105.png,1714768619023
random,1,has_item,1,kinetic,2092,39,2092.png,1714768619023
VAE,2,has_item,1,kinetic,2083,39,2083.png,1714768619023
contrastive+autoencoder,3,has_item,1,kinetic,2091,39,2091.png,1714768619023
contrastive+VAE,4,has_item,1,kinetic,2090,39,2090.png,1714768619023
contrastive,0,has_item,2,kinetic,1126,39,1126.png,1714768649892
VAE,1,has_item,2,kinetic,648,39,648.png,1714768649892
autoencoder,2,has_item,2,kinetic,642,39,642.png,1714768649892
random,3,has_item,2,kinetic,693,39,693.png,1714768649892
contrastive+VAE,4,has_item,2,kinetic,641,39,641.png,1714768649892
contrastive,0,has_item,3,kinetic,346,39,346.png,1714768687035
autoencoder,1,has_item,3,kinetic,1470,39,1470.png,1714768687035
contrastive+VAE,2,has_item,3,kinetic,1471,39,1471.png,1714768687035
VAE,3,has_item,3,kinetic,1450,39,1450.png,1714768687035
random,4,has_item,3,kinetic,1461,39,1461.png,1714768687035
contrastive+autoencoder,0,has_item,4,kinetic,1057,39,1057.png,1714768741956
contrastive+VAE,1,has_item,4,kinetic,641,39,641.png,1714768741956
contrastive,2,has_item,4,kinetic,605,39,605.png,1714768741956
contrastive+VAE,3,has_item,4,kinetic,2090,39,2090.png,1714768741956
random,4,has_item,4,kinetic,1461,39,1461.png,1714768741956
contrastive+autoencoder,0,has_item,5,kinetic,1142,39,1142.png,1714768783251
VAE,1,has_item,5,kinetic,1131,39,1131.png,1714768783251
contrastive+VAE,2,has_item,5,kinetic,1143,39,1143.png,1714768783251
random,3,has_item,5,kinetic,1140,39,1140.png,1714768783251
contrastive,4,has_item,5,kinetic,2090,39,2090.png,1714768783251
contrastive,0,has_item,6,kinetic,1228,39,1228.png,1714768823348
random,1,has_item,6,kinetic,1923,39,1923.png,1714768823348
autoencoder,2,has_item,6,kinetic,1903,39,1903.png,1714768823348
contrastive+autoencoder,3,has_item,6,kinetic,1907,39,1907.png,1714768823348
contrastive+VAE,4,has_item,6,kinetic,1908,39,1908.png,1714768823348
contrastive+autoencoder,0,has_item,7,kinetic,1048,39,1048.png,1714768871301
random,1,has_item,7,kinetic,1338,39,1338.png,1714768871301
contrastive,2,has_item,7,kinetic,37,39,37.png,1714768871301
autoencoder,3,has_item,7,kinetic,1292,39,1292.png,1714768871301
VAE,4,has_item,7,kinetic,1293,39,1293.png,1714768871301
contrastive,0,has_item,8,kinetic,1997,39,1997.png,1714768916572
autoencoder,1,has_item,8,kinetic,2117,39,2117.png,1714768916572
contrastive+VAE,2,has_item,8,kinetic,1985,39,1985.png,1714768916572
random,3,has_item,8,kinetic,2108,39,2108.png,1714768916572
contrastive+autoencoder,4,has_item,8,kinetic,2116,39,2116.png,1714768916572
random,0,has_item,9,kinetic,1461,39,1461.png,1714768983911
VAE,1,has_item,9,kinetic,1293,39,1293.png,1714768983911
contrastive+autoencoder,2,has_item,9,kinetic,2116,39,2116.png,1714768983911
contrastive+VAE,3,has_item,9,kinetic,1908,39,1908.png,1714768983911
contrastive,4,has_item,9,kinetic,2090,39,2090.png,1714768983911
