condition,rank,signal,trial,modality,id,pid,name,time
contrastive+VAE,0,idle,0,visual,3006,28,512_8716_8716677.jpg,1714172714124
random,1,idle,0,visual,2198,28,512_7932_7932526.jpg,1714172714124
VAE,2,idle,0,visual,4355,28,512_9757_9757233.jpg,1714172714124
autoencoder,3,idle,0,visual,5120,28,512_10182_10182775.jpg,1714172714124
contrastive,4,idle,0,visual,3370,28,512_9197_9197206.jpg,1714172714124
contrastive+autoencoder,0,idle,1,visual,527,28,512_8701_8701339.jpg,1714172747083
VAE,1,idle,1,visual,516,28,512_8121_8121270.jpg,1714172747083
random,2,idle,1,visual,2197,28,512_7932_7932450.jpg,1714172747083
autoencoder,3,idle,1,visual,2081,28,512_7932_7932521.jpg,1714172747083
contrastive,4,idle,1,visual,4671,28,512_9872_9872508.jpg,1714172747083
contrastive+VAE,0,idle,2,visual,126,28,512_7920_7920906.jpg,1714172796283
contrastive,1,idle,2,visual,3044,28,512_9076_9076431.jpg,1714172796283
random,2,idle,2,visual,3291,28,512_9076_9076356.jpg,1714172796283
autoencoder,3,idle,2,visual,5271,28,512_10282_10282647.jpg,1714172796283
VAE,4,idle,2,visual,5750,28,512_10606_10606329.jpg,1714172796283
contrastive+VAE,0,idle,3,visual,5233,28,512_10246_10246801.jpg,1714172818619
contrastive,1,idle,3,visual,4404,28,512_9818_9818063.jpg,1714172818619
VAE,2,idle,3,visual,106,28,512_8121_8121328.jpg,1714172818619
contrastive+autoencoder,3,idle,3,visual,3757,28,512_9284_9284661.jpg,1714172818619
autoencoder,4,idle,3,visual,142,28,512_6844_6844415.jpg,1714172818619
contrastive,0,idle,4,visual,4671,28,512_9872_9872508.jpg,1714172862779
VAE,1,idle,4,visual,339,28,512_8948_8948330.jpg,1714172862779
VAE,2,idle,4,visual,5750,28,512_10606_10606329.jpg,1714172862779
contrastive,3,idle,4,visual,3370,28,512_9197_9197206.jpg,1714172862779
autoencoder,4,idle,4,visual,142,28,512_6844_6844415.jpg,1714172862779
VAE,0,idle,5,visual,1916,28,512_8629_8629547.jpg,1714172900882
autoencoder,1,idle,5,visual,5420,28,512_10399_10399045.jpg,1714172900882
contrastive+autoencoder,2,idle,5,visual,944,28,512_6844_6844479.jpg,1714172900882
contrastive+VAE,3,idle,5,visual,4258,28,512_9671_9671244.jpg,1714172900882
contrastive,4,idle,5,visual,3804,28,512_9305_9305886.jpg,1714172900882
autoencoder,0,idle,6,visual,451,28,512_7159_7159000.jpg,1714172926402
VAE,1,idle,6,visual,1161,28,512_7158_7158997.jpg,1714172926402
contrastive+VAE,2,idle,6,visual,65,28,512_6844_6844410.jpg,1714172926402
contrastive,3,idle,6,visual,1911,28,512_8609_8609967.jpg,1714172926402
random,4,idle,6,visual,277,28,512_7158_7158882.jpg,1714172926402
autoencoder,0,idle,7,visual,3904,28,512_9448_9448618.jpg,1714172960906
contrastive+VAE,1,idle,7,visual,4993,28,512_10180_10180675.jpg,1714172960906
contrastive+autoencoder,2,idle,7,visual,1799,28,512_7994_7994413.jpg,1714172960906
random,3,idle,7,visual,3911,28,512_9517_9517176.jpg,1714172960906
VAE,4,idle,7,visual,1711,28,512_8761_8761673.jpg,1714172960906
contrastive,0,idle,8,visual,4734,28,512_9908_9908549.jpg,1714172982002
contrastive+autoencoder,1,idle,8,visual,1184,28,512_7932_7932461.jpg,1714172982002
VAE,2,idle,8,visual,2385,28,512_7740_7740446.jpg,1714172982002
random,3,idle,8,visual,2378,28,512_8756_8756227.jpg,1714172982002
contrastive+VAE,4,idle,8,visual,2541,28,512_8727_8727438.jpg,1714172982002
autoencoder,0,idle,9,visual,142,28,512_6844_6844415.jpg,1714173007042
VAE,1,idle,9,visual,1711,28,512_8761_8761673.jpg,1714173007042
contrastive+VAE,2,idle,9,visual,2541,28,512_8727_8727438.jpg,1714173007042
random,3,idle,9,visual,277,28,512_7158_7158882.jpg,1714173007042
contrastive,4,idle,9,visual,3804,28,512_9305_9305886.jpg,1714173007042
