condition,rank,signal,trial,modality,id,pid,name,time
random,0,idle,0,kinetic,1995,27,1995.png,1714172751923
autoencoder,1,idle,0,kinetic,1996,27,1996.png,1714172751923
contrastive+autoencoder,2,idle,0,kinetic,1985,27,1985.png,1714172751923
contrastive,3,idle,0,kinetic,1905,27,1905.png,1714172751923
VAE,4,idle,0,kinetic,1980,27,1980.png,1714172751923
contrastive+VAE,0,idle,1,kinetic,20,27,20.png,1714172817375
contrastive,1,idle,1,kinetic,1936,27,1936.png,1714172817375
VAE,2,idle,1,kinetic,2006,27,2006.png,1714172817375
autoencoder,3,idle,1,kinetic,2007,27,2007.png,1714172817375
contrastive+autoencoder,4,idle,1,kinetic,2013,27,2013.png,1714172817375
VAE,0,idle,2,kinetic,1888,27,1888.png,1714172891700
random,1,idle,2,kinetic,382,27,382.png,1714172891700
autoencoder,2,idle,2,kinetic,381,27,381.png,1714172891700
contrastive+VAE,3,idle,2,kinetic,380,27,380.png,1714172891700
contrastive+autoencoder,4,idle,2,kinetic,383,27,383.png,1714172891700
contrastive,0,idle,3,kinetic,1675,27,1675.png,1714172991837
random,1,idle,3,kinetic,1930,27,1930.png,1714172991837
VAE,2,idle,3,kinetic,1935,27,1935.png,1714172991837
contrastive+autoencoder,3,idle,3,kinetic,1925,27,1925.png,1714172991837
contrastive+VAE,4,idle,3,kinetic,1931,27,1931.png,1714172991837
contrastive+autoencoder,0,idle,4,kinetic,383,27,383.png,1714173051234
random,1,idle,4,kinetic,753,27,753.png,1714173051234
contrastive+VAE,2,idle,4,kinetic,1931,27,1931.png,1714173051234
contrastive+autoencoder,3,idle,4,kinetic,2013,27,2013.png,1714173051234
VAE,4,idle,4,kinetic,1980,27,1980.png,1714173051234
autoencoder,0,idle,5,kinetic,1377,27,1377.png,1714173085538
contrastive+VAE,1,idle,5,kinetic,1398,27,1398.png,1714173085538
random,2,idle,5,kinetic,1378,27,1378.png,1714173085538
VAE,3,idle,5,kinetic,1396,27,1396.png,1714173085538
contrastive+autoencoder,4,idle,5,kinetic,1375,27,1375.png,1714173085538
autoencoder,0,idle,6,kinetic,1932,27,1932.png,1714173151174
contrastive+VAE,1,idle,6,kinetic,1936,27,1936.png,1714173151174
VAE,2,idle,6,kinetic,1550,27,1550.png,1714173151174
random,3,idle,6,kinetic,1935,27,1935.png,1714173151174
contrastive,4,idle,6,kinetic,2062,27,2062.png,1714173151174
contrastive+autoencoder,0,idle,7,kinetic,395,27,395.png,1714173201304
random,1,idle,7,kinetic,385,27,385.png,1714173201304
contrastive+VAE,2,idle,7,kinetic,375,27,375.png,1714173201304
autoencoder,3,idle,7,kinetic,380,27,380.png,1714173201304
VAE,4,idle,7,kinetic,381,27,381.png,1714173201304
contrastive+VAE,0,idle,8,kinetic,1962,27,1962.png,1714173255552
contrastive,1,idle,8,kinetic,1882,27,1882.png,1714173255552
autoencoder,2,idle,8,kinetic,1971,27,1971.png,1714173255552
VAE,3,idle,8,kinetic,1970,27,1970.png,1714173255552
contrastive+autoencoder,4,idle,8,kinetic,1961,27,1961.png,1714173255552
VAE,0,idle,9,kinetic,381,27,381.png,1714173297968
contrastive+autoencoder,1,idle,9,kinetic,1375,27,1375.png,1714173297968
contrastive,2,idle,9,kinetic,2062,27,2062.png,1714173297968
VAE,3,idle,9,kinetic,1980,27,1980.png,1714173297968
contrastive+autoencoder,4,idle,9,kinetic,1961,27,1961.png,1714173297968
