condition,rank,signal,trial,modality,id,pid
contrastive+autoencoder,2,idle,25,auditory,364,0
autoencoder,3,idle,25,auditory,591,0
contrastive+VAE,4,idle,25,auditory,519,0
contrastive+VAE,0,idle,26,visual,226,0
autoencoder,1,idle,26,visual,2014,0
contrastive+autoencoder,2,idle,26,visual,5786,0
VAE,3,idle,26,visual,3325,0
random,4,idle,26,visual,3324,0
random,0,idle,27,visual,5877,0
autoencoder,1,idle,27,visual,5292,0
VAE,2,idle,27,visual,2181,0
contrastive,3,idle,27,visual,4437,0
contrastive+VAE,4,idle,27,visual,1502,0
contrastive+VAE,0,idle,28,kinetic,382,0
contrastive,1,idle,28,kinetic,1933,0
contrastive+autoencoder,2,idle,28,kinetic,383,0
autoencoder,3,idle,28,kinetic,380,0
random,4,idle,28,kinetic,381,0
random,0,idle,29,auditory,517,0
contrastive+autoencoder,1,idle,29,auditory,316,0
contrastive+VAE,2,idle,29,auditory,50,0
VAE,3,idle,29,auditory,762,0
autoencoder,4,idle,29,auditory,308,0
