condition,rank,signal,trial,modality,id,pid,name,time
contrastive+autoencoder,0,searching,0,auditory,857,2,stealthy_swoosh.jpg,1713812954277
random,1,searching,0,auditory,344,2,glitch_in_the_matrix.jpg,1713812954277
autoencoder,2,searching,0,auditory,843,2,definite.jpg,1713812954277
VAE,3,searching,0,auditory,800,2,et_voila.jpg,1713812954278
contrastive,4,searching,0,auditory,323,2,metallic.jpg,1713812954278
contrastive+autoencoder,0,searching,1,auditory,482,2,what.jpg,1713812996825
VAE,1,searching,1,auditory,426,2,capisci.jpg,1713812996825
contrastive,2,searching,1,auditory,470,2,Beep2.jpg,1713812996825
contrastive+VAE,3,searching,1,auditory,391,2,smack.jpg,1713812996825
random,4,searching,1,auditory,660,2,thats_it.jpg,1713812996825
contrastive+autoencoder,0,searching,2,auditory,97,2,hey_champ.jpg,1713813021276
contrastive,1,searching,2,auditory,292,2,thin_air.jpg,1713813021276
random,2,searching,2,auditory,225,2,the_squeaky_wheel_gets_the_grease.jpg,1713813021276
autoencoder,3,searching,2,auditory,99,2,oringz-pack-nine-37.jpg,1713813021276
VAE,4,searching,2,auditory,717,2,frozen_powerlines.jpg,1713813021276
contrastive,0,searching,3,auditory,754,2,pungent.jpg,1713813051644
contrastive+autoencoder,1,searching,3,auditory,669,2,LIKED_MOMENT_2.jpg,1713813051644
contrastive+VAE,2,searching,3,auditory,128,2,quite_impressed.jpg,1713813051644
VAE,3,searching,3,auditory,102,2,gone_chirpin.jpg,1713813051644
autoencoder,4,searching,3,auditory,88,2,lots_of_data.jpg,1713813051644
random,0,searching,4,auditory,660,2,thats_it.jpg,1713813089782
autoencoder,1,searching,4,auditory,88,2,lots_of_data.jpg,1713813089782
VAE,2,searching,4,auditory,717,2,frozen_powerlines.jpg,1713813089782
contrastive,3,searching,4,auditory,447,2,ill_make_it_possible.jpg,1713813089782
contrastive,4,searching,4,auditory,323,2,metallic.jpg,1713813089782
random,0,searching,5,auditory,385,2,ring1-test.jpg,1713813157727
VAE,1,searching,5,auditory,182,2,microsong-3notes-reverb.jpg,1713813157727
contrastive+VAE,2,searching,5,auditory,53,2,rise.jpg,1713813157727
autoencoder,3,searching,5,auditory,228,2,eventually.jpg,1713813157727
contrastive,4,searching,5,auditory,274,2,sci_fi_ish.jpg,1713813157727
VAE,0,searching,6,auditory,241,2,happy_new_year_sms.jpg,1713813304914
random,1,searching,6,auditory,53,2,rise.jpg,1713813304914
contrastive+VAE,2,searching,6,auditory,404,2,you_song.jpg,1713813304914
autoencoder,3,searching,6,auditory,211,2,wakeup-will-you-song.jpg,1713813304914
contrastive+autoencoder,4,searching,6,auditory,782,2,chin_up.jpg,1713813304914
VAE,0,searching,7,auditory,301,2,high-gong.jpg,1713813327496
contrastive+autoencoder,1,searching,7,auditory,513,2,office_1.jpg,1713813327496
contrastive,2,searching,7,auditory,67,2,long_expected.jpg,1713813327496
autoencoder,3,searching,7,auditory,357,2,deduction.jpg,1713813327497
random,4,searching,7,auditory,252,2,congratulations.jpg,1713813327497
random,0,searching,8,auditory,552,2,Happy_Birthday.jpg,1713813349772
contrastive+autoencoder,1,searching,8,auditory,48,2,cable_unplugged.jpg,1713813349772
contrastive+VAE,2,searching,8,auditory,77,2,Sad3.jpg,1713813349772
autoencoder,3,searching,8,auditory,63,2,S113_PANCAKE_ROBOT_WHISTLE_LOUDER.jpg,1713813349772
contrastive,4,searching,8,auditory,172,2,nine_24.jpg,1713813349772
random,0,searching,9,auditory,252,2,congratulations.jpg,1713813391072
contrastive,1,searching,9,auditory,274,2,sci_fi_ish.jpg,1713813391072
contrastive,2,searching,9,auditory,323,2,metallic.jpg,1713813391072
contrastive+autoencoder,3,searching,9,auditory,782,2,chin_up.jpg,1713813391072
contrastive,4,searching,9,auditory,172,2,nine_24.jpg,1713813391072
