condition,rank,signal,trial,modality,id,pid,name,time
contrastive+VAE,0,searching,0,auditory,820,5,old-taxi-horn-4.jpg,1713830387756
contrastive+autoencoder,1,searching,0,auditory,536,5,nine_47.jpg,1713830387756
random,2,searching,0,auditory,296,5,long_tail_ringing_sound.jpg,1713830387756
VAE,3,searching,0,auditory,398,5,oringz-pack-nine-27.jpg,1713830387756
contrastive,4,searching,0,auditory,402,5,nine_27.jpg,1713830387756
contrastive+VAE,0,searching,1,auditory,634,5,monotone.jpg,1713830421213
autoencoder,1,searching,1,auditory,700,5,hand_bell.jpg,1713830421213
random,2,searching,1,auditory,392,5,all_cards_on_table.jpg,1713830421213
VAE,3,searching,1,auditory,179,5,just_like_magic.jpg,1713830421213
contrastive+autoencoder,4,searching,1,auditory,378,5,wind_up_4.jpg,1713830421213
contrastive,0,searching,2,auditory,462,5,you_have_a_new_message_2.jpg,1713830472919
contrastive+VAE,1,searching,2,auditory,107,5,genuinely_interested.jpg,1713830472919
autoencoder,2,searching,2,auditory,405,5,milestone.jpg,1713830472919
VAE,3,searching,2,auditory,733,5,Whistle6.jpg,1713830472919
random,4,searching,2,auditory,827,5,BANG_YIKES_WHOA.jpg,1713830472919
contrastive,0,searching,3,auditory,274,5,sci_fi_ish.jpg,1713830496101
random,1,searching,3,auditory,386,5,you_would_be_glad.jpg,1713830496101
contrastive+VAE,2,searching,3,auditory,53,5,rise.jpg,1713830496101
VAE,3,searching,3,auditory,385,5,ring1-test.jpg,1713830496101
autoencoder,4,searching,3,auditory,228,5,eventually.jpg,1713830496101
autoencoder,0,searching,4,auditory,228,5,eventually.jpg,1713830518193
contrastive+autoencoder,1,searching,4,auditory,378,5,wind_up_4.jpg,1713830518193
random,2,searching,4,auditory,827,5,BANG_YIKES_WHOA.jpg,1713830518193
contrastive,3,searching,4,auditory,402,5,nine_27.jpg,1713830518193
VAE,4,searching,4,auditory,842,5,Thinking2.jpg,1713830518193
contrastive+VAE,0,searching,5,auditory,77,5,Sad3.jpg,1713830549348
random,1,searching,5,auditory,552,5,Happy_Birthday.jpg,1713830549348
autoencoder,2,searching,5,auditory,63,5,S113_PANCAKE_ROBOT_WHISTLE_LOUDER.jpg,1713830549348
contrastive,3,searching,5,auditory,172,5,nine_24.jpg,1713830549348
contrastive+autoencoder,4,searching,5,auditory,48,5,cable_unplugged.jpg,1713830549348
random,0,searching,6,auditory,42,5,trick.jpg,1713830566076
autoencoder,1,searching,6,auditory,106,5,cant_do_that.jpg,1713830566076
contrastive,2,searching,6,auditory,11,5,soft_tick.jpg,1713830566076
contrastive+VAE,3,searching,6,auditory,144,5,just_like_that.jpg,1713830566076
contrastive+autoencoder,4,searching,6,auditory,157,5,notification_1.jpg,1713830566076
contrastive+VAE,0,searching,7,auditory,524,5,the_little_dwarf.jpg,1713830606914
contrastive+autoencoder,1,searching,7,auditory,346,5,time_has_come.jpg,1713830606914
contrastive,2,searching,7,auditory,448,5,open_your_eyes_and_see.jpg,1713830606914
VAE,3,searching,7,auditory,104,5,nine_04.jpg,1713830606914
autoencoder,4,searching,7,auditory,547,5,oringz-pack-nine-04.jpg,1713830606914
contrastive+autoencoder,0,searching,8,auditory,256,5,alarma.jpg,1713830639897
contrastive,1,searching,8,auditory,290,5,micro.jpg,1713830639897
contrastive+VAE,2,searching,8,auditory,264,5,digital_spit.jpg,1713830639897
random,3,searching,8,auditory,240,5,two_turtle_doves.jpg,1713830639897
VAE,4,searching,8,auditory,524,5,the_little_dwarf.jpg,1713830639897
contrastive+autoencoder,0,searching,9,auditory,48,5,cable_unplugged.jpg,1713830667413
contrastive+autoencoder,1,searching,9,auditory,157,5,notification_1.jpg,1713830667413
VAE,2,searching,9,auditory,524,5,the_little_dwarf.jpg,1713830667413
autoencoder,3,searching,9,auditory,547,5,oringz-pack-nine-04.jpg,1713830667413
VAE,4,searching,9,auditory,842,5,Thinking2.jpg,1713830667413
