condition,rank,signal,trial,modality,id,pid,name,time
contrastive,0,has_item,0,kinetic,2018,15,2018.png,1713913216943
contrastive+VAE,1,has_item,0,kinetic,766,15,766.png,1713913216943
VAE,2,has_item,0,kinetic,767,15,767.png,1713913216943
contrastive+autoencoder,3,has_item,0,kinetic,765,15,765.png,1713913216943
autoencoder,4,has_item,0,kinetic,816,15,816.png,1713913216943
random,0,has_item,1,kinetic,1091,15,1091.png,1713913272951
contrastive,1,has_item,1,kinetic,1340,15,1340.png,1713913272951
VAE,2,has_item,1,kinetic,965,15,965.png,1713913272951
contrastive+autoencoder,3,has_item,1,kinetic,968,15,968.png,1713913272951
contrastive+VAE,4,has_item,1,kinetic,967,15,967.png,1713913272951
VAE,0,has_item,2,kinetic,1165,15,1165.png,1713913327327
contrastive+autoencoder,1,has_item,2,kinetic,1168,15,1168.png,1713913327327
random,2,has_item,2,kinetic,1158,15,1158.png,1713913327327
autoencoder,3,has_item,2,kinetic,1153,15,1153.png,1713913327327
contrastive+VAE,4,has_item,2,kinetic,1166,15,1166.png,1713913327327
contrastive,0,has_item,3,kinetic,346,15,346.png,1713913370534
random,1,has_item,3,kinetic,1461,15,1461.png,1713913370534
autoencoder,2,has_item,3,kinetic,1470,15,1470.png,1713913370534
contrastive+autoencoder,3,has_item,3,kinetic,1450,15,1450.png,1713913370534
VAE,4,has_item,3,kinetic,1455,15,1455.png,1713913370534
autoencoder,0,has_item,4,kinetic,816,15,816.png,1713913400887
contrastive+VAE,1,has_item,4,kinetic,1166,15,1166.png,1713913400887
random,2,has_item,4,kinetic,736,15,736.png,1713913400887
VAE,3,has_item,4,kinetic,1455,15,1455.png,1713913400887
contrastive+VAE,4,has_item,4,kinetic,967,15,967.png,1713913400887
contrastive+autoencoder,0,has_item,5,kinetic,1140,15,1140.png,1713913440308
VAE,1,has_item,5,kinetic,1131,15,1131.png,1713913440308
contrastive+VAE,2,has_item,5,kinetic,1193,15,1193.png,1713913440308
contrastive,3,has_item,5,kinetic,1143,15,1143.png,1713913440308
random,4,has_item,5,kinetic,1142,15,1142.png,1713913440308
contrastive,0,has_item,6,kinetic,145,15,145.png,1713913464945
random,1,has_item,6,kinetic,946,15,946.png,1713913464945
autoencoder,2,has_item,6,kinetic,926,15,926.png,1713913464945
VAE,3,has_item,6,kinetic,945,15,945.png,1713913464945
contrastive+autoencoder,4,has_item,6,kinetic,948,15,948.png,1713913464945
VAE,0,has_item,7,kinetic,1290,15,1290.png,1713913495389
random,1,has_item,7,kinetic,1338,15,1338.png,1713913495389
contrastive+VAE,2,has_item,7,kinetic,1292,15,1292.png,1713913495389
contrastive+autoencoder,3,has_item,7,kinetic,1293,15,1293.png,1713913495389
contrastive,4,has_item,7,kinetic,37,15,37.png,1713913495389
contrastive,0,has_item,8,kinetic,1228,15,1228.png,1713913531207
autoencoder,1,has_item,8,kinetic,1903,15,1903.png,1713913531207
contrastive+VAE,2,has_item,8,kinetic,1908,15,1908.png,1713913531207
random,3,has_item,8,kinetic,1923,15,1923.png,1713913531207
contrastive+autoencoder,4,has_item,8,kinetic,1907,15,1907.png,1713913531207
random,0,has_item,9,kinetic,1142,15,1142.png,1713913557152
contrastive+autoencoder,1,has_item,9,kinetic,948,15,948.png,1713913557152
contrastive+autoencoder,2,has_item,9,kinetic,1907,15,1907.png,1713913557152
contrastive+VAE,3,has_item,9,kinetic,967,15,967.png,1713913557152
contrastive,4,has_item,9,kinetic,37,15,37.png,1713913557152
