,time,signal,type,query,choice
0,241.6590723991394,has_information,visual,,0
1,250.36489582061768,has_information,auditory,,2
2,252.84656596183777,has_information,kinesthetic,,3
3,289.8973557949066,has_information,kinesthetic,"1025,1562,2003",3
4,305.8641583919525,has_information,kinesthetic,"215,341,1371",0
5,337.80640745162964,has_information,auditory,"614,225,629",0
6,348.70334100723267,has_information,auditory,"614,371,490",0
7,363.9155776500702,has_information,auditory,"614,190,541",0
8,451.445583820343,searching,auditory,"583,749,576",2
9,468.63579750061035,searching,visual,"1675,3653,1023",0
10,471.49912333488464,searching,visual,"1675,3017,3804",0
11,479.68768978118896,searching,visual,"1675,3017,3804",1
12,482.443567276001,searching,visual,"2738,2737,2727",0
13,490.7341043949127,searching,visual,"254,3715,1954",3
14,493.18724274635315,searching,visual,"254,4583,5537",0
15,496.05663108825684,searching,visual,"254,4583,5537",3
16,498.4085536003113,searching,visual,"254,511,752",0
17,500.2512550354004,searching,visual,"254,2738,4289",3
18,504.23969650268555,searching,visual,"1269,780,3557",0
19,509.1519615650177,searching,auditory,"82,265,500",3
20,510.686665058136,searching,auditory,"82,265,500",1
21,521.3935227394104,searching,auditory,"46,695,325",0
22,524.8089957237244,searching,auditory,"288,695,858",1
23,527.8781750202179,searching,auditory,"288,695,645",1
24,557.3536183834076,searching,kinesthetic,"239,293,1312",1
25,576.0834257602692,searching,kinesthetic,"282,297,1232",0
26,583.15079164505,searching,auditory,"288,64,339",3
27,593.5983486175537,searching,auditory,"288,64,339",3
28,602.7714023590088,searching,auditory,"288,148,327",3
29,609.2497224807739,searching,auditory,"288,565,138",3
30,616.0075633525848,searching,auditory,"288,143,29",3
31,651.6336994171143,searching,auditory,"288,361,168",3
32,669.5460588932037,searching,visual,"1269,780,3557",0
33,680.8092105388641,searching,visual,"1269,1861,899",0
34,715.2109560966492,idle,visual,"809,3552,2140",3
35,719.4847209453583,idle,visual,"5677,1432,308",3
36,723.3957343101501,idle,visual,"2595,5547,1789",3
37,729.0232903957367,idle,visual,"2595,5451,2749",0
38,731.688282251358,idle,visual,"1004,2045,4299",3
39,733.9401292800903,idle,auditory,"525,792,205",3
40,747.7585163116455,idle,auditory,"207,554,687",3
41,762.8065745830536,idle,auditory,"586,639,805",3
42,782.4762380123138,idle,auditory,"464,802,481",3
43,801.8086204528809,idle,auditory,"33,182,481",2
44,821.7717092037201,idle,auditory,"530,455,481",2
45,842.7609670162201,idle,kinesthetic,"1961,1804,1962",2
46,855.9633748531342,idle,kinesthetic,"1961,1960,1864",0
47,881.5621612071991,idle,kinesthetic,"1962,1960,147",1
48,902.0923359394073,idle,kinesthetic,"960,1960,1735",1
49,913.5439913272858,idle,visual,"1423,1880,3095",3
50,916.007550239563,idle,visual,"325,5326,3193",3
51,917.5462491512299,idle,visual,"3777,194,490",3
52,918.7771880626678,idle,visual,"2700,1268,2317",3
53,920.3154954910278,idle,visual,"1749,1239,3295",3
54,925.5441312789917,idle,visual,"862,1239,5460",1
55,956.5520663261414,has_item,visual,"4860,240,5075",3
56,958.5963985919952,has_item,visual,"395,2976,5676",3
57,962.0747890472412,has_item,visual,"395,819,4366",0
58,981.4271082878113,has_item,auditory,"547,759,27",2
59,991.5727243423462,has_item,auditory,"547,288,380",0
60,1000.7906959056854,has_item,auditory,"547,288,779",0
61,1004.3768026828766,has_item,auditory,"547,288,19",0
62,1022.9185256958008,has_item,kinesthetic,"747,1527,622",2
63,1024.4647364616394,has_item,kinesthetic,"1845,1090,2050",3
64,1037.36332654953,has_item,kinesthetic,"1845,1460,196",0
65,1045.3614597320557,has_item,visual,"410,3768,4988",3
66,1046.7980165481567,has_item,visual,"156,1926,189",3
