,time,signal,type,query,choice
0,101.7142481803894,idle,visual,[ 326 5185 1210],3
1,186.8140320777893,idle,visual,"326,5185,1210",0
2,396.40302634239197,idle,kinesthetic,"675,695,1181",0
3,405.11779403686523,idle,kinesthetic,"1175,681,1181",2
4,419.96444153785706,idle,kinesthetic,"1130,887,1181",2
5,606.6135687828064,searching,visual,"226,2081,345",0
6,608.8938796520233,searching,visual,"226,4937,5509",0
7,615.9606807231903,searching,visual,"226,4937,3282",0
8,617.496458530426,searching,visual,"226,4937,5255",0
9,618.7278914451599,searching,visual,"226,4937,4015",0
10,619.9535593986511,searching,visual,"226,1289,5821",0
11,623.2302801609039,searching,visual,"226,4937,2660",0
12,624.5597660541534,searching,visual,"226,4937,2237",0
13,625.7871270179749,searching,visual,"226,4937,5173",0
14,626.7097404003143,searching,visual,"226,4937,5218",0
15,627.93998670578,searching,visual,"226,4937,5125",0
16,630.4993059635162,searching,visual,"226,4937,1883",0
17,631.3190066814423,searching,visual,"226,1289,1633",0
18,635.3123400211334,searching,visual,"226,4937,560",0
19,636.7979922294617,searching,visual,"226,4937,875",0
20,638.0765497684479,searching,visual,"226,1289,5297",0
21,639.2072622776031,searching,visual,"226,4937,2122",0
22,640.5377113819122,searching,visual,"226,4937,3465",0
23,641.4559619426727,searching,visual,"226,4937,1213",0
24,642.3781740665436,searching,visual,"226,4937,4186",0
25,644.5315189361572,searching,visual,"226,4937,5551",0
26,645.7582125663757,searching,visual,"226,1289,5048",0
27,647.2924900054932,searching,visual,"226,4937,1928",0
28,648.5247728824615,searching,visual,"226,4937,1514",0
29,649.7511422634125,searching,visual,"226,4937,3677",0
30,803.0420663356781,searching,kinesthetic,"1216,1206,795",0
31,934.2156162261963,has_information,visual,"519,155,5045",0
