,time,signal,type,query,choice
0,197.7764298915863,has_item,visual,"3649,5798,3057",0
1,204.3018159866333,has_item,auditory,,3
2,220.079026222229,has_item,auditory,"525,262,449",3
3,235.88109374046326,has_item,auditory,"505,161,613",3
4,264.8583126068115,has_item,auditory,"747,674,366",3
5,296.32325077056885,has_item,auditory,"36,674,151",1
6,304.1627206802368,has_item,kinesthetic,,3
7,323.734915971756,has_item,kinesthetic,"894,479,768",2
8,403.916522026062,idle,visual,"5254,1286,2126",3
9,453.6992769241333,idle,visual,"5254,1541,2767",0
10,547.3897359371185,has_information,visual,"1344,5217,4771",3
11,550.1507756710052,has_information,visual,"1443,1199,5480",3
12,570.1996042728424,has_information,visual,"4948,1425,4065",2
13,583.4973428249359,has_information,kinesthetic,"1780,152,728",3
14,595.8116066455841,has_information,kinesthetic,"1935,817,623",3
15,610.688800573349,has_information,kinesthetic,"444,817,583",1
16,613.179799079895,has_information,auditory,"644,14,480",3
17,624.6728672981262,has_information,auditory,"223,303,622",1
18,627.8664376735687,has_information,visual,"3230,5776,4065",2
19,628.8848493099213,has_information,kinesthetic,"816,817,26",1
20,653.0596923828125,searching,visual,"5882,3454,3828",3
21,654.901905298233,searching,visual,"211,3991,3527",3
22,757.3987934589386,searching,auditory,"568,302,671",3
23,768.0469770431519,searching,auditory,"141,195,847",2
24,773.7812449932098,searching,auditory,"196,46,847",2
25,798.3633162975311,searching,auditory,"802,543,480",3
26,809.8334686756134,searching,auditory,"248,486,599",3
27,826.7248661518097,searching,auditory,"720,669,854",3
28,844.8508772850037,searching,kinesthetic,"577,1904,1496",3
29,857.6616868972778,searching,kinesthetic,"1637,1687,1364",0
30,869.0197174549103,searching,kinesthetic,"266,940,894",3
31,881.0989992618561,searching,kinesthetic,"1136,896,177",3
