,iters,loss
0,0,0.006576336113510618
1,157,0.005331672680605749
2,314,0.004676903888678095
3,471,0.003680816121921418
4,628,0.0029196674656716123
5,785,0.0024162268942328775
6,942,0.002111318574589529
7,1099,0.0013067526802135881
8,1256,0.0013936938373905838
9,1413,0.0007841708079265182
10,1570,0.0007438829085629458
11,1727,0.0006967913003484155
12,1884,0.0004011279648276651
13,2041,0.00028474002507082217
14,2198,0.0003466749219757736
15,2355,7.266056528136989e-05
16,2512,0.000265096308319432
17,2669,0.00010753124003197736
18,2826,0.0003411214158033869
19,2983,0.0
20,3140,3.1135359387488884e-05
21,3297,0.0
22,3454,2.8464871986656432e-05
23,3611,0.0
24,3768,3.593412649099994e-05
25,3925,2.6364615009089186e-06
26,4082,0.00019720097066490514
27,4239,0.0
28,4396,0.0
29,4553,0.0
30,4710,0.0
31,4867,0.0
32,5024,0.0
33,5181,0.0
34,5338,0.0
35,5495,2.2882536338393097e-06
36,5652,0.0
37,5809,0.0
38,5966,0.0
39,6123,0.0
40,6280,0.0
41,6437,0.0
42,6594,0.0
43,6751,0.0
44,6908,0.0
45,7065,5.9262962098334245e-05
46,7222,0.0
47,7379,0.0
48,7536,0.0
49,7693,0.0
50,7850,0.0
51,8007,0.0
52,8164,0.0
53,8321,0.0
54,8478,3.2053133294840524e-05
55,8635,0.0
56,8792,0.0
57,8949,0.0
58,9106,0.0
59,9263,0.0
60,9420,0.0
61,9577,3.51093899292551e-05
62,9734,0.0
63,9891,0.0
64,10048,0.0
65,10205,0.0
66,10362,0.0
67,10519,0.0
68,10676,0.0
69,10833,0.0
70,10990,0.0
71,11147,0.0
72,11304,0.0
73,11461,0.0
74,11618,8.922663463908395e-07
75,11775,2.9320217621554234e-05
76,11932,2.6088563879584052e-05
77,12089,0.0
78,12246,7.1491880022036805e-06
79,12403,8.384598668213863e-05
80,12560,0.0
81,12717,0.0
82,12874,0.0
83,13031,0.0
84,13188,0.0
85,13345,4.147980243537077e-05
86,13502,1.6266468224252106e-06
87,13659,0.0
88,13816,2.369759189095467e-05
89,13973,0.0
90,14130,0.0
91,14287,2.9718230484397548e-05
92,14444,0.0
93,14601,0.0
94,14758,0.0
95,14915,0.0
96,15072,0.0
97,15229,0.0
98,15386,0.0
99,15543,0.0
100,15700,0.0
101,15857,0.0
102,16014,0.0
103,16171,0.0
104,16328,0.0
105,16485,0.0
106,16642,1.1414099650777829e-06
107,16799,0.0
108,16956,0.0
109,17113,0.0
110,17270,0.0
111,17427,0.0
112,17584,0.0
113,17741,0.0
114,17898,0.0
115,18055,0.0
116,18212,0.0
117,18369,0.0
118,18526,0.0
119,18683,0.0
120,18840,0.0
121,18997,0.0
122,19154,0.0
123,19311,0.0
124,19468,0.0
125,19625,0.0
126,19782,0.0
127,19939,0.0
128,20096,0.0
129,20253,0.0
130,20410,2.7098283646213023e-06
131,20567,0.0
132,20724,0.0
133,20881,0.0
134,21038,0.0
135,21195,0.0
136,21352,0.0
137,21509,0.0
138,21666,1.3359223201776006e-05
139,21823,0.0
140,21980,0.0
141,22137,0.0
142,22294,0.0
143,22451,0.0
144,22608,0.0
145,22765,0.0
146,22922,0.0001791291365957564
147,23079,0.0
148,23236,0.0
149,23393,0.0
150,23550,0.0
151,23707,0.0
152,23864,0.0
153,24021,2.2396540186207767e-05
154,24178,0.0
155,24335,0.0
156,24492,0.0
157,24649,0.0
158,24806,0.0
159,24963,7.4331737627649e-05
160,25120,0.0
161,25277,8.866807837395151e-06
162,25434,0.0
163,25591,0.0
164,25748,0.0
165,25905,0.0
166,26062,0.0
167,26219,0.0
168,26376,2.4986732157931966e-06
169,26533,0.0
170,26690,0.0
171,26847,0.0
172,27004,0.0
173,27161,0.0
174,27318,0.0
175,27475,0.0
176,27632,0.0
177,27789,0.0
178,27946,0.0
179,28103,0.0
180,28260,0.0
181,28417,0.0
182,28574,0.0
183,28731,0.0
184,28888,0.0
185,29045,0.0
186,29202,0.0
187,29359,0.0
188,29516,0.0
189,29673,0.0
190,29830,0.0
191,29987,0.0
192,30144,0.0
193,30301,0.0
194,30458,0.0
195,30615,0.0
196,30772,0.0
197,30929,0.0
198,31086,0.0
199,31243,0.0
