,iters,loss
0,0,1.317901611328125
1,152,1.2728721217105263
2,304,1.2738565143785978
3,456,1.2731475830078125
4,608,1.2744366495232833
5,760,1.2736228139776933
6,912,1.2522602081298828
7,1064,1.2517668071546053
8,1216,1.2776228252210116
9,1368,1.3055554440147
10,1520,1.299410669427169
11,1672,1.2636525003533614
12,1824,1.2935247923198498
13,1976,1.2932916942395662
14,2128,1.287772730777138
15,2280,1.243555370130037
16,2432,1.2736595555355674
17,2584,1.3045466573614823
18,2736,1.2581465871710527
19,2888,1.2641834459806744
20,3040,1.2778579310366982
21,3192,1.2864480269582648
22,3344,1.2457307514391447
23,3496,1.2787012802927118
24,3648,1.2521658445659436
25,3800,1.2940278304250616
26,3952,1.2649446788587069
27,4104,1.2577660209254216
28,4256,1.258856120862459
29,4408,1.2424810309159129
30,4560,1.2914816203870272
31,4712,1.303251065705952
32,4864,1.2605188269364207
33,5016,1.2760312933670848
34,5168,1.2399086199308698
35,5320,1.2383218062551398
36,5472,1.2443849663985402
37,5624,1.2660628870913857
38,5776,1.2733190436112254
39,5928,1.2678328062358655
40,6080,1.2578497434917248
41,6232,1.267599908929122
42,6384,1.2289592341372841
43,6536,1.2406760767886513
44,6688,1.2414927231638055
45,6840,1.262839166741622
46,6992,1.2309451856111224
47,7144,1.2568526017038446
48,7296,1.2439728787070827
49,7448,1.272313067787572
50,7600,1.2412684591192948
51,7752,1.286197963513826
52,7904,1.230510812056692
53,8056,1.2468907205682052
54,8208,1.274654890361585
55,8360,1.3082785355417352
56,8512,1.2538426047877262
57,8664,1.2788296749717312
58,8816,1.2646096882067228
59,8968,1.2405410565828021
60,9120,1.2341055619089227
61,9272,1.2893132661518298
62,9424,1.2593700007388466
63,9576,1.252182910316869
64,9728,1.2692394256591797
65,9880,1.2793903350830078
66,10032,1.218506461695621
67,10184,1.233937012521844
68,10336,1.2541954642847966
69,10488,1.2510630958958675
70,10640,1.2572389903821444
71,10792,1.2529945373535156
72,10944,1.2693524611623663
73,11096,1.272021444220292
74,11248,1.282671476665296
75,11400,1.2555369326942845
76,11552,1.2612822683233964
77,11704,1.2549640253970498
78,11856,1.261566864816766
79,12008,1.2573635703638981
80,12160,1.2792419634367291
81,12312,1.2556835977654708
82,12464,1.2587844447085732
83,12616,1.2209293967799137
84,12768,1.2513960788124485
85,12920,1.2230527777420848
86,13072,1.2374029661479748
87,13224,1.2163504550331516
88,13376,1.2295004192151522
89,13528,1.2588225916812295
90,13680,1.2608339410079152
91,13832,1.2410716006630345
92,13984,1.25166822734632
93,14136,1.2080788863332648
94,14288,1.2335604617470188
95,14440,1.2346285769813938
96,14592,1.213302913464998
97,14744,1.2334040591591282
98,14896,1.2577564841822575
99,15048,1.2398282101279812
100,15200,1.261170035914371
101,15352,1.2581294210333573
102,15504,1.2360530652497943
103,15656,1.2428827787700452
104,15808,1.2346959365041632
105,15960,1.2462045769942434
106,16112,1.2401969307347347
107,16264,1.201164446379009
108,16416,1.230530487863641
109,16568,1.236143011795847
110,16720,1.214858004921361
111,16872,1.2388825667531866
112,17024,1.2341375852885998
113,17176,1.2131168967799137
114,17328,1.2258035760176809
115,17480,1.1938651235480058
116,17632,1.2299258583470394
117,17784,1.2083138917621814
118,17936,1.273445530941612
119,18088,1.169920469585218
120,18240,1.23998340807463
121,18392,1.2359730569939864
122,18544,1.254334198801141
123,18696,1.2345355184454667
124,18848,1.2379968542801707
125,19000,1.2371525011564557
126,19152,1.1957406495746814
127,19304,1.2213145808169716
128,19456,1.2355793400814659
129,19608,1.216170260780736
130,19760,1.2255870417544716
131,19912,1.2438724919369346
132,20064,1.201857516640111
133,20216,1.239246970728824
134,20368,1.2319029757851048
135,20520,1.2103383917557566
136,20672,1.2137151015432257
137,20824,1.219431525782535
138,20976,1.2316271129407381
139,21128,1.233035539325915
140,21280,1.1938179417660362
141,21432,1.2546480078446238
142,21584,1.235529849403783
143,21736,1.2679120113975124
144,21888,1.2274934869063527
145,22040,1.2644156405800266
146,22192,1.1923647428813733
147,22344,1.1999888169138055
148,22496,1.2490168119731702
149,22648,1.208506835134406
150,22800,1.2396692978708368
151,22952,1.2329118628250926
152,23104,1.2352250751696134
153,23256,1.1749168195222552
154,23408,1.2027166266190379
155,23560,1.2100384360865544
156,23712,1.2019241734554893
157,23864,1.2282772064208984
158,24016,1.2467729668868215
159,24168,1.2324858213725842
160,24320,1.2153107492547286
161,24472,1.2363917702122738
162,24624,1.2099859338057668
163,24776,1.2347169173391241
164,24928,1.2240350622879832
165,25080,1.2349304399992291
166,25232,1.1903609225624485
167,25384,1.2368843680933903
168,25536,1.2263524908768504
169,25688,1.219571966873972
170,25840,1.240521280389083
171,25992,1.2006183423494037
172,26144,1.1823883056640625
173,26296,1.2156204424406354
174,26448,1.1694852929366262
175,26600,1.2058963775634766
176,26752,1.2285205439517373
177,26904,1.1833734010395252
178,27056,1.2163961310135691
179,27208,1.2506962826377468
180,27360,1.2079809088456004
181,27512,1.234010194477282
182,27664,1.2414321899414062
183,27816,1.175752840544048
184,27968,1.2028726276598478
185,28120,1.2050662793611224
186,28272,1.1882288079512746
187,28424,1.2172339589972245
188,28576,1.2265630019338507
189,28728,1.2082609879343134
190,28880,1.2266701146175987
191,29032,1.2080250790244655
192,29184,1.201139349686472
193,29336,1.2072893443860506
194,29488,1.212376644736842
195,29640,1.1902515009829873
196,29792,1.2083606719970703
197,29944,1.2416732185765316
198,30096,1.189597681949013
199,30248,1.2192923897191097
