,iters,loss
0,0,0.007103269750421698
1,143,0.004896165190876781
2,286,0.002561744276460234
3,429,0.0018886877940251278
4,572,0.0018869840598606563
5,715,0.0009929434611247135
6,858,0.001503376902400197
7,1001,0.0014133665945146468
8,1144,0.001615394037086647
9,1287,0.0006382876968050337
10,1430,0.000528386787517921
11,1573,0.0008772313594818115
12,1716,0.0002062216505304083
13,1859,0.000375785141974896
14,2002,0.00019661953242925496
15,2145,0.00016323790944122767
16,2288,0.00012523644453995712
17,2431,5.066347914142209e-05
18,2574,0.0012151964686133645
19,2717,0.0002259770473400196
20,2860,0.0004951516752476459
21,3003,0.0004558538223480011
22,3146,0.0001992087524670821
23,3289,0.0003713361033192881
24,3432,0.0001760432561794361
25,3575,0.00020610384799383738
26,3718,0.0
27,3861,0.0004201085677930525
28,4004,3.595514730973677e-05
29,4147,0.0006415684531618666
30,4290,0.0
31,4433,0.00044798752019455383
32,4576,0.0004601259227399226
33,4719,0.0
34,4862,0.0003363948601942796
35,5005,0.0002467991276220842
36,5148,0.0003447142410111594
37,5291,0.00010270062651667562
38,5434,9.092428050674759e-05
39,5577,0.00022080194178994718
40,5720,0.00010953181898677265
41,5863,0.00038211240426643743
42,6006,0.0
43,6149,0.0001844444110260143
44,6292,0.0
45,6435,0.00034251275075065506
46,6578,0.00010438138371580964
47,6721,1.9115532611633514e-05
48,6864,0.00015819004990837791
49,7007,0.0002535203589009238
50,7150,1.4671339438511775e-05
51,7293,0.0
52,7436,0.0
53,7579,0.0
54,7722,0.00039275040055488373
55,7865,0.00017253108895741976
56,8008,0.0
57,8151,9.613023041845202e-05
58,8294,8.158151294801619e-05
59,8437,0.0
60,8580,0.0
61,8723,0.0
62,8866,0.0
63,9009,0.0
64,9152,5.755233545820196e-05
65,9295,0.0
66,9438,0.0
67,9581,0.0
68,9724,0.0
69,9867,2.151206656769439e-05
70,10010,0.0
71,10153,0.0
72,10296,0.0
73,10439,5.308908599239963e-05
74,10582,0.0
75,10725,0.0
76,10868,0.00015064730094029353
77,11011,0.0
78,11154,0.0
79,11297,0.00037415982126356
80,11440,5.4005898170537885e-05
81,11583,0.0
82,11726,0.00023230373650997668
83,11869,0.00016299593490320485
84,12012,0.0
85,12155,0.0
86,12298,0.0
87,12441,0.0
88,12584,0.0
89,12727,0.0
90,12870,0.0
91,13013,0.0
92,13156,0.0
93,13299,0.0
94,13442,1.3001419447518729e-05
95,13585,0.0002035957116347093
96,13728,0.0009227157472730517
97,13871,4.697752582443344e-05
98,14014,0.0008540821971593204
99,14157,0.0
100,14300,0.0
101,14443,0.0
102,14586,0.0
103,14729,0.0
104,14872,0.0
105,15015,0.00043516965595992294
106,15158,0.0009114452592142812
107,15301,8.83648758167987e-05
108,15444,0.0
109,15587,0.0
110,15730,0.0
111,15873,2.7670831113428504e-05
112,16016,0.0
113,16159,0.00042164065204300247
114,16302,8.52324016444333e-05
115,16445,0.00038781389594078064
116,16588,6.187339866911615e-05
117,16731,0.00010540925122641183
118,16874,0.0
119,17017,0.0
120,17160,0.0
121,17303,0.0
122,17446,5.853400155380889e-05
123,17589,0.0005790520902280207
124,17732,0.0
125,17875,0.0
126,18018,0.0
127,18161,0.0
128,18304,0.0
129,18447,0.0
130,18590,0.0
131,18733,0.0
132,18876,0.0
133,19019,3.3423825577422453e-05
134,19162,0.0
135,19305,0.0
136,19448,0.00015142362017731567
137,19591,0.0
138,19734,0.0
139,19877,0.0
140,20020,3.516314538208755e-05
141,20163,0.0
142,20306,0.0
143,20449,0.0
144,20592,0.0
145,20735,0.00019358911297538063
146,20878,0.0
147,21021,0.0
148,21164,0.0
149,21307,0.0
150,21450,0.0
151,21593,0.0
152,21736,0.0
153,21879,0.0
154,22022,0.0
155,22165,0.0
156,22308,0.0
157,22451,0.0
158,22594,0.0
159,22737,0.0
160,22880,0.0
161,23023,0.0
162,23166,0.0
163,23309,0.0
164,23452,0.0
165,23595,0.0
166,23738,0.0
167,23881,0.0
168,24024,0.0
169,24167,0.0
170,24310,0.0
171,24453,0.0
172,24596,0.0
173,24739,2.658348921295646e-05
174,24882,0.0
175,25025,0.0
176,25168,0.0
177,25311,0.00015982818770241905
178,25454,8.828073114781947e-05
179,25597,0.0
180,25740,0.0
181,25883,1.2897476032897309e-05
182,26026,0.0
183,26169,0.0
184,26312,0.0
185,26455,0.0
186,26598,0.0
187,26741,0.0
188,26884,0.0
189,27027,0.0
190,27170,0.0
191,27313,0.00037551098144971405
192,27456,0.0
193,27599,0.0
194,27742,0.0
195,27885,0.0
196,28028,0.0
197,28171,0.0
198,28314,0.0
199,28457,0.0
