,time,signal,type,query,choice
0,231.83959126472473,idle,visual,"584,5052,122",1
1,427.9422423839569,idle,visual,"1016,5052,122",3
2,527.0021040439606,idle,visual,"72,1378,4353",3
3,535.6042668819427,idle,visual,"4220,5561,4092",3
4,547.6984934806824,idle,kinesthetic,,3
5,731.8999712467194,searching,kinesthetic,"363,359,1659",1
6,760.1443479061127,searching,auditory,"1,262,455",3
7,961.0776214599609,searching,auditory,"608,442,178",3
8,989.4668381214142,searching,auditory,"608,442,178",3
9,1003.7733178138733,searching,auditory,"723,480,8",0
10,1016.9879667758942,searching,auditory,"539,251,249",3
11,1030.4387826919556,searching,auditory,"285,537,51",3
12,1045.578167438507,searching,auditory,"285,537,51",3
13,1065.9275414943695,searching,auditory,"119,438,435",3
14,1073.4547412395477,searching,auditory,"466,760,429",3
15,1083.508138179779,searching,auditory,"466,695,372",0
16,1090.9680979251862,searching,auditory,"448,404,12",3
17,1100.0743193626404,searching,auditory,"783,804,15",3
18,1110.8689410686493,searching,auditory,"384,368,687",3
19,1116.7042820453644,searching,auditory,"3,97,772",3
20,1119.460333108902,searching,auditory,"421,714,390",3
21,1121.8107542991638,searching,auditory,"288,836,693",3
22,1130.0394632816315,searching,auditory,"288,764,147",3
23,1132.0248305797577,searching,auditory,"288,398,311",3
24,1140.2896394729614,searching,visual,"3666,2912,5471",3
25,1141.6765282154083,searching,visual,"2385,5038,5628",3
26,1143.2913303375244,searching,visual,"5222,3622,5741",3
27,1148.7677857875824,searching,visual,"4558,4748,5657",3
28,1150.152164697647,searching,visual,"4402,5301,175",3
29,1152.0740876197815,searching,visual,"1583,2105,5668",3
30,1153.6077420711517,searching,visual,"3678,4522,252",3
31,1260.5964570045471,has_information,auditory,"601,681,236",3
32,1265.9773490428925,has_information,auditory,"862,588,236",2
33,1277.3912205696106,has_information,visual,"1159,1995,2453",3
34,1278.7222867012024,has_information,visual,"3302,3461,2527",3
35,1281.182580947876,has_information,visual,"688,268,2463",3
36,1318.1821119785309,has_information,auditory,"553,93,99",3
37,1349.6849887371063,has_information,kinesthetic,"1921,2098,599",1
38,1357.346589565277,has_information,kinesthetic,"1694,957,1282",3
39,1369.0943608283997,has_information,kinesthetic,"1375,1352,271",3
40,1390.541883468628,has_information,visual,"5777,914,999",2
41,1397.916383266449,has_information,auditory,"709,171,523",3
42,1407.3377199172974,has_information,auditory,"449,192,215",3
43,1417.3687677383423,has_information,auditory,"449,192,215",1
44,1441.237488269806,has_item,visual,"2825,2277,4618",3
45,1442.7701933383942,has_item,visual,"2470,3603,3844",3
46,1450.7555720806122,has_item,visual,"11,2791,5466",0
47,1463.3479936122894,has_item,auditory,"338,768,662",3
48,1467.114000082016,has_item,auditory,"626,471,300",3
49,1469.4941055774689,has_item,auditory,"626,471,300",3
50,1476.1562461853027,has_item,auditory,"825,774,507",3
51,1485.3037109375,has_item,auditory,"576,70,654",3
52,1487.3105640411377,has_item,auditory,"285,466,120",3
53,1490.0788900852203,has_item,auditory,"285,466,120",3
54,1502.1631886959076,has_item,auditory,"285,27,19",3
55,1505.0286746025085,has_item,auditory,"285,27,19",3
56,1513.5329411029816,has_item,auditory,"349,280,320",0
57,1541.3799896240234,has_item,kinesthetic,"1618,403,2043",3
58,1552.1310658454895,has_item,kinesthetic,"1450,303,969",3
59,1565.3398387432098,has_item,kinesthetic,"966,2025,969",2
60,1576.4210269451141,has_item,kinesthetic,"966,1091,286",0
