,iterations,avg_loss
0,0,0.03221910627534776
1,697,0.03178171721558318
2,1394,0.031813630585691
3,2091,0.031395972972278786
4,2788,0.03207510906449349
5,3485,0.031775125557586145
6,4182,0.030743446462978764
7,4879,0.029952885003137794
8,5576,0.030957807341812332
9,6273,0.030361544880668608
10,6970,0.03181601579767389
11,7667,0.03126408636484461
12,8364,0.03095875862168103
13,9061,0.03046684619172916
14,9758,0.03131477143535313
15,10455,0.030838378703748136
16,11152,0.029910509606858066
17,11849,0.029345833588193787
18,12546,0.030255481194560462
19,13243,0.029841910646840865
20,13940,0.029807479172902263
21,14637,0.0310610377121519
22,15334,0.029366287302594617
23,16031,0.030085086651477785
24,16728,0.029673197519146387
25,17425,0.030183007077472967
26,18122,0.0296161273117558
27,18819,0.03089982938219177
28,19516,0.03131436737230211
29,20213,0.030250033141892816
30,20910,0.029719068124954465
31,21607,0.029139489662356494
32,22304,0.028752702893622466
33,23001,0.03025373324773233
34,23698,0.028590335907518777
35,24395,0.028346696491734026
36,25092,0.02995206174070558
37,25789,0.02953924587159451
38,26486,0.029002068973169093
39,27183,0.028730209793900827
40,27880,0.029054708426104726
41,28577,0.030150600451136936
42,29274,0.02819826082998574
43,29971,0.029166232906762974
44,30668,0.028567593101107406
45,31365,0.02877199649810791
46,32062,0.028453701965436017
47,32759,0.028040780484077748
48,33456,0.028308842924438214
49,34153,0.027195086523655328
50,34850,0.02777436037829822
51,35547,0.02718316542366827
52,36244,0.027810216292076164
53,36941,0.027589844494331175
54,37638,0.026523476693688368
55,38335,0.027361357400201826
56,39032,0.026573341152760357
57,39729,0.027418041075319265
58,40426,0.027042646575692393
59,41123,0.02666843741319785
60,41820,0.026498100422376197
61,42517,0.02766668009792202
62,43214,0.027404170723864474
63,43911,0.02780248316664949
64,44608,0.026035566668599373
65,45305,0.026207043159982908
66,46002,0.02560595195296847
67,46699,0.02834776356025269
68,47396,0.02625464991141255
69,48093,0.02710333650389224
70,48790,0.025142715770852787
71,49487,0.02518621638652413
72,50184,0.026229456900866165
73,50881,0.026440316455778125
74,51578,0.025048935900801737
75,52275,0.025882733005020163
76,52972,0.024425996427385504
77,53669,0.023262678892745862
78,54366,0.02720390754074414
79,55063,0.026050025241788868
80,55760,0.025944325768280575
81,56457,0.025606549752494014
82,57154,0.025173612056537887
83,57851,0.026167575008044796
84,58548,0.024092441908427256
85,59245,0.02435614294780036
86,59942,0.02521697088669841
87,60639,0.025421093962284893
88,61336,0.02507277331188043
89,62033,0.02513411688154705
90,62730,0.024374630991663447
91,63427,0.023950975158464276
92,64124,0.024828353733722244
93,64821,0.024444823584905486
94,65518,0.023747401437595208
95,66215,0.024408493655996993
96,66912,0.02502367452022164
97,67609,0.024391196122983606
98,68306,0.025355256313572997
99,69003,0.024821790766339735
100,69700,0.022935033058333432
101,70397,0.02318874219568764
102,71094,0.02510936530453916
103,71791,0.025266075878266455
104,72488,0.022313866331382326
105,73185,0.023360075875368487
106,73882,0.021736756501615134
107,74579,0.023613300521883426
108,75276,0.022696031559488523
109,75973,0.023231131659347665
110,76670,0.022557890056024495
111,77367,0.02299762092840723
112,78064,0.02334327467715894
113,78761,0.022712361179773228
114,79458,0.024260217096747423
115,80155,0.023898284289039874
116,80852,0.023982335069087177
117,81549,0.022768205494073407
118,82246,0.02221497482856685
119,82943,0.023731448771792812
120,83640,0.023315930789820263
121,84337,0.022210109225304604
122,85034,0.02192214452040247
123,85731,0.022159564807220034
124,86428,0.022968441141045078
125,87125,0.022542143398241128
126,87822,0.021517777417277333
127,88519,0.02089631330847227
128,89216,0.02279107937511789
129,89913,0.023251800809905382
130,90610,0.023022826467046096
131,91307,0.022750347980980894
132,92004,0.020518598396603655
133,92701,0.023154234056664336
134,93398,0.022976157131205332
135,94095,0.021261847600704285
136,94792,0.021174673520167556
137,95489,0.022743683826803647
138,96186,0.021281812596569104
