,time,signal,type,query,choice
0,215.02358746528625,has_item,visual,"11,4775,5271",0
1,277.0465099811554,has_item,auditory,[451 447 712],0
2,307.0893077850342,has_item,kinesthetic,[ 737 1563  733],2
3,322.1291446685791,has_item,kinesthetic,"737,1563,733",2
4,448.695116519928,searching,visual,"2375,1558,3127",0
5,630.6506345272064,searching,kinesthetic,"100,860,1007",0
6,642.6284670829773,searching,kinesthetic,"245,350,395",1
7,684.3034210205078,searching,kinesthetic,"366,350,1342",1
8,814.3552548885345,idle,visual,"5357,4364,4334",0
9,873.7316691875458,idle,auditory,"662,352,162",3
10,1014.4703168869019,idle,auditory,"762,95,475",0
11,1045.6775977611542,idle,auditory,"228,757,724",2
12,1069.3313300609589,idle,auditory,"762,757,724",0
13,1113.2548213005066,idle,kinesthetic,"517,737,1925",2
14,1134.5006613731384,idle,kinesthetic,"1945,1925,2049",0
15,1146.7418994903564,idle,kinesthetic,"1945,1925,1066",0
16,1220.171935558319,has_information,visual,"5797,241,2318",0
17,1235.521785736084,has_information,visual,"5797,5180,3393",0
18,1270.2340993881226,has_information,auditory,"136,272,71",2
19,1291.7357988357544,has_information,auditory,"248,93,71",2
20,1312.6275606155396,has_information,kinesthetic,"1343,1328,578",0
21,1329.318341255188,has_information,kinesthetic,"1343,1328,578",0
22,1346.7958178520203,has_information,kinesthetic,"1343,1341,2094",0
