modality,signal,embedding_type,embedding_size,metric
visual,has_information,random,4,0.625
visual,has_information,random,4,1.0
visual,has_information,random,4,1.0
visual,has_information,random,4,0.0
auditory,idle,contrastive+autoencoder,4,0.0
auditory,idle,contrastive+autoencoder,4,0.0
auditory,idle,contrastive+autoencoder,4,1.0
auditory,idle,contrastive+autoencoder,4,0.9411764740943908
auditory,idle,contrastive+autoencoder,4,0.3333333432674408
auditory,idle,contrastive+autoencoder,4,0.5
auditory,idle,contrastive+autoencoder,4,0.0
auditory,idle,contrastive+autoencoder,4,1.0
auditory,searching,contrastive+autoencoder,4,0.6666666865348816
auditory,searching,contrastive+autoencoder,4,0.9473684430122375
auditory,searching,contrastive+autoencoder,4,0.3333333432674408
auditory,searching,contrastive+autoencoder,4,0.0
auditory,searching,contrastive+autoencoder,4,0.0
auditory,searching,contrastive+autoencoder,4,0.6666666865348816
auditory,searching,contrastive+autoencoder,4,1.0
auditory,searching,contrastive+autoencoder,4,0.5
auditory,searching,contrastive+autoencoder,4,1.0
auditory,searching,contrastive+autoencoder,4,0.5
auditory,has_item,contrastive+autoencoder,4,1.0
auditory,has_item,contrastive+autoencoder,4,1.0
auditory,has_item,contrastive+autoencoder,4,0.5
auditory,has_item,contrastive+autoencoder,4,0.3333333432674408
auditory,has_item,contrastive+autoencoder,4,1.0
auditory,has_item,contrastive+autoencoder,4,1.0
auditory,has_item,contrastive+autoencoder,4,0.0
auditory,has_item,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,0.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,0.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,has_information,contrastive+autoencoder,4,1.0
auditory,idle,contrastive,4,0.0
auditory,idle,contrastive,4,0.5
auditory,idle,contrastive,4,1.0
auditory,idle,contrastive,4,0.9411764740943908
auditory,idle,contrastive,4,0.6666666865348816
auditory,idle,contrastive,4,0.0
auditory,idle,contrastive,4,1.0
auditory,idle,contrastive,4,1.0
auditory,searching,contrastive,4,0.6666666865348816
auditory,searching,contrastive,4,0.9473684430122375
auditory,searching,contrastive,4,0.6666666865348816
auditory,searching,contrastive,4,0.0
auditory,searching,contrastive,4,1.0
auditory,searching,contrastive,4,0.3333333432674408
auditory,searching,contrastive,4,1.0
auditory,searching,contrastive,4,0.5
auditory,searching,contrastive,4,1.0
auditory,searching,contrastive,4,0.5
auditory,has_item,contrastive,4,1.0
auditory,has_item,contrastive,4,1.0
auditory,has_item,contrastive,4,0.5
auditory,has_item,contrastive,4,0.0
auditory,has_item,contrastive,4,1.0
auditory,has_item,contrastive,4,1.0
auditory,has_item,contrastive,4,0.0
auditory,has_item,contrastive,4,1.0
auditory,has_information,contrastive,4,1.0
auditory,has_information,contrastive,4,1.0
auditory,has_information,contrastive,4,0.0
auditory,has_information,contrastive,4,0.5
auditory,has_information,contrastive,4,1.0
auditory,has_information,contrastive,4,1.0
auditory,has_information,contrastive,4,0.0
auditory,has_information,contrastive,4,1.0
auditory,idle,autoencoder,4,0.0
auditory,idle,autoencoder,4,0.0
auditory,idle,autoencoder,4,1.0
auditory,idle,autoencoder,4,0.9411764740943908
auditory,idle,autoencoder,4,0.3333333432674408
auditory,idle,autoencoder,4,0.5
auditory,idle,autoencoder,4,1.0
auditory,idle,autoencoder,4,1.0
auditory,searching,autoencoder,4,0.6666666865348816
auditory,searching,autoencoder,4,0.9473684430122375
auditory,searching,autoencoder,4,0.3333333432674408
auditory,searching,autoencoder,4,0.0
auditory,searching,autoencoder,4,0.0
auditory,searching,autoencoder,4,0.3333333432674408
auditory,searching,autoencoder,4,1.0
auditory,searching,autoencoder,4,0.5
auditory,searching,autoencoder,4,1.0
auditory,searching,autoencoder,4,0.5
auditory,has_item,autoencoder,4,1.0
auditory,has_item,autoencoder,4,1.0
auditory,has_item,autoencoder,4,0.5
auditory,has_item,autoencoder,4,0.0
auditory,has_item,autoencoder,4,1.0
auditory,has_item,autoencoder,4,1.0
auditory,has_item,autoencoder,4,0.0
auditory,has_item,autoencoder,4,1.0
auditory,has_information,autoencoder,4,1.0
auditory,has_information,autoencoder,4,1.0
auditory,has_information,autoencoder,4,0.0
auditory,has_information,autoencoder,4,1.0
auditory,has_information,autoencoder,4,1.0
auditory,has_information,autoencoder,4,1.0
auditory,has_information,autoencoder,4,0.5
auditory,has_information,autoencoder,4,1.0
auditory,idle,random,4,0.0
auditory,idle,random,4,0.5
auditory,idle,random,4,1.0
auditory,idle,random,4,0.9411764740943908
auditory,idle,random,4,0.6666666865348816
auditory,idle,random,4,0.0
auditory,idle,random,4,0.0
auditory,idle,random,4,1.0
auditory,searching,random,4,0.6666666865348816
auditory,searching,random,4,0.9473684430122375
auditory,searching,random,4,0.6666666865348816
auditory,searching,random,4,1.0
auditory,searching,random,4,0.0
auditory,searching,random,4,0.3333333432674408
auditory,searching,random,4,1.0
auditory,searching,random,4,0.5
auditory,searching,random,4,1.0
auditory,searching,random,4,0.5
auditory,has_item,random,4,0.800000011920929
auditory,has_item,random,4,1.0
auditory,has_item,random,4,0.5
auditory,has_item,random,4,0.0
auditory,has_item,random,4,0.8571428656578064
auditory,has_item,random,4,1.0
auditory,has_item,random,4,0.0
auditory,has_item,random,4,1.0
auditory,has_information,random,4,0.0
auditory,has_information,random,4,1.0
auditory,has_information,random,4,0.0
auditory,has_information,random,4,1.0
auditory,has_information,random,4,1.0
auditory,has_information,random,4,1.0
auditory,has_information,random,4,0.0
auditory,has_information,random,4,1.0
kinesthetic,idle,contrastive+autoencoder,4,0.0
kinesthetic,idle,contrastive+autoencoder,4,1.0
kinesthetic,idle,contrastive+autoencoder,4,0.6666666865348816
kinesthetic,idle,contrastive+autoencoder,4,0.0
kinesthetic,searching,contrastive+autoencoder,4,0.5
kinesthetic,searching,contrastive+autoencoder,4,0.6666666865348816
kinesthetic,searching,contrastive+autoencoder,4,1.0
kinesthetic,searching,contrastive+autoencoder,4,1.0
kinesthetic,searching,contrastive+autoencoder,4,0.5
kinesthetic,searching,contrastive+autoencoder,4,1.0
kinesthetic,searching,contrastive+autoencoder,4,1.0
kinesthetic,searching,contrastive+autoencoder,4,0.0
kinesthetic,has_item,contrastive+autoencoder,4,0.0
kinesthetic,has_item,contrastive+autoencoder,4,0.6666666865348816
