modality,signal,embedding_type,embedding_size,metric,seed
visual,idle,contrastive+autoencoder,128,5.465110778808594,11
visual,idle,contrastive+autoencoder,128,0.6343056559562683,11
visual,idle,contrastive+autoencoder,128,0.0491578951478004,11
visual,idle,contrastive+autoencoder,128,18.96682929992676,11
visual,idle,contrastive+autoencoder,128,0.4282560348510742,11
visual,idle,contrastive+autoencoder,128,0.6748876571655273,11
visual,idle,contrastive+autoencoder,128,0.0224589630961418,11
visual,idle,contrastive+autoencoder,128,0.05513222143054,11
visual,idle,contrastive+autoencoder,128,0.6289122104644775,11
visual,idle,contrastive+autoencoder,128,0.0112060690298676,11
visual,idle,contrastive+autoencoder,128,0.0129567170515656,11
visual,idle,contrastive+autoencoder,128,0.1565383821725845,11
visual,idle,contrastive+autoencoder,128,4.160415172576904,11
visual,idle,contrastive+autoencoder,128,0.8165740966796875,11
visual,idle,contrastive+autoencoder,128,0.0398905463516712,11
visual,idle,contrastive+autoencoder,128,0.0550318099558353,11
visual,idle,contrastive+autoencoder,128,0.0603960491716861,11
visual,idle,contrastive+autoencoder,128,0.2933032810688019,11
visual,idle,contrastive+autoencoder,128,0.3585426807403564,11
visual,idle,contrastive+autoencoder,128,0.1026594713330268,11
visual,idle,contrastive+autoencoder,128,0.0668163001537323,11
visual,idle,contrastive+autoencoder,128,0.4704629480838775,11
visual,idle,contrastive+autoencoder,128,0.0333877764642238,11
visual,idle,contrastive+autoencoder,128,0.0590934194624424,11
visual,idle,contrastive+autoencoder,128,0.0748320370912551,11
visual,idle,contrastive+autoencoder,128,0.8449012041091919,11
visual,idle,contrastive+autoencoder,128,0.6111927032470703,11
visual,idle,contrastive+autoencoder,128,0.0072766984812915,11
visual,idle,contrastive+autoencoder,128,0.0487906858325004,11
visual,idle,contrastive+autoencoder,128,0.0655867680907249,11
visual,idle,contrastive+autoencoder,128,0.0312398318201303,11
visual,idle,contrastive+autoencoder,128,0.0008275659638457,11
visual,idle,contrastive+autoencoder,128,0.0015985103091225,11
visual,idle,contrastive+autoencoder,128,0.002534988336265,11
visual,idle,contrastive+autoencoder,128,1.5985758304595947,11
visual,idle,contrastive+autoencoder,128,0.0006777135422453,11
visual,idle,contrastive+autoencoder,128,7.152555099310121e-07,11
visual,idle,contrastive+autoencoder,128,3.576278118089249e-07,11
visual,idle,contrastive+autoencoder,128,3.576278118089249e-07,11
visual,idle,contrastive+autoencoder,128,1.9192511899746023e-05,11
visual,idle,contrastive+autoencoder,128,3.695481154863956e-06,11
visual,idle,contrastive+autoencoder,128,4.768370445162873e-07,11
visual,idle,contrastive+autoencoder,128,1.4066597032069694e-05,11
visual,idle,contrastive+autoencoder,128,1.764281842042692e-05,11
visual,idle,contrastive+autoencoder,128,1.311301275563892e-06,11
visual,idle,contrastive+autoencoder,128,7.30726242181845e-05,11
visual,idle,contrastive+autoencoder,128,3.576278118089249e-07,11
visual,idle,contrastive+autoencoder,128,7.152555099310121e-07,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,0.2174442112445831,11
visual,idle,contrastive+autoencoder,128,0.3347131013870239,11
visual,idle,contrastive+autoencoder,128,4.525820732116699,11
visual,idle,contrastive+autoencoder,128,0.4760067164897918,11
visual,idle,contrastive+autoencoder,128,0.1821645200252533,11
visual,idle,contrastive+autoencoder,128,0.368236631155014,11
visual,idle,contrastive+autoencoder,128,0.1561843007802963,11
visual,idle,contrastive+autoencoder,128,3.730074644088745,11
visual,idle,contrastive+autoencoder,128,0.3829804956912994,11
visual,idle,contrastive+autoencoder,128,0.3457670509815216,11
visual,idle,contrastive+autoencoder,128,0.3100541234016418,11
visual,idle,contrastive+autoencoder,128,0.0,11
