modality,embedding_type,embedding_size,metric,seed
kinesthetic,autoencoder,128,0.47826087474823,42
kinesthetic,autoencoder,128,0.52173912525177,42
kinesthetic,autoencoder,128,0.6086956262588501,42
kinesthetic,autoencoder,128,0.5652173757553101,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.3333333432674408,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.4666666686534881,42
kinesthetic,autoencoder,128,0.5333333611488342,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,0.9375,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.699999988079071,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.4000000059604645,42
kinesthetic,autoencoder,128,0.699999988079071,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.699999988079071,42
kinesthetic,autoencoder,128,0.699999988079071,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.6000000238418579,42
kinesthetic,autoencoder,128,0.699999988079071,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.8333333134651184,42
kinesthetic,autoencoder,128,0.8333333134651184,42
kinesthetic,autoencoder,128,0.8333333134651184,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.5,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.8333333134651184,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,1.0,42
kinesthetic,autoencoder,128,0.6666666865348816,42
kinesthetic,autoencoder,128,0.5555555820465088,42
