,pid,modality,method,embedding_size,accuracy
76,14,auditory,contrastive+VAE,128,0.8166666626930237
77,5,auditory,contrastive+VAE,128,0.6416666626930236
78,35,auditory,contrastive+VAE,128,0.8625
79,34,visual,contrastive+VAE,128,0.7125
80,28,visual,contrastive+VAE,128,0.8375
81,7,visual,contrastive+VAE,128,0.8625
82,31,visual,contrastive+VAE,128,0.85
83,4,visual,contrastive+VAE,128,0.875
84,13,visual,contrastive+VAE,128,0.8958333373069763
85,25,visual,contrastive+VAE,128,0.75
86,37,visual,contrastive+VAE,128,0.875
87,1,visual,contrastive+VAE,128,0.9
88,19,visual,contrastive+VAE,128,0.85
89,40,visual,contrastive+VAE,128,0.875
90,16,visual,contrastive+VAE,128,0.8041666626930237
91,22,visual,contrastive+VAE,128,0.6833333373069763
92,10,visual,contrastive+VAE,128,0.825
93,34,visual,contrastive,128,0.975
94,28,visual,contrastive,128,0.95
95,7,visual,contrastive,128,0.9625
96,31,visual,contrastive,128,0.975
97,4,visual,contrastive,128,0.925
98,13,visual,contrastive,128,0.9625
99,25,visual,contrastive,128,0.9125
100,37,visual,contrastive,128,0.9375
101,1,visual,contrastive,128,0.9625
102,19,visual,contrastive,128,0.9875
103,40,visual,contrastive,128,0.9625
104,16,visual,contrastive,128,0.9625
105,22,visual,contrastive,128,0.975
106,10,visual,contrastive,128,0.925
107,34,visual,autoencoder,128,0.4333333343267441
108,28,visual,autoencoder,128,0.4708333373069763
109,7,visual,autoencoder,128,0.6791666626930237
110,31,visual,autoencoder,128,0.5416666686534881
111,4,visual,autoencoder,128,0.5833333373069763
112,13,visual,autoencoder,128,0.7125
113,25,visual,autoencoder,128,0.6541666626930237
114,37,visual,autoencoder,128,0.5666666626930237
115,1,visual,autoencoder,128,0.4625
116,19,visual,autoencoder,128,0.5083333343267441
117,40,visual,autoencoder,128,0.5625
118,16,visual,autoencoder,128,0.47916666865348817
119,22,visual,autoencoder,128,0.4875
120,10,visual,autoencoder,128,0.5541666626930237
121,39,kinetic,contrastive+VAE,128,0.9625
122,6,kinetic,contrastive+VAE,128,0.925
123,33,kinetic,contrastive+VAE,128,0.8916666626930236
124,3,kinetic,contrastive+VAE,128,0.925
125,18,kinetic,contrastive+VAE,128,0.975
126,27,kinetic,contrastive+VAE,128,0.9625
127,15,kinetic,contrastive+VAE,128,0.9375
128,24,kinetic,contrastive+VAE,128,0.975
129,21,kinetic,contrastive+VAE,128,0.85
130,36,kinetic,contrastive+VAE,128,0.8625
131,30,kinetic,contrastive+VAE,128,0.9125
132,12,kinetic,contrastive+VAE,128,0.9625
133,9,kinetic,contrastive+VAE,128,1.0
134,39,kinetic,autoencoder,128,0.9375
135,6,kinetic,autoencoder,128,0.9625
136,33,kinetic,autoencoder,128,0.9875
137,3,kinetic,autoencoder,128,0.9875
138,18,kinetic,autoencoder,128,0.9625
139,27,kinetic,autoencoder,128,0.9375
140,15,kinetic,autoencoder,128,0.975
141,24,kinetic,autoencoder,128,0.975
142,21,kinetic,autoencoder,128,0.8625
143,36,kinetic,autoencoder,128,0.8875
144,30,kinetic,autoencoder,128,0.95
145,12,kinetic,autoencoder,128,0.9625
146,9,kinetic,autoencoder,128,0.975
147,39,kinetic,contrastive+autoencoder,128,0.95
148,6,kinetic,contrastive+autoencoder,128,0.9625
149,33,kinetic,contrastive+autoencoder,128,0.9875
150,3,kinetic,contrastive+autoencoder,128,1.0
151,18,kinetic,contrastive+autoencoder,128,0.975
152,27,kinetic,contrastive+autoencoder,128,0.95
153,15,kinetic,contrastive+autoencoder,128,0.975
154,24,kinetic,contrastive+autoencoder,128,0.9875
155,21,kinetic,contrastive+autoencoder,128,0.925
156,36,kinetic,contrastive+autoencoder,128,0.9875
157,30,kinetic,contrastive+autoencoder,128,0.975
158,12,kinetic,contrastive+autoencoder,128,0.9625
159,9,kinetic,contrastive+autoencoder,128,1.0
160,8,auditory,contrastive,128,0.975
161,2,auditory,contrastive,128,0.9291666626930237
162,29,auditory,contrastive,128,0.875
163,11,auditory,contrastive,128,0.7666666626930236
164,23,auditory,contrastive,128,0.9125
165,38,auditory,contrastive,128,0.7916666626930237
166,20,auditory,contrastive,128,0.95
167,32,auditory,contrastive,128,0.7416666626930237
168,17,auditory,contrastive,128,0.95
169,26,auditory,contrastive,128,0.9
170,14,auditory,contrastive,128,0.825
171,5,auditory,contrastive,128,0.9125
172,35,auditory,contrastive,128,0.9375
173,34,visual,VAE,128,0.8375
174,28,visual,VAE,128,0.8
175,7,visual,VAE,128,0.7916666626930237
176,31,visual,VAE,128,0.7458333373069763
177,4,visual,VAE,128,0.7916666626930237
178,13,visual,VAE,128,0.7708333373069763
179,25,visual,VAE,128,0.8125
180,37,visual,VAE,128,0.7291666626930237
181,1,visual,VAE,128,0.875
182,19,visual,VAE,128,0.8041666626930237
183,40,visual,VAE,128,0.8125
184,16,visual,VAE,128,0.925
185,22,visual,VAE,128,0.9125
186,10,visual,VAE,128,0.7166666626930237
187,8,auditory,contrastive+autoencoder,128,0.9625
188,2,auditory,contrastive+autoencoder,128,0.9625
189,29,auditory,contrastive+autoencoder,128,0.9125
190,11,auditory,contrastive+autoencoder,128,0.8875
191,23,auditory,contrastive+autoencoder,128,0.9875
192,38,auditory,contrastive+autoencoder,128,0.8625
193,20,auditory,contrastive+autoencoder,128,0.975
194,32,auditory,contrastive+autoencoder,128,0.875
195,17,auditory,contrastive+autoencoder,128,1.0
196,26,auditory,contrastive+autoencoder,128,0.9875
197,14,auditory,contrastive+autoencoder,128,0.8791666626930237
198,5,auditory,contrastive+autoencoder,128,0.9625
199,35,auditory,contrastive+autoencoder,128,0.9375
200,34,visual,contrastive+autoencoder,128,1.0
201,28,visual,contrastive+autoencoder,128,0.9375
202,7,visual,contrastive+autoencoder,128,0.9875
203,31,visual,contrastive+autoencoder,128,1.0
204,4,visual,contrastive+autoencoder,128,0.9875
205,13,visual,contrastive+autoencoder,128,0.9625
206,25,visual,contrastive+autoencoder,128,0.9375
207,37,visual,contrastive+autoencoder,128,0.9875
208,1,visual,contrastive+autoencoder,128,0.975
209,19,visual,contrastive+autoencoder,128,1.0
210,40,visual,contrastive+autoencoder,128,0.975
211,16,visual,contrastive+autoencoder,128,0.9625
212,22,visual,contrastive+autoencoder,128,0.975
213,10,visual,contrastive+autoencoder,128,0.9625
214,8,auditory,autoencoder,128,0.6541666626930237
215,2,auditory,autoencoder,128,0.6666666626930237
216,29,auditory,autoencoder,128,0.6208333373069763
217,11,auditory,autoencoder,128,0.8041666626930237
218,23,auditory,autoencoder,128,0.7
219,38,auditory,autoencoder,128,0.8166666626930237
220,20,auditory,autoencoder,128,0.7166666626930237
221,32,auditory,autoencoder,128,0.7416666626930237
222,17,auditory,autoencoder,128,0.6916666626930237
223,26,auditory,autoencoder,128,0.7416666626930237
224,14,auditory,autoencoder,128,0.6833333373069763
225,5,auditory,autoencoder,128,0.6291666626930237
226,35,auditory,autoencoder,128,0.7083333373069763
227,39,kinetic,contrastive,128,0.975
228,6,kinetic,contrastive,128,0.9625
229,33,kinetic,contrastive,128,0.975
230,3,kinetic,contrastive,128,1.0
231,18,kinetic,contrastive,128,0.9875
232,27,kinetic,contrastive,128,0.975
233,15,kinetic,contrastive,128,0.975
234,24,kinetic,contrastive,128,0.9875
235,21,kinetic,contrastive,128,0.9375
236,36,kinetic,contrastive,128,0.9875
237,30,kinetic,contrastive,128,1.0
238,12,kinetic,contrastive,128,0.975
239,9,kinetic,contrastive,128,0.9875
