,Unnamed: 0,pid,modality,method,embedding_size,accuracy
51,51,38,auditory,autoencoder,128,0.7083333373069763
52,52,32,auditory,autoencoder,128,0.6208333373069763
53,53,29,auditory,autoencoder,128,0.8375
67,67,20,auditory,contrastive,128,0.9375
68,68,11,auditory,contrastive,128,0.7916666626930237
69,69,2,auditory,contrastive,128,0.95
70,70,8,auditory,contrastive,128,0.975
71,71,5,auditory,contrastive,128,0.9
72,72,35,auditory,contrastive,128,0.9375
73,73,17,auditory,contrastive,128,0.95
74,74,26,auditory,contrastive,128,0.8875
75,75,23,auditory,contrastive,128,0.9625
76,76,14,auditory,contrastive,128,0.7916666626930237
77,77,38,auditory,contrastive,128,0.8625
78,78,32,auditory,contrastive,128,0.7166666626930237
79,79,29,auditory,contrastive,128,0.8625
119,119,37,visual,contrastive,128,0.9625
120,120,31,visual,contrastive,128,0.975
121,121,25,visual,contrastive,128,0.9125
122,122,16,visual,contrastive,128,0.975
123,123,22,visual,contrastive,128,1.0
124,124,34,visual,contrastive,128,0.925
125,125,4,visual,contrastive,128,0.95
126,126,1,visual,contrastive,128,0.9625
127,127,40,visual,contrastive,128,0.95
128,128,10,visual,contrastive,128,0.9125
129,129,7,visual,contrastive,128,0.9625
130,130,13,visual,contrastive,128,0.95
131,131,19,visual,contrastive,128,1.0
132,132,28,visual,contrastive,128,0.9375
133,133,20,auditory,random,128,0.6958333373069763
134,134,11,auditory,random,128,0.775
135,135,2,auditory,random,128,0.7041666626930236
136,136,8,auditory,random,128,0.7541666626930237
137,137,5,auditory,random,128,0.725
138,138,35,auditory,random,128,0.7166666626930237
139,139,17,auditory,random,128,0.7625
140,140,26,auditory,random,128,0.7041666626930236
141,141,23,auditory,random,128,0.6125
142,142,14,auditory,random,128,0.7291666626930237
143,143,38,auditory,random,128,0.7166666626930237
144,144,32,auditory,random,128,0.7166666626930237
145,145,29,auditory,random,128,0.7416666626930237
146,146,37,visual,autoencoder,128,0.925
147,147,31,visual,autoencoder,128,0.9125
148,148,25,visual,autoencoder,128,0.825
149,149,16,visual,autoencoder,128,0.8666666626930237
150,150,22,visual,autoencoder,128,0.9375
151,151,34,visual,autoencoder,128,0.825
152,152,4,visual,autoencoder,128,0.9375
153,153,1,visual,autoencoder,128,0.9625
154,154,40,visual,autoencoder,128,0.9625
155,155,10,visual,autoencoder,128,0.925
156,156,7,visual,autoencoder,128,0.925
157,157,13,visual,autoencoder,128,0.9125
158,158,19,visual,autoencoder,128,0.95
159,159,28,visual,autoencoder,128,0.825
160,160,37,visual,contrastive+VAE,128,0.875
161,161,31,visual,contrastive+VAE,128,0.8625
162,162,25,visual,contrastive+VAE,128,0.7375
163,163,16,visual,contrastive+VAE,128,0.7916666626930237
164,164,22,visual,contrastive+VAE,128,0.6958333373069763
165,165,34,visual,contrastive+VAE,128,0.5625
166,166,4,visual,contrastive+VAE,128,0.8875
167,167,1,visual,contrastive+VAE,128,0.9
168,168,40,visual,contrastive+VAE,128,0.875
169,169,10,visual,contrastive+VAE,128,0.8
170,170,7,visual,contrastive+VAE,128,0.8125
171,171,13,visual,contrastive+VAE,128,0.9166666626930235
172,172,19,visual,contrastive+VAE,128,0.8041666626930237
173,173,28,visual,contrastive+VAE,128,0.825
174,174,20,auditory,VAE,128,0.8375
175,175,11,auditory,VAE,128,0.7833333373069763
176,176,2,auditory,VAE,128,0.7166666626930237
177,177,8,auditory,VAE,128,0.7375
178,178,5,auditory,VAE,128,0.75
179,179,35,auditory,VAE,128,0.7125
180,180,17,auditory,VAE,128,0.7541666626930237
181,181,26,auditory,VAE,128,0.8208333373069763
182,182,23,auditory,VAE,128,0.7083333373069763
183,183,14,auditory,VAE,128,0.7625
184,184,38,auditory,VAE,128,0.7416666626930237
185,185,32,auditory,VAE,128,0.7666666626930236
186,186,29,auditory,VAE,128,0.85
187,187,20,auditory,contrastive+autoencoder,128,0.9625
188,188,11,auditory,contrastive+autoencoder,128,0.9125
189,189,2,auditory,contrastive+autoencoder,128,0.9875
190,190,8,auditory,contrastive+autoencoder,128,0.975
191,191,5,auditory,contrastive+autoencoder,128,0.9625
192,192,35,auditory,contrastive+autoencoder,128,0.9625
193,193,17,auditory,contrastive+autoencoder,128,0.9875
194,194,26,auditory,contrastive+autoencoder,128,0.95
195,195,23,auditory,contrastive+autoencoder,128,0.9875
196,196,14,auditory,contrastive+autoencoder,128,0.9291666626930236
197,197,38,auditory,contrastive+autoencoder,128,0.8875
198,198,32,auditory,contrastive+autoencoder,128,0.9
199,199,29,auditory,contrastive+autoencoder,128,0.9375
200,200,37,visual,random,128,0.8625
201,201,31,visual,random,128,0.6916666626930237
202,202,25,visual,random,128,0.7625
203,203,16,visual,random,128,0.825
204,204,22,visual,random,128,0.8
205,205,34,visual,random,128,0.7958333373069764
206,206,4,visual,random,128,0.925
207,207,1,visual,random,128,0.8875
208,208,40,visual,random,128,0.8
209,209,10,visual,random,128,0.7791666626930237
210,210,7,visual,random,128,0.8416666626930237
211,211,13,visual,random,128,0.8458333373069763
212,212,19,visual,random,128,0.8875
213,213,28,visual,random,128,0.775
214,214,20,auditory,contrastive+VAE,128,0.6625
215,215,11,auditory,contrastive+VAE,128,0.8875
216,216,2,auditory,contrastive+VAE,128,0.6333333373069763
217,217,8,auditory,contrastive+VAE,128,0.55
218,218,5,auditory,contrastive+VAE,128,0.6416666626930236
219,219,35,auditory,contrastive+VAE,128,0.875
220,220,17,auditory,contrastive+VAE,128,0.8875
221,221,26,auditory,contrastive+VAE,128,0.8625
222,222,23,auditory,contrastive+VAE,128,0.925
223,223,14,auditory,contrastive+VAE,128,0.8625
224,224,38,auditory,contrastive+VAE,128,0.8791666626930237
225,225,32,auditory,contrastive+VAE,128,0.8625
226,226,29,auditory,contrastive+VAE,128,0.875
