,pid,modality,method,embedding_size,accuracy
133,9,kinetic,contrastive+VAE,128,1.0
134,39,kinetic,autoencoder,128,0.925
135,6,kinetic,autoencoder,128,0.9625
136,33,kinetic,autoencoder,128,0.9875
137,3,kinetic,autoencoder,128,0.975
138,18,kinetic,autoencoder,128,0.9875
139,27,kinetic,autoencoder,128,0.975
140,15,kinetic,autoencoder,128,0.9375
141,24,kinetic,autoencoder,128,0.975
142,21,kinetic,autoencoder,128,0.8625
143,36,kinetic,autoencoder,128,0.9875
144,30,kinetic,autoencoder,128,0.975
145,12,kinetic,autoencoder,128,0.9625
146,9,kinetic,autoencoder,128,1.0
147,39,kinetic,contrastive+autoencoder,128,0.95
148,6,kinetic,contrastive+autoencoder,128,0.9625
149,33,kinetic,contrastive+autoencoder,128,0.9875
150,3,kinetic,contrastive+autoencoder,128,1.0
151,18,kinetic,contrastive+autoencoder,128,0.975
152,27,kinetic,contrastive+autoencoder,128,0.975
153,15,kinetic,contrastive+autoencoder,128,0.95
154,24,kinetic,contrastive+autoencoder,128,0.975
155,21,kinetic,contrastive+autoencoder,128,0.9125
156,36,kinetic,contrastive+autoencoder,128,0.9875
157,30,kinetic,contrastive+autoencoder,128,0.975
158,12,kinetic,contrastive+autoencoder,128,0.975
159,9,kinetic,contrastive+autoencoder,128,1.0
160,8,auditory,contrastive,128,0.975
161,2,auditory,contrastive,128,0.9625
162,29,auditory,contrastive,128,0.875
163,11,auditory,contrastive,128,0.7916666626930237
164,23,auditory,contrastive,128,0.95
165,38,auditory,contrastive,128,0.8041666626930237
166,20,auditory,contrastive,128,0.9625
167,32,auditory,contrastive,128,0.7916666626930237
168,17,auditory,contrastive,128,0.9375
169,26,auditory,contrastive,128,0.9125
170,14,auditory,contrastive,128,0.825
171,5,auditory,contrastive,128,0.9125
172,35,auditory,contrastive,128,0.9375
173,34,visual,VAE,128,0.8625
174,28,visual,VAE,128,0.8
175,7,visual,VAE,128,0.8541666626930237
176,31,visual,VAE,128,0.7208333373069763
177,4,visual,VAE,128,0.8041666626930237
178,13,visual,VAE,128,0.7208333373069763
179,25,visual,VAE,128,0.825
180,37,visual,VAE,128,0.7416666626930237
181,1,visual,VAE,128,0.825
182,19,visual,VAE,128,0.85
183,40,visual,VAE,128,0.875
184,16,visual,VAE,128,0.8625
185,22,visual,VAE,128,0.925
186,10,visual,VAE,128,0.6833333373069763
187,8,auditory,contrastive+autoencoder,128,0.975
