method,dim_embedding,m,std,modality,signal
contrastive+autoencoder,16,"[0.         0.14759634 0.17625417 0.18389801 0.2056712  0.22102175
 0.23413836 0.24031438 0.24635188 0.26363437 0.28314397 0.29053206
 0.3032176  0.30748168 0.30964986 0.31406684 0.32267444 0.32197737
 0.32588953 0.33685743 0.3448679  0.34951653 0.35327434 0.36369515
 0.36739074 0.36990353 0.37705634 0.38143818 0.38476891 0.38838106
 0.39350147 0.39557137 0.39892556 0.4007151  0.40364547 0.40451519
 0.40873559 0.41211301 0.41325696 0.41702828 0.41896962 0.42244172
 0.42444543 0.42531023 0.42544081 0.42584522 0.4270357  0.42566733
 0.42561303 0.42736699 0.42942335 0.43016758 0.43039912 0.43097083
 0.43048673 0.4296842  0.43136295 0.4305655  0.43304022 0.43461847
 0.43555702 0.43797382 0.43746164 0.43615472 0.43626034 0.43694071
 0.44017847 0.44069191 0.4415934  0.44216154 0.44307987 0.44448167
 0.44572444 0.44412378 0.4418965  0.44260498 0.44351579 0.44358092
 0.44409733 0.44565406 0.44734977 0.44945612 0.44851781 0.4474689
 0.44834113 0.44936686 0.44882056 0.4496878  0.45100272 0.45141025
 0.45188195 0.4519101  0.4524335  0.45174567 0.45236527 0.45260705
 0.45211489 0.45211089 0.45237989 0.45215865 0.45273787]","[0.         0.38282532 0.33411125 0.33588557 0.32140938 0.33265483
 0.31598418 0.31986146 0.32262168 0.30897678 0.30430503 0.29561143
 0.28865626 0.2893797  0.28376299 0.27917962 0.27514442 0.27106736
 0.26540037 0.26041348 0.25561793 0.25244284 0.24926031 0.24364852
 0.23803844 0.23505488 0.22979883 0.22359694 0.222055   0.22018008
 0.21685397 0.21540325 0.21030454 0.21014991 0.2073286  0.20244427
 0.20077675 0.19815759 0.19718852 0.19577138 0.1931768  0.19066029
 0.18803658 0.18438657 0.18539221 0.18357595 0.18077414 0.1797018
 0.1784283  0.17689104 0.17127796 0.17014561 0.17053203 0.16843177
 0.16644122 0.16393543 0.16476304 0.16292119 0.16037445 0.15932908
 0.15755336 0.15651462 0.15557854 0.1541041  0.15176739 0.15171545
 0.14929781 0.14809708 0.1475416  0.14717304 0.14720269 0.14455218
 0.14353855 0.1423827  0.14249242 0.14226454 0.1417465  0.14171633
 0.13984022 0.14028333 0.13974003 0.13953877 0.13776978 0.13801803
 0.13685331 0.13820796 0.13942246 0.13827084 0.13703539 0.13678262
 0.13656187 0.13651336 0.135749   0.13596985 0.13441845 0.13239557
 0.13157899 0.13035341 0.12956182 0.13001823 0.12881462]",visual,idle
contrastive+autoencoder,16,"[ 0.         -0.1726026  -0.12862621 -0.10976684 -0.07767962 -0.05444508
 -0.04128509 -0.03993583 -0.03873905 -0.04620807 -0.04459448 -0.03520846
 -0.03086247 -0.02890747 -0.02068906 -0.02091135 -0.03079687 -0.02953685
 -0.03346772 -0.0286079  -0.02949621 -0.03316328 -0.02873707 -0.02767993
 -0.0281853  -0.02303331 -0.02416415 -0.02318042 -0.0243372  -0.0230136
 -0.02348438 -0.02337359 -0.02145597 -0.02412881 -0.02361418 -0.02373102
 -0.02456983 -0.02216893 -0.02179168 -0.02084794 -0.01705806 -0.01743908
 -0.01667429 -0.01386042 -0.01257943 -0.00953819 -0.0080971  -0.00749948
 -0.00606107 -0.00755911 -0.00444373 -0.00307265 -0.00428747 -0.00180682
 -0.00082814  0.00107863 -0.0003974   0.00058858  0.00212683  0.00256268
  0.00226952  0.00154556  0.00325141  0.00335069  0.00325544  0.00304459
  0.00400172  0.00602367  0.00582919  0.00571103  0.00669805  0.00792214
  0.00911974  0.01068365  0.00858517  0.00969082  0.009421    0.00906349
  0.00825345  0.0093237   0.00986905  0.00956528  0.0102157   0.01048482
  0.01077101  0.0106904   0.00982557  0.01061105  0.01133243  0.01082798
  0.01017557  0.01000637  0.01107116  0.010977    0.01021914  0.01073747
  0.01129226  0.01138322  0.01259318  0.01180415  0.01362599]","[0.         0.35690375 0.37796974 0.40264286 0.41112959 0.41839897
 0.42429237 0.41745609 0.42399432 0.43281209 0.43700907 0.43172718
 0.43346612 0.43731064 0.43922211 0.43834055 0.44060716 0.44120166
 0.44474605 0.44325245 0.44533862 0.44610674 0.45092259 0.45422104
 0.45429522 0.45595218 0.45545057 0.45248943 0.45175522 0.45002362
 0.45046126 0.4506666  0.45108013 0.45033096 0.452872   0.4551224
 0.45612912 0.45661377 0.45981436 0.46074658 0.46088323 0.46168855
 0.460516   0.4595168  0.45849944 0.45738487 0.45678478 0.45954083
 0.45943563 0.45945938 0.45969131 0.45803823 0.45769812 0.45583351
 0.45744228 0.45549953 0.45632417 0.45680471 0.45614495 0.4570218
 0.45617196 0.45862169 0.4599724  0.4622137  0.46139166 0.46123304
 0.46128359 0.46133089 0.4620168  0.46123054 0.45987945 0.46005979
 0.46039492 0.46210126 0.46035235 0.46031645 0.46063618 0.46018947
 0.46107681 0.46082581 0.46166962 0.46168539 0.46230937 0.4620182
 0.46213294 0.46150925 0.46213391 0.46284447 0.46334723 0.46329103
 0.46332884 0.46389746 0.46342025 0.46334495 0.46314169 0.46254562
 0.46269382 0.46309625 0.46338568 0.46286329 0.46226089]",auditory,idle
contrastive+VAE,16,"[0.         0.19509412 0.18273948 0.19269851 0.19044851 0.18919213
 0.19963785 0.20315425 0.207672   0.19715277 0.19934718 0.19450094
 0.19593833 0.1947193  0.19695423 0.19918043 0.20671283 0.20802396
 0.20887266 0.21146459 0.21350785 0.20800166 0.20920136 0.21089834
 0.21113502 0.20796417 0.21264005 0.21161695 0.2129127  0.21518058
 0.21258952 0.21274714 0.21434265 0.21406031 0.21439177 0.21617709
 0.21527723 0.21391794 0.21118281 0.21419082 0.21114017 0.21145233
 0.21292329 0.21271545 0.21056623 0.21154003 0.21017736 0.21168458
 0.21326947 0.2120279  0.21133361 0.2111257  0.20752555 0.2101942
 0.20899788 0.20992711 0.20970892 0.20976445 0.20964438 0.21141244
 0.21025766 0.2090225  0.2067749  0.20479453 0.20561097 0.20499548
 0.20547324 0.20531764 0.20343812 0.20351728 0.20109938 0.1994715
 0.20171114 0.20030609 0.20079228 0.20196628 0.20152871 0.20181125
 0.20189842 0.20436451 0.20258849 0.20222529 0.20201134 0.20092076
 0.20105528 0.20357241 0.20125842 0.20270303 0.20315939 0.2021299
 0.20210892 0.20080457 0.19990349 0.20008499 0.19977649 0.20049461
 0.20035669 0.20225252 0.20394888 0.20493695 0.20487835]","[0.         0.29041447 0.3056355  0.30224592 0.31273807 0.31898248
 0.31171716 0.30622112 0.30427995 0.31224394 0.31297556 0.31792771
 0.31309582 0.32251735 0.32820139 0.3281833  0.32892225 0.32439717
 0.31840919 0.31860225 0.3212752  0.32841936 0.32811637 0.32329836
 0.32206391 0.3197151  0.31623224 0.31522783 0.31024934 0.31129902
 0.31269074 0.3101551  0.30834878 0.30812463 0.30650392 0.3046041
 0.30322626 0.30625659 0.30873026 0.30794953 0.3041816  0.30277297
 0.30211793 0.30417128 0.30615527 0.30368909 0.30400262 0.30336796
 0.3055026  0.30111462 0.29982734 0.29829741 0.29823136 0.29529081
 0.29594988 0.29672215 0.29727647 0.29822642 0.29908048 0.29983975
 0.29942684 0.29998085 0.29856681 0.30069282 0.29911273 0.29950031
 0.30045066 0.29959829 0.29939843 0.30010916 0.30183787 0.30231575
 0.30147467 0.30260798 0.30186762 0.300912   0.30187501 0.30268364
 0.30111039 0.30046781 0.3008758  0.30212888 0.30259787 0.30210316
 0.3023808  0.29950724 0.29960105 0.30093812 0.30002726 0.30089737
 0.30087088 0.30170681 0.30402493 0.30387494 0.30450985 0.30330965
 0.30134906 0.3002011  0.3018308  0.30102908 0.30151567]",kinetic,idle
contrastive+VAE,16,"[ 0.         -0.06731485 -0.03112777 -0.0100511   0.00371977  0.01463783
  0.03993134  0.05413486  0.07359568  0.09034886  0.09976508  0.11036445
  0.1200069   0.12960054  0.13222449  0.14128282  0.14854214  0.15123236
  0.15087193  0.15532627  0.1609211   0.16466296  0.16337018  0.16742557
  0.16989995  0.17348074  0.1780473   0.17787979  0.18352687  0.18683626
  0.19407602  0.19526641  0.19124549  0.18935625  0.19106181  0.18791557
  0.18761581  0.18596119  0.18896379  0.19333223  0.19335853  0.19717747
  0.19912242  0.20000956  0.20001586  0.20550194  0.20311912  0.20373817
  0.20563869  0.20814156  0.20879254  0.21070751  0.21349873  0.21679733
  0.22107476  0.22321921  0.22127982  0.22161798  0.22106127  0.21843694
  0.22173768  0.21856646  0.2197028   0.21812343  0.22035698  0.22356535
  0.225388    0.22697306  0.22562185  0.22666451  0.22417296  0.22586587
  0.22440458  0.22526118  0.22431356  0.22340095  0.22164089  0.22332608
  0.22579017  0.22640209  0.22585927  0.22844808  0.22895229  0.23227248
  0.23211613  0.23384985  0.23426706  0.23457952  0.234749    0.23552047
  0.23781774  0.23502465  0.23662245  0.23749214  0.23908867  0.23815017
  0.23922353  0.23896406  0.23960354  0.24058586  0.24028845]","[0.         0.28363714 0.30372199 0.32509745 0.34627821 0.363502
 0.37494298 0.37349109 0.37547879 0.38283378 0.38397531 0.38428072
 0.38545181 0.38442243 0.38746504 0.38811754 0.38333056 0.37729075
 0.38739564 0.38520455 0.391641   0.39273193 0.39021849 0.3939184
 0.39490732 0.3977599  0.39634763 0.40029475 0.40082129 0.4038466
 0.40093085 0.40047076 0.40525339 0.40614767 0.40419571 0.40671994
 0.40531272 0.4039898  0.40189016 0.40021505 0.4002779  0.39927602
 0.4024014  0.40183445 0.40054145 0.40303255 0.40546722 0.40620813
 0.40347698 0.40243111 0.40361969 0.40215148 0.40373225 0.40173049
 0.40003303 0.397754   0.40040938 0.3979519  0.3987311  0.40214258
 0.4018795  0.4017556  0.40064401 0.40251178 0.40103765 0.39971622
 0.39753797 0.39492417 0.39531747 0.3950351  0.39666538 0.39683558
 0.39585613 0.39337374 0.39280523 0.3939433  0.39309353 0.39240389
 0.39188322 0.39419103 0.39516085 0.39617744 0.39813737 0.39812175
 0.39827008 0.3989248  0.40091986 0.40099433 0.40260015 0.40244319
 0.40231433 0.40447446 0.40525888 0.40555617 0.40698088 0.40588421
 0.40375206 0.4041404  0.40552143 0.40462107 0.40613464]",visual,idle
contrastive+VAE,16,"[0.         0.08017066 0.09537443 0.11020779 0.12861466 0.14361114
 0.15457279 0.16229628 0.16547348 0.17788163 0.18496631 0.19275871
 0.2020095  0.20765366 0.21427568 0.21982833 0.23090274 0.23487179
 0.2419402  0.24091707 0.24101603 0.24141994 0.23634419 0.23897282
 0.2391007  0.24261059 0.24492657 0.24922941 0.25628294 0.25794479
 0.25911295 0.2597     0.26148887 0.26533365 0.26613515 0.26885407
 0.26913093 0.27326061 0.27499426 0.27733097 0.27786716 0.27824005
 0.27988612 0.28223237 0.28564384 0.28627295 0.28682676 0.28975782
 0.28966936 0.29061263 0.2888627  0.2896038  0.28922497 0.29248167
 0.29595478 0.29484557 0.29655726 0.29784524 0.29945124 0.30063209
 0.30247705 0.29989312 0.3005314  0.29918508 0.30079058 0.3007155
 0.30249057 0.30369186 0.30383538 0.30347248 0.30371907 0.30342517
 0.30347418 0.30548283 0.30841993 0.30980833 0.31033406 0.31154485
 0.31171972 0.31197872 0.31169216 0.31166396 0.31295507 0.31413344
 0.31633862 0.31630778 0.3155012  0.3156717  0.31768382 0.31747434
 0.31780209 0.31857567 0.31873015 0.31855303 0.31791612 0.31778037
 0.31872915 0.31888136 0.31761365 0.31849629 0.31965677]","[0.         0.33032639 0.34297048 0.35206609 0.36582548 0.37470256
 0.3874216  0.3894728  0.39196258 0.39590889 0.40300012 0.41048224
 0.4134755  0.41586402 0.41658909 0.41964706 0.42342695 0.42311041
 0.42330673 0.42359459 0.42478778 0.42806424 0.42611263 0.42681491
 0.4296277  0.42982402 0.43194712 0.42895138 0.42777107 0.43024801
 0.42786823 0.42854994 0.4281468  0.43090445 0.42996072 0.43130117
 0.42801797 0.43026102 0.43148583 0.43281833 0.43272642 0.43227552
 0.43134905 0.430479   0.42953934 0.43119893 0.42978285 0.43056254
 0.43087279 0.4300101  0.43141014 0.43076425 0.43061923 0.43201031
 0.43294041 0.43245495 0.43327268 0.43498955 0.43406305 0.43292914
 0.43528658 0.43504456 0.43541431 0.43660052 0.43710246 0.43685832
 0.43648987 0.43580739 0.43506899 0.43451338 0.43412701 0.43290535
 0.43105951 0.43074719 0.42859467 0.42726026 0.42922102 0.42843803
 0.42917586 0.42988456 0.42806749 0.42794376 0.42708069 0.42673188
 0.42601037 0.42604043 0.4262421  0.42646028 0.42551755 0.42550915
 0.424861   0.42439114 0.42621389 0.42580037 0.42584678 0.42542102
 0.42601391 0.42510292 0.42500248 0.42402781 0.42413191]",auditory,idle
VAE,16,"[0.         0.01933761 0.03524967 0.05575696 0.07461645 0.09070588
 0.10136187 0.11548881 0.12888396 0.13880805 0.13592871 0.14189237
 0.14196936 0.14865613 0.15645987 0.15983295 0.15821153 0.16075376
 0.16376826 0.16432079 0.16637286 0.16862077 0.17378623 0.17016395
 0.17164587 0.1697129  0.17323316 0.17602519 0.17877938 0.18183039
 0.18536021 0.18764197 0.19011974 0.19270008 0.19568956 0.19840296
 0.19790772 0.19915735 0.19700878 0.19937058 0.2031531  0.20282404
 0.20401036 0.2046585  0.20433272 0.20374718 0.20876936 0.21109483
 0.20854352 0.20651237 0.20476179 0.20407671 0.20474209 0.20438028
 0.20287489 0.20427825 0.20484799 0.20480771 0.20409992 0.20557601
 0.20833953 0.20878557 0.20939891 0.21169814 0.21151942 0.21192341
 0.2116762  0.2099889  0.21228185 0.21180539 0.21236572 0.21234793
 0.21182754 0.21399886 0.21395082 0.2157255  0.21406296 0.21482286
 0.21420891 0.21567396 0.21614451 0.21697792 0.2169194  0.21856991
 0.21669922 0.21753758 0.21596708 0.21568142 0.21775785 0.21774912
 0.21952906 0.21873264 0.21868415 0.21853417 0.21896703 0.21842103
 0.21790155 0.2180859  0.21747534 0.21805567 0.21908467]","[0.         0.15418251 0.17402012 0.18571711 0.20079226 0.2057203
 0.21807389 0.21912134 0.21076846 0.21013749 0.22062763 0.22972055
 0.23327897 0.22860703 0.23130212 0.2304571  0.23345167 0.23484699
 0.23527327 0.24231184 0.24634471 0.24875813 0.24572222 0.24973481
 0.2502373  0.25076525 0.2480514  0.24536039 0.24245654 0.23986606
 0.24145859 0.24094119 0.23896692 0.2346625  0.23417839 0.23133499
 0.23342335 0.23223991 0.23362489 0.23165567 0.23549088 0.2388843
 0.23808229 0.23543865 0.23498717 0.23301274 0.22943823 0.22596276
 0.22721622 0.22890323 0.230409   0.23152587 0.23107149 0.22983803
 0.23266668 0.23320776 0.23073292 0.22979087 0.23097465 0.22918186
 0.22730493 0.22590256 0.22490605 0.22404108 0.22535523 0.22512051
 0.22536315 0.22511134 0.22244624 0.22418705 0.22487532 0.2251308
 0.22644063 0.22587857 0.2248489  0.22137573 0.22223089 0.22122825
 0.2238451  0.22340321 0.22211686 0.22135229 0.22183331 0.2216042
 0.22289133 0.2205215  0.22192535 0.22184072 0.2200124  0.21925712
 0.21854272 0.21866686 0.21846688 0.21746579 0.21708933 0.21679862
 0.21784523 0.21666985 0.21648293 0.21621569 0.21514999]",kinetic,idle
VAE,16,"[0.         0.01074005 0.02838112 0.04648136 0.07167416 0.08504744
 0.10351289 0.12378179 0.13758373 0.15217923 0.16546629 0.18225678
 0.19382046 0.20365406 0.21671877 0.22389436 0.23322664 0.24116534
 0.24741255 0.25659797 0.27046512 0.27350035 0.27968152 0.28512212
 0.29243934 0.30232228 0.3164194  0.31721577 0.32257208 0.32544351
 0.32955258 0.33143275 0.3328694  0.33707619 0.34316228 0.34261193
 0.34219905 0.34892039 0.35238353 0.3528071  0.35683283 0.35566939
 0.35631693 0.36041073 0.36086106 0.3649268  0.36531526 0.36951959
 0.37280458 0.37388973 0.37390687 0.37725337 0.38156714 0.38190178
 0.38204786 0.38593833 0.38937351 0.39341411 0.39792751 0.39856846
 0.3990447  0.40152868 0.40476513 0.40657567 0.40954067 0.41098407
 0.41266371 0.41187265 0.4131867  0.41528654 0.41644255 0.41828084
 0.41890406 0.42157085 0.42186959 0.42290609 0.42456676 0.42541011
 0.42486348 0.42349025 0.42607182 0.42777099 0.42888911 0.43009293
 0.43168379 0.43376972 0.43596658 0.43741991 0.43978883 0.44175454
 0.4440771  0.44523411 0.4470631  0.44777439 0.44857701 0.44817356
 0.45022544 0.45126529 0.45101227 0.45095396 0.45355683]","[0.         0.23338527 0.23731846 0.24711199 0.25246881 0.25718864
 0.26478408 0.27134021 0.27386498 0.28134906 0.28155069 0.28558164
 0.28983728 0.29390931 0.30163513 0.30545322 0.31102961 0.30842474
 0.30809543 0.31156721 0.30964253 0.30713677 0.30742157 0.30451934
 0.30046588 0.29736425 0.29372795 0.29419634 0.29187094 0.29342952
 0.29041092 0.29285069 0.29669159 0.29152312 0.28904338 0.28872808
 0.28814816 0.28515059 0.2844712  0.28615636 0.28329918 0.28371771
 0.28515649 0.28301582 0.28280756 0.28028855 0.27897142 0.27657143
 0.2766     0.27627459 0.2750899  0.27298997 0.2731325  0.27459658
 0.27482735 0.27352638 0.27227354 0.27013562 0.2690775  0.27192568
 0.26986129 0.26779582 0.26563902 0.26811833 0.26574686 0.26556377
 0.26409764 0.26506967 0.26342056 0.26336594 0.26181928 0.25995547
 0.2592863  0.25895534 0.25920264 0.25781511 0.25647589 0.25458421
 0.25683741 0.25689428 0.25492976 0.25403167 0.25214762 0.25223336
 0.2511268  0.24976886 0.2492936  0.24856246 0.24844144 0.24597107
 0.24334875 0.24298618 0.24302551 0.24176852 0.23907254 0.23837134
 0.23707923 0.2370863  0.23707164 0.23756992 0.23672942]",visual,idle
VAE,16,"[ 0.         -0.04659381 -0.04268572 -0.03853418 -0.03418635 -0.03110373
 -0.02749954 -0.02448665 -0.02092185 -0.01752706 -0.01454318 -0.01038697
 -0.00767876 -0.00366639  0.00045786  0.00311511  0.00649644  0.00883632
  0.01210944  0.01547858  0.01774595  0.02104705  0.02459039  0.02697687
  0.03024724  0.03257799  0.03571134  0.03779174  0.04133499  0.04396907
  0.0467833   0.04914349  0.0520808   0.05551107  0.05811663  0.06242176
  0.06486835  0.06839914  0.07226166  0.07467767  0.07669513  0.07839562
  0.08062694  0.08332557  0.08782357  0.09020336  0.09195219  0.09441953
  0.09598989  0.09861771  0.10104002  0.10358001  0.10634608  0.10861131
  0.1107221   0.11230416  0.11388421  0.1160046   0.11759408  0.12039213
  0.12205036  0.12380485  0.12578633  0.12866218  0.13065465  0.13145537
  0.13336223  0.13568517  0.13818494  0.14040471  0.14240769  0.14392832
  0.14553035  0.14707007  0.14886092  0.15056249  0.15216962  0.15490201
  0.15725937  0.15736952  0.15941102  0.16114735  0.16351873  0.16509986
  0.16615374  0.16759341  0.16880998  0.17091126  0.17256091  0.17409961
  0.17575854  0.17785326  0.18018321  0.18116149  0.18200006  0.18355359
  0.18472181  0.18609121  0.18810444  0.19093415  0.19361178]","[0.         0.30078383 0.30215145 0.30320615 0.3042999  0.30491576
 0.30579784 0.30656021 0.30667173 0.30718711 0.30771009 0.30823675
 0.31027188 0.31117013 0.31257059 0.31329398 0.31432611 0.31572882
 0.31630908 0.31735558 0.31801555 0.31787688 0.31879109 0.31888463
 0.31902501 0.32005201 0.3210331  0.32215961 0.32205373 0.32272664
 0.32367565 0.32428089 0.32458629 0.32583271 0.32726103 0.3273031
 0.32844322 0.32991725 0.33178755 0.33220266 0.33193749 0.33319366
 0.33359532 0.33416793 0.33498712 0.33636958 0.33627092 0.33676255
 0.33707489 0.33691808 0.33763762 0.3379825  0.33821932 0.33941563
 0.33836622 0.33861462 0.33906616 0.33912097 0.34047214 0.34089561
 0.34142424 0.34194632 0.34255739 0.34345027 0.34428147 0.34461682
 0.34474648 0.34435233 0.34389235 0.34423866 0.34448331 0.34447942
 0.34542876 0.34535275 0.34534924 0.3456968  0.34585295 0.34612782
 0.34618058 0.34705636 0.34775998 0.34825974 0.34800374 0.34828125
 0.34865329 0.34795124 0.34813866 0.34781081 0.34719771 0.34745832
 0.34774608 0.34842476 0.3484181  0.34899936 0.35015787 0.35019669
 0.35103542 0.35130852 0.35177488 0.35166944 0.35187559]",auditory,idle
random,16,"[0.         0.01934929 0.03243484 0.05216101 0.04639144 0.05869802
 0.06397141 0.0735642  0.07793704 0.07199964 0.07508387 0.07797338
 0.08223464 0.07873512 0.08310506 0.08511957 0.08416376 0.08637188
 0.08853983 0.09771286 0.10035986 0.10679007 0.10914774 0.10809509
 0.10638658 0.10479173 0.10333311 0.10365687 0.10645732 0.10697363
 0.109539   0.10918291 0.10660826 0.10837338 0.10797142 0.10840458
 0.11133321 0.10906522 0.10753255 0.10754994 0.10646903 0.10566251
 0.10633849 0.10644742 0.10812498 0.10831554 0.10988019 0.11143479
 0.1120147  0.11228685 0.1098074  0.11156036 0.11150666 0.11312915
 0.114316   0.11532615 0.1167182  0.11566476 0.11490264 0.11491092
 0.11554688 0.11513377 0.11563658 0.1165346  0.11615155 0.11546596
 0.11745628 0.11756234 0.11606317 0.11527361 0.1141365  0.11428768
 0.11353248 0.1127722  0.11221698 0.11116503 0.11267397 0.11235929
 0.11234012 0.11300715 0.11389489 0.11416432 0.11367195 0.11426686
 0.1147931  0.11524949 0.1152014  0.11477389 0.11398279 0.11482788
 0.11410475 0.11279338 0.1111919  0.11033432 0.11290341 0.11327643
 0.11356534 0.11413905 0.11378507 0.11412828 0.1154434 ]","[0.         0.29497258 0.2883031  0.28568813 0.29087799 0.29475545
 0.2940034  0.29015193 0.29311901 0.304439   0.3011168  0.30209363
 0.30516909 0.30431972 0.30594251 0.30557529 0.3038222  0.30464146
 0.29971245 0.29686738 0.29481299 0.29285556 0.2910616  0.29410943
 0.29412614 0.29384922 0.2933361  0.29628064 0.293606   0.29576186
 0.30131398 0.29775197 0.29770043 0.2977594  0.29923555 0.3012825
 0.29963791 0.2988764  0.29850694 0.29978566 0.30068273 0.30100841
 0.30143837 0.30135437 0.29868251 0.30086546 0.30142983 0.30174551
 0.30289463 0.30432982 0.30242682 0.30184146 0.30236737 0.30254378
 0.30259652 0.30296036 0.30315361 0.30433574 0.30624994 0.30843652
 0.30896795 0.30738931 0.30704961 0.30721517 0.30612155 0.30576852
 0.30630887 0.30562896 0.30570051 0.30465921 0.30526858 0.3048863
 0.30647141 0.30591123 0.30612094 0.30657648 0.30677322 0.30737473
 0.30682719 0.30616918 0.30571284 0.30472298 0.30564648 0.30659162
 0.30665341 0.30630519 0.30638762 0.30584864 0.30694018 0.30657407
 0.30625157 0.30637248 0.30707705 0.30590427 0.3058346  0.30470908
 0.30419336 0.30391142 0.30440563 0.30423752 0.30417316]",kinetic,idle
random,16,"[ 0.         -0.13472042 -0.13565787 -0.13540989 -0.13576788 -0.13542451
 -0.13569049 -0.13506822 -0.13573804 -0.13650045 -0.13661137 -0.13751031
 -0.13812301 -0.13859047 -0.1388867  -0.13967868 -0.14075278 -0.14090471
 -0.14101225 -0.14114662 -0.14117406 -0.14150007 -0.1413243  -0.14195203
 -0.14156965 -0.14182043 -0.14189635 -0.14244153 -0.14298432 -0.14316571
 -0.1429117  -0.14308718 -0.14332127 -0.14313177 -0.14295522 -0.14369486
 -0.14418603 -0.14476931 -0.14459693 -0.14476593 -0.14481881 -0.14527712
 -0.14505974 -0.14493092 -0.1454201  -0.14519281 -0.14511943 -0.14486835
 -0.1449661  -0.14542818 -0.14595399 -0.14597227 -0.1465611  -0.14632434
 -0.14597649 -0.14690332 -0.14770384 -0.14766829 -0.14727228 -0.14774958
 -0.14834896 -0.14765339 -0.14748487 -0.14681653 -0.14655599 -0.14661212
 -0.14677827 -0.14689958 -0.14681753 -0.1468898  -0.147628   -0.14826033
 -0.14818414 -0.14852887 -0.14792969 -0.14741477 -0.14715511 -0.14778668
 -0.14766748 -0.1474408  -0.14695637 -0.14703312 -0.14695337 -0.14719084
 -0.14670204 -0.14674816 -0.14690163 -0.1466092  -0.14704842 -0.14690584
 -0.14728066 -0.14803656 -0.14793788 -0.14821761 -0.14828088 -0.14791339
 -0.14749157 -0.14777272 -0.14818661 -0.14755663 -0.14834238]","[0.         0.18664828 0.18642615 0.18527787 0.18421522 0.18367812
 0.18268617 0.1829342  0.18263718 0.1823328  0.18200633 0.1818151
 0.18195399 0.18163765 0.18028943 0.17938102 0.1793594  0.17842454
 0.17769454 0.17788142 0.1774646  0.1767504  0.17657192 0.17592308
 0.17563507 0.17542622 0.17514577 0.17497956 0.17552348 0.17601206
 0.17556827 0.17455389 0.17473616 0.17455897 0.17455558 0.17438005
 0.17434271 0.17374972 0.17356943 0.17353375 0.17263678 0.17237662
 0.17182178 0.17146207 0.17132388 0.17130258 0.17069399 0.17057044
 0.17044797 0.17162628 0.17179327 0.17183875 0.17212909 0.17217559
 0.17174749 0.17191223 0.17141124 0.17124858 0.17143381 0.17105652
 0.17151587 0.17151656 0.1710665  0.17061216 0.17114368 0.1708444
 0.17093326 0.17114873 0.17115008 0.17132788 0.17112593 0.17111679
 0.17170292 0.17170437 0.1716121  0.17155578 0.1716487  0.17192793
 0.17188283 0.17192094 0.17179267 0.17240206 0.17351519 0.17287688
 0.17325649 0.17355294 0.17409766 0.17384443 0.17425008 0.17426931
 0.17474432 0.17455243 0.17479327 0.17491542 0.17471915 0.1744325
 0.1744695  0.17521818 0.17585733 0.17614981 0.17717322]",visual,idle
