,time,signal,type,phrase,results
0,584.4473507404327,has_item,,,"4053,8,5786,387,499,2837,3439,552,5803,48,5461,5820,4927,1603,1549,145,4949,4887,3291,5793,5895,5124,4252,1879,895,4079,565,5909,2454,3106,3615,3159,3104,3885,4277,4651,5887,1912,1766,5714,3358,1496,305,4336,2091,2635,2428,1112,3081,4123,965,1911,5811,4731,3806,5783,3443,5792,5819,4353,5805,3292,258,5120,2896,5092,5730,131,3526,795,3510,5781,573,4242,64,5533,1963,4250,47,66,1104,1153,2886,1551,5081,3238,4750,5780,2907,5126,5077,2656,5791,408,419,4981,5407,5111,5883,5435"
1,621.6962401866913,has_item,Video,Happy,"5077,722,231,591,4450,4155,4041,72,5080,146,5088,5095,4209,945,333"
2,644.8993916511536,has_item,Video,Happy,"4053,8,5786,387,499,2837,3439,552,5803,48,5461,5820,4927,1603,1549,145,4949,4887,3291,5793,5895,5124,4252,1879,895,4079,565,5909,2454,3106,3615,3159,3104,3885,4277,4651,5887,1912,1766,5714,3358,1496,305,4336,2091,2635,2428,1112,3081,4123,965,1911,5811,4731,3806,5783,3443,5792,5819,4353,5805,3292,258,5120,2896,5092,5730,131,3526,795,3510,5781,573,4242,64,5533,1963,4250,47,66,1104,1153,2886,1551,5081,3238,4750,5780,2907,5126,5077,2656,5791,408,419,4981,5407,5111,5883,5435"
3,729.2943887710571,has_information,Video, ,"3846,4354,3168,1530,2819,4428,2984,1299,4055,2004,5560,4705,720,5768,4795,5841,1941,5561,1479,3581,5045,390,3303,1641,2957,1507,2856,3257,506,2332,1105,5883,2481,5210,2534,3843,3269,3267,4008,3289,5020,1494,2904,920,4913,5877,2258,2120,360,798,4724,4470,4439,3266,161,3818,420,3165,768,5485,3162,5289,649,4219,3083,3526,1042,4208,4725,3032,3222,4280,3125,4054,4682,4673,3074,2226,3729,4199,196,1394,2646,2976,2111,2774,3619,5021,4768,3642,4163,1628,3287,1323,2981,3527,2855,3713,2456,4209"
4,751.1071979999542,has_information,Video,Help,
5,763.6334307193756,has_information,Video,hand,"5768,4443,5727,5760,2027,2960,5674,2928,2881,5673,2878,4068,5669,606,4324,81,4077,3427,1576,5761,4060,3765,5668,352,1932,671,19,5676,4046,5750,5675,153,2832,5739,14,5735,5615,2618,1887,5684,3499,5743,3759,4119,2049,961,5726,5078,16,904,4430,459,3509,5738,2155,5757,3015,5730,4855,2136,5759,2652,62,4374,3063,2301,5686,5670,5685,5765,296,271,2068,1516,4096,3824,102,4045,4299,2876,2877,1884,248,5746,2587,5725,5767,677,5752,5687,4056,4041,4361,446,524,1362,3801,560,2588,5667"
6,785.517386674881,has_information,Video,hand,"5768,4443,5727,5760,2027,2960,5674,2928,2881,5673,2878,4068,5669,606,4324,81,4077,3427,1576,5761,4060,3765,5668,352,1932,671,19,5676,4046,5750,5675,153,2832,5739,14,5735,5615,2618,1887,5684,3499,5743,3759,4119,2049,961,5726,5078,16,904,4430,459,3509,5738,2155,5757,3015,5730,4855,2136,5759,2652,62,4374,3063,2301,5686,5670,5685,5765,296,271,2068,1516,4096,3824,102,4045,4299,2876,2877,1884,248,5746,2587,5725,5767,677,5752,5687,4056,4041,4361,446,524,1362,3801,560,2588,5667"
7,789.829377412796,has_information,Video,High five,
8,796.5780174732208,has_information,Video,Hand,"5768,4443,5727,5760,2027,2960,5674,2928,2881,5673,2878,4068,5669,606,4324,81,4077,3427,1576,5761,4060,3765,5668,352,1932,671,19,5676,4046,5750,5675,153,2832,5739,14,5735,5615,2618,1887,5684,3499,5743,3759,4119,2049,961,5726,5078,16,904,4430,459,3509,5738,2155,5757,3015,5730,4855,2136,5759,2652,62,4374,3063,2301,5686,5670,5685,5765,296,271,2068,1516,4096,3824,102,4045,4299,2876,2877,1884,248,5746,2587,5725,5767,677,5752,5687,4056,4041,4361,446,524,1362,3801,560,2588,5667"
9,827.0379548072815,has_information,Video,Hand,"3846,4354,3168,1530,2819,4428,2984,1299,4055,2004,5560,4705,720,5768,4795,5841,1941,5561,1479,3581,5045,390,3303,1641,2957,1507,2856,3257,506,2332,1105,5883,2481,5210,2534,3843,3269,3267,4008,3289,5020,1494,2904,920,4913,5877,2258,2120,360,798,4724,4470,4439,3266,161,3818,420,3165,768,5485,3162,5289,649,4219,3083,3526,1042,4208,4725,3032,3222,4280,3125,4054,4682,4673,3074,2226,3729,4199,196,1394,2646,2976,2111,2774,3619,5021,4768,3642,4163,1628,3287,1323,2981,3527,2855,3713,2456,4209"
