,time,signal,type,phrase,results
0,12.950023412704468,idle,,,"4649,900,3195,2980,4491,2396,2976,4667,2460,3235,4304,2724,300,4486,30,4379,4830,3762,1573,5596,448,3674,886,4506,4746,3160,4501,595,3899,37,4128,4194,742,3314,393,1229,368,3772,4499,2571,4487,2868,3711,1671,2719,5268,760,3722,4520,4478,3182,1333,4480,3670,5765,1985,2871,3155,3079,4514,1805,4504,2224,5798,5442,4503,2580,2946,1888,190,1280,2912,4525,4515,2766,5203,114,5885,3640,692,3944,3903,1136,3933,3197,385,4528,1870,3921,1178,3328,4489,4500,1909,4498,4055,4027,3694,4663,4524"
1,18.48973560333252,idle,Video,Clock,"2573,4668,1814,266,1030,4404,2214,2759,1545,1973,2606,3127,5581,3908,2179,5365,13,5254,632,5501,5327,392,197,3335,848,1539"
2,25.646864652633667,idle,Video,Clock,"4649,4667,4379,4830,4506,4501,4499,4520,1333,4514,4504,4503,190,4525,4515,692,4528,1870,4500,4498,4663,4524,4527,4519,1156,4671,4505,4144,4513,4518,4526,4508,4516,4507,4509,4510,4522,4517,4511,3523,4523,4657,4414,2832,4502,3689,4658,1543,4521,4652,4672,977,5406,4395,4418,4650,4399,1222,5290,9,2027,1735,4411,3015,4512,2783,4654,709,85,25,731,2928,4844,4382,1272,4400,2665,4401,4378,4674,4651,4668,4402,4381,1479,4665,4427,4038,2013,302,4660,1641,4107,5113,4416,3355,1849,759,897,2877"
3,30.27457284927368,idle,Audio, ,"695,644,567,119,208,368,588,779,499,474,103,570,595,307,693,98,646,466,169,384,134,811,300,185,162,534,77,549,490,87,251,484,423,66,611,235,598,180,271,573,743,794,749,213,348,30,582,36,468,793,594,145,4,576,796,19,769,696,357,9,586,564,691,187,293,467,712,101,5,825,460,497,370,172,814,843,822,201,334,17,117,618,699,184,694,122,67,759,706,138,320,561,298,318,437,440,818,642,216,375"
4,31.08341884613037,idle,Audio, ,"4649,900,3195,2980,4491,2396,2976,4667,2460,3235,4304,2724,300,4486,30,4379,4830,3762,1573,5596,448,3674,886,4506,4746,3160,4501,595,3899,37,4128,4194,742,3314,393,1229,368,3772,4499,2571,4487,2868,3711,1671,2719,5268,760,3722,4520,4478,3182,1333,4480,3670,5765,1985,2871,3155,3079,4514,1805,4504,2224,5798,5442,4503,2580,2946,1888,190,1280,2912,4525,4515,2766,5203,114,5885,3640,692,3944,3903,1136,3933,3197,385,4528,1870,3921,1178,3328,4489,4500,1909,4498,4055,4027,3694,4663,4524"
5,34.85946774482727,idle,Video, ,"4649,900,3195,2980,4491,2396,2976,4667,2460,3235,4304,2724,300,4486,30,4379,4830,3762,1573,5596,448,3674,886,4506,4746,3160,4501,595,3899,37,4128,4194,742,3314,393,1229,368,3772,4499,2571,4487,2868,3711,1671,2719,5268,760,3722,4520,4478,3182,1333,4480,3670,5765,1985,2871,3155,3079,4514,1805,4504,2224,5798,5442,4503,2580,2946,1888,190,1280,2912,4525,4515,2766,5203,114,5885,3640,692,3944,3903,1136,3933,3197,385,4528,1870,3921,1178,3328,4489,4500,1909,4498,4055,4027,3694,4663,4524"
6,43.09470248222351,searching,Video, ,"4649,900,3195,2980,4491,2396,2976,4667,2460,3235,4304,2724,300,4486,30,4379,4830,3762,1573,5596,448,3674,886,4506,4746,3160,4501,595,3899,37,4128,4194,742,3314,393,1229,368,3772,4499,2571,4487,2868,3711,1671,2719,5268,760,3722,4520,4478,3182,1333,4480,3670,5765,1985,2871,3155,3079,4514,1805,4504,2224,5798,5442,4503,2580,2946,1888,190,1280,2912,4525,4515,2766,5203,114,5885,3640,692,3944,3903,1136,3933,3197,385,4528,1870,3921,1178,3328,4489,4500,1909,4498,4055,4027,3694,4663,4524"
7,54.22464323043823,searching,Video,Eye,"5885,221,1619,5870,5891,5897,449,5910,5883,5900,5906,5899,5894,5902,5889,5884,5886,4338,5892,2325,5893,4675,4325,408,3615,5850,5896,5908,2384,4949,5903,66,5905,5820,5901,5907,5888,559,5898"
8,82.37262868881226,searching,Video,Eye,"695,644,567,119,208,368,588,779,499,474,103,570,595,307,693,98,646,466,169,384,134,811,300,185,162,534,77,549,490,87,251,484,423,66,611,235,598,180,271,573,743,794,749,213,348,30,582,36,468,793,594,145,4,576,796,19,769,696,357,9,586,564,691,187,293,467,712,101,5,825,460,497,370,172,814,843,822,201,334,17,117,618,699,184,694,122,67,759,706,138,320,561,298,318,437,440,818,642,216,375"
9,109.50932121276855,searching,Audio,Space,506
10,126.71212553977966,searching,Audio,Space,"1917,1918,1065,1907,1015,1066,1016,1042,1068,1903,1044,1069,1902,1908,1043,1967,890,1969,1913,1919,942,1018,1968,943,1912,1034,1019,940,1039,792,918,1914,1032,909,1017,917,2043,1909,914,1958,793,1041,1922,1091,1965,1090,894,891,919,1033,1966,1027,1067,1049,1031,1358,794,1074,1054,1029,1005,1923,1055,788,2042,916,941,1036,1037,1353,1904,1030,1003,1668,789,1051,892,1028,784,791,1906,1048,417,782,418,1094,965,1363,907,913,1000,1924,1056,1053,1052,1973,1038,1023,911,68"
11,127.25524353981018,searching,Audio, ,"695,644,567,119,208,368,588,779,499,474,103,570,595,307,693,98,646,466,169,384,134,811,300,185,162,534,77,549,490,87,251,484,423,66,611,235,598,180,271,573,743,794,749,213,348,30,582,36,468,793,594,145,4,576,796,19,769,696,357,9,586,564,691,187,293,467,712,101,5,825,460,497,370,172,814,843,822,201,334,17,117,618,699,184,694,122,67,759,706,138,320,561,298,318,437,440,818,642,216,375"
12,128.7059681415558,searching,Movement, ,"1917,1918,1065,1907,1015,1066,1016,1042,1068,1903,1044,1069,1902,1908,1043,1967,890,1969,1913,1919,942,1018,1968,943,1912,1034,1019,940,1039,792,918,1914,1032,909,1017,917,2043,1909,914,1958,793,1041,1922,1091,1965,1090,894,891,919,1033,1966,1027,1067,1049,1031,1358,794,1074,1054,1029,1005,1923,1055,788,2042,916,941,1036,1037,1353,1904,1030,1003,1668,789,1051,892,1028,784,791,1906,1048,417,782,418,1094,965,1363,907,913,1000,1924,1056,1053,1052,1973,1038,1023,911,68"
