,time,signal,type,query,choice
0,166.23686695098877,has_information,visual,,3
1,198.71398735046387,has_information,visual,"2314,1451,2268",3
2,233.1179428100586,has_information,visual,"1758,2582,5010",3
3,246.63459968566895,has_information,visual,"5148,3969,1055",3
4,263.5307807922363,has_information,visual,"2621,2867,5633",3
5,273.4611964225769,has_information,visual,"1943,5682,5133",3
6,281.03979778289795,has_information,visual,"620,2344,4851",3
7,282.88266944885254,has_information,visual,"5568,3751,5647",3
8,288.1398069858551,has_information,visual,"3296,891,3186",3
9,297.6289358139038,has_information,visual,"4795,2322,2713",3
10,300.705459356308,has_information,visual,"3688,878,3462",3
11,302.9574980735779,has_information,visual,"5561,375,5692",3
12,305.00178384780884,has_information,visual,"5561,375,5692",3
13,307.76557302474976,has_information,visual,"4090,4347,2064",3
14,309.60910820961,has_information,visual,"4530,3565,4513",3
15,311.81030225753784,has_information,visual,"1549,3357,4654",3
16,315.1374897956848,has_information,visual,"3196,4282,1286",3
17,317.9027044773102,has_information,visual,"993,1180,5541",3
18,323.02232837677,has_information,visual,"2402,1602,1666",3
19,325.27666425704956,has_information,visual,"4163,1570,3137",3
20,461.25934314727783,has_information,kinesthetic,"1337,1002,339",3
21,479.1788830757141,has_information,kinesthetic,"1907,42,1296",3
22,492.3916027545929,has_information,kinesthetic,"563,1329,635",3
23,510.2092032432556,has_information,kinesthetic,"1869,1686,617",3
24,566.1188378334045,idle,visual,"1985,1844,4673",3
25,572.058228969574,idle,visual,"898,2985,2194",3
26,575.3397355079651,idle,visual,"1500,2107,5703",3
27,577.4859185218811,idle,visual,"1500,2107,5703",3
28,579.0252420902252,idle,visual,"4252,1257,5374",3
29,599.039986371994,idle,auditory,"301,305,637",3
30,629.3976171016693,idle,kinesthetic,"338,1116,817",3
