modality,signal,embed_type,score
visual,has_item,contrastive,0.005115927934981795
visual,has_item,contrastive,0.009635471368053764
visual,has_item,contrastive,0.11023811871206575
visual,has_item,contrastive,0.005714599277625437
visual,has_item,contrastive,0.004351063207692705
visual,idle,contrastive,0.007419294726774495
visual,idle,contrastive,0.017638368438539755
visual,idle,contrastive,0.009251050806506438
visual,idle,contrastive,0.012335981356628814
visual,idle,contrastive,0.01383462095116388
visual,searching,contrastive,0.00965700949142026
visual,searching,contrastive,0.00847469976367538
visual,searching,contrastive,0.003491328041020854
visual,searching,contrastive,0.006871335165430518
visual,searching,contrastive,0.006669394109001194
visual,has_information,contrastive,0.0029366040647033436
visual,has_information,contrastive,0.009297805988013028
visual,has_information,contrastive,0.35511512430331726
visual,has_information,contrastive,0.00807555992043551
visual,has_information,contrastive,0.022462592159096118
auditory,has_item,contrastive,0.014156135312502632
auditory,has_item,contrastive,0.050840533179440074
auditory,has_item,contrastive,0.03680001750884133
auditory,has_item,contrastive,0.031714658619553485
auditory,has_item,contrastive,0.03449722977150857
auditory,idle,contrastive,0.014488700410582214
auditory,idle,contrastive,0.015432179424054332
auditory,idle,contrastive,0.017653129419944083
auditory,idle,contrastive,0.017001484010533818
auditory,idle,contrastive,0.028602435796774812
auditory,searching,contrastive,0.02837035845743885
auditory,searching,contrastive,0.030510901961502607
auditory,searching,contrastive,0.023847050996613054
auditory,searching,contrastive,0.026878168594396838
auditory,searching,contrastive,0.03190721688862914
auditory,has_information,contrastive,0.036104930089743976
auditory,has_information,contrastive,0.03183691834821861
auditory,has_information,contrastive,0.03909287940169769
auditory,has_information,contrastive,0.06610206389793678
auditory,has_information,contrastive,0.03971132897410277
kinesthetic,has_item,contrastive,0.00537342768963183
kinesthetic,has_item,contrastive,0.03147747965147376
kinesthetic,has_item,contrastive,0.014530726315271547
kinesthetic,has_item,contrastive,0.01386932779284333
kinesthetic,has_item,contrastive,0.011013678790183676
kinesthetic,idle,contrastive,0.007522690943844024
kinesthetic,idle,contrastive,0.006803835853478619
kinesthetic,idle,contrastive,0.006844150052097773
kinesthetic,idle,contrastive,0.00541267210732674
kinesthetic,idle,contrastive,0.0065429172551569985
kinesthetic,searching,contrastive,0.014459028155479137
kinesthetic,searching,contrastive,0.015031257028012085
kinesthetic,searching,contrastive,0.011871685852196159
kinesthetic,searching,contrastive,0.010010074937451848
kinesthetic,searching,contrastive,0.010760703372264487
kinesthetic,has_information,contrastive,0.011329778753961264
kinesthetic,has_information,contrastive,0.012864533462821093
kinesthetic,has_information,contrastive,0.01188864325051025
kinesthetic,has_information,contrastive,0.01177386597177235
kinesthetic,has_information,contrastive,0.009087803234594068
visual,has_item,autoencoder,0.008465210115866033
visual,has_item,autoencoder,0.005807522444483885
visual,has_item,autoencoder,0.01217077258044179
visual,has_item,autoencoder,0.007426783655911989
visual,has_item,autoencoder,0.006907955462179846
visual,idle,autoencoder,0.014571084585785442
visual,idle,autoencoder,0.007465564588999012
visual,idle,autoencoder,0.005824855879482136
visual,idle,autoencoder,0.0034082568628040545
visual,idle,autoencoder,0.014091973057320703
visual,searching,autoencoder,0.0047568415340540696
visual,searching,autoencoder,0.008700851095259959
visual,searching,autoencoder,0.0030530602965162766
visual,searching,autoencoder,0.0022812948179567506
visual,searching,autoencoder,0.011477086105724989
visual,has_information,autoencoder,0.012211108443665025
visual,has_information,autoencoder,0.0063968524638958035
visual,has_information,autoencoder,0.11800910021458724
visual,has_information,autoencoder,0.0075205888903012745
visual,has_information,autoencoder,0.0031342163383925132
auditory,has_item,autoencoder,0.04256833050913975
auditory,has_item,autoencoder,0.027720068628846684
auditory,has_item,autoencoder,0.030653344611123935
auditory,has_item,autoencoder,0.02412795897657222
auditory,has_item,autoencoder,0.02513016937195759
auditory,idle,autoencoder,0.011782554515251087
auditory,idle,autoencoder,0.015882697745542053
auditory,idle,autoencoder,0.01721750700535624
auditory,idle,autoencoder,0.014579602486037973
auditory,idle,autoencoder,0.01720570361086657
auditory,searching,autoencoder,0.03176243052336194
auditory,searching,autoencoder,0.027944116508944877
auditory,searching,autoencoder,0.028146868262255643
