modality,signal,embed_type,score
auditory,idle,VAE,0.01771556782219731
auditory,searching,VAE,0.02776552482163668
auditory,searching,VAE,0.02591389750698459
auditory,searching,VAE,0.029113629363466315
auditory,searching,VAE,0.02871894812754524
auditory,searching,VAE,0.021054309743960307
auditory,has_information,VAE,0.0490616051433801
auditory,has_information,VAE,0.06173961179937178
auditory,has_information,VAE,0.02084175961050664
auditory,has_information,VAE,0.031362823030030546
auditory,has_information,VAE,0.025764590445411496
kinesthetic,has_item,VAE,0.01203936971556918
kinesthetic,has_item,VAE,0.01124635770865368
kinesthetic,has_item,VAE,0.01188321118644998
kinesthetic,has_item,VAE,0.01398673438050441
kinesthetic,has_item,VAE,0.009276529391742692
kinesthetic,idle,VAE,0.01024549599624706
kinesthetic,idle,VAE,0.003172689521866864
kinesthetic,idle,VAE,0.011413757629182274
kinesthetic,idle,VAE,0.00978836829951178
kinesthetic,idle,VAE,0.009875439115886672
kinesthetic,searching,VAE,0.009028248202746336
kinesthetic,searching,VAE,0.011104903705732949
kinesthetic,searching,VAE,0.011676221717672594
kinesthetic,searching,VAE,0.01246318594985421
kinesthetic,searching,VAE,0.012645494647186884
kinesthetic,has_information,VAE,0.00743278174552722
kinesthetic,has_information,VAE,0.012037910756476556
kinesthetic,has_information,VAE,0.010783591372745868
kinesthetic,has_information,VAE,0.012162973270876223
kinesthetic,has_information,VAE,0.012262912681230084
visual,has_item,contrastive+autoencoder,0.0034238873136345745
visual,has_item,contrastive+autoencoder,0.004299212487411748
visual,has_item,contrastive+autoencoder,0.005981935645033306
visual,has_item,contrastive+autoencoder,0.049227165822774
visual,has_item,contrastive+autoencoder,0.004257645589119065
visual,idle,contrastive+autoencoder,0.015009043503539992
visual,idle,contrastive+autoencoder,0.015885478902244236
visual,idle,contrastive+autoencoder,0.012272948761151294
visual,idle,contrastive+autoencoder,0.009869140680448897
visual,idle,contrastive+autoencoder,0.03637622998624343
visual,searching,contrastive+autoencoder,0.006055067107856452
visual,searching,contrastive+autoencoder,0.01151033800507951
visual,searching,contrastive+autoencoder,0.001618657569537733
visual,searching,contrastive+autoencoder,0.006823679018589804
visual,searching,contrastive+autoencoder,0.0074346128707530445
visual,has_information,contrastive+autoencoder,0.005126563960437605
visual,has_information,contrastive+autoencoder,0.01056041545206649
visual,has_information,contrastive+autoencoder,0.27203357013868384
visual,has_information,contrastive+autoencoder,0.018465651335710386
visual,has_information,contrastive+autoencoder,0.014180595215150592
auditory,has_item,contrastive+autoencoder,0.042515979454119106
auditory,has_item,contrastive+autoencoder,0.07458503582852347
auditory,has_item,contrastive+autoencoder,0.01914570811417638
auditory,has_item,contrastive+autoencoder,0.10265973198397474
auditory,has_item,contrastive+autoencoder,0.041134477645911695
auditory,idle,contrastive+autoencoder,0.005105602027270601
auditory,idle,contrastive+autoencoder,0.01969957907039155
auditory,idle,contrastive+autoencoder,0.017525337913369545
auditory,idle,contrastive+autoencoder,0.016033656216118936
auditory,idle,contrastive+autoencoder,0.018875499119291022
auditory,searching,contrastive+autoencoder,0.023073935382081943
auditory,searching,contrastive+autoencoder,0.028064366636669873
auditory,searching,contrastive+autoencoder,0.029687272976489786
auditory,searching,contrastive+autoencoder,0.0259410926021179
auditory,searching,contrastive+autoencoder,0.038113467720866226
auditory,has_information,contrastive+autoencoder,0.026546894910733525
auditory,has_information,contrastive+autoencoder,0.0311190131151614
auditory,has_information,contrastive+autoencoder,0.028486316190835765
auditory,has_information,contrastive+autoencoder,0.024352826041160784
auditory,has_information,contrastive+autoencoder,0.022865314836253217
kinesthetic,has_item,contrastive+autoencoder,0.014940381853750417
kinesthetic,has_item,contrastive+autoencoder,0.009769047772688675
kinesthetic,has_item,contrastive+autoencoder,0.013263149620128752
kinesthetic,has_item,contrastive+autoencoder,0.022679047813344795
kinesthetic,has_item,contrastive+autoencoder,0.009255684919917908
kinesthetic,idle,contrastive+autoencoder,0.01382665230892113
kinesthetic,idle,contrastive+autoencoder,0.00835055507801214
kinesthetic,idle,contrastive+autoencoder,0.011560889292781405
kinesthetic,idle,contrastive+autoencoder,0.010531470684650152
kinesthetic,idle,contrastive+autoencoder,0.01080217098121315
kinesthetic,searching,contrastive+autoencoder,0.01143886780612394
kinesthetic,searching,contrastive+autoencoder,0.01019403937255946
kinesthetic,searching,contrastive+autoencoder,0.013038840205815843
kinesthetic,searching,contrastive+autoencoder,0.04086518776899263
kinesthetic,searching,contrastive+autoencoder,0.011458479584139612
kinesthetic,has_information,contrastive+autoencoder,0.026298882541043688
kinesthetic,has_information,contrastive+autoencoder,0.011081789101673685
kinesthetic,has_information,contrastive+autoencoder,0.00899542939627118
kinesthetic,has_information,contrastive+autoencoder,0.014397611687019552
kinesthetic,has_information,contrastive+autoencoder,0.023817913777878546
