,modality,conditioning,pretraining,embedding_type,embedding_size,task_idx,loss
161,auditory,taskconditioned,raw,contrastive+autoencoder,128,1,2552.34084468066
162,auditory,taskconditioned,raw,contrastive+autoencoder,128,2,2419.0239392820954
163,auditory,taskconditioned,raw,contrastive+autoencoder,128,3,2636.13926343932
164,auditory,taskconditioned,raw,contrastive+autoencoder,128,0,2166.434082962865
165,auditory,taskconditioned,raw,contrastive+autoencoder,128,1,2532.5334229730506
166,auditory,taskconditioned,raw,contrastive+autoencoder,128,2,2497.728614042726
167,auditory,taskconditioned,raw,contrastive+autoencoder,128,3,2547.8085908497847
168,visual,taskconditioned,clip_embeds,autoencoder,128,0,596.2347119285718
169,visual,taskconditioned,clip_embeds,autoencoder,128,1,657.2504206740109
170,visual,taskconditioned,clip_embeds,autoencoder,128,2,584.4537946670857
171,visual,taskconditioned,clip_embeds,autoencoder,128,3,560.2883448781624
172,visual,taskconditioned,clip_embeds,autoencoder,128,0,489.1143340423138
173,visual,taskconditioned,clip_embeds,autoencoder,128,1,546.413195059214
174,visual,taskconditioned,clip_embeds,autoencoder,128,2,563.7294340337072
175,visual,taskconditioned,clip_embeds,autoencoder,128,3,562.9973147113653
176,visual,taskconditioned,xclip_embeds,autoencoder,128,0,480.55992170871184
177,visual,taskconditioned,xclip_embeds,autoencoder,128,1,424.04027967915425
178,visual,taskconditioned,xclip_embeds,autoencoder,128,2,571.5914803330525
179,visual,taskconditioned,xclip_embeds,autoencoder,128,3,488.3222912564246
180,visual,taskconditioned,xclip_embeds,autoencoder,128,0,479.74110349094354
181,visual,taskconditioned,xclip_embeds,autoencoder,128,1,425.5561997536619
182,visual,taskconditioned,xclip_embeds,autoencoder,128,2,433.0684589180036
183,visual,taskconditioned,xclip_embeds,autoencoder,128,3,488.09406066144203
184,visual,taskconditioned,raw,VAE,128,0,519.4566799408152
185,visual,taskconditioned,raw,VAE,128,1,658.0062397025102
186,visual,taskconditioned,raw,VAE,128,2,502.03258188971137
187,visual,taskconditioned,raw,VAE,128,3,505.4006299259564
188,visual,taskconditioned,raw,VAE,128,0,591.7238117884892
189,visual,taskconditioned,raw,VAE,128,1,512.6424665366409
190,visual,taskconditioned,raw,VAE,128,2,471.3567111702211
191,visual,taskconditioned,raw,VAE,128,3,470.9395505730814
192,auditory,independent,ast_embeds,contrastive+autoencoder,128,0,2396.208367398123
193,auditory,independent,ast_embeds,contrastive+autoencoder,128,1,2283.9599030170953
194,auditory,independent,ast_embeds,contrastive+autoencoder,128,2,2572.153761828045
195,auditory,independent,ast_embeds,contrastive+autoencoder,128,3,2440.0745662426866
196,auditory,independent,ast_embeds,contrastive+autoencoder,128,0,2546.8968923803573
197,auditory,independent,ast_embeds,contrastive+autoencoder,128,1,2529.7022122661187
198,auditory,independent,ast_embeds,contrastive+autoencoder,128,2,2740.738457092784
199,auditory,independent,ast_embeds,contrastive+autoencoder,128,3,2586.7115310252893
200,auditory,independent,auditory_pretrained_embeddings,contrastive,128,0,2466.7869884129473
201,auditory,independent,auditory_pretrained_embeddings,contrastive,128,1,2324.570215574711
202,auditory,independent,auditory_pretrained_embeddings,contrastive,128,2,2533.98183392558
203,auditory,independent,auditory_pretrained_embeddings,contrastive,128,3,2205.775553091405
204,auditory,independent,auditory_pretrained_embeddings,contrastive,128,0,2338.0557411272716
205,auditory,independent,auditory_pretrained_embeddings,contrastive,128,1,2677.1783646899207
206,auditory,independent,auditory_pretrained_embeddings,contrastive,128,2,2477.448242502455
207,auditory,independent,auditory_pretrained_embeddings,contrastive,128,3,2952.487562927942
208,auditory,independent,ast_embeds,VAE,128,0,2073.650316236866
209,auditory,independent,ast_embeds,VAE,128,1,2265.2941358729836
210,auditory,independent,ast_embeds,VAE,128,2,1667.9882469389504
211,auditory,independent,ast_embeds,VAE,128,3,2180.1336215028737
212,auditory,independent,ast_embeds,VAE,128,0,1929.6775809528226
213,auditory,independent,ast_embeds,VAE,128,1,1758.3073466943658
214,auditory,independent,ast_embeds,VAE,128,2,2310.724762623954
215,auditory,independent,ast_embeds,VAE,128,3,2002.6140081533977
216,auditory,taskconditioned,raw,autoencoder,128,0,2126.569907855743
217,auditory,taskconditioned,raw,autoencoder,128,1,2156.568414270528
218,auditory,taskconditioned,raw,autoencoder,128,2,2121.2494255092056
219,auditory,taskconditioned,raw,autoencoder,128,3,2429.128863419549
220,auditory,taskconditioned,raw,autoencoder,128,0,2273.1151487320135
221,auditory,taskconditioned,raw,autoencoder,128,1,2257.042867667971
222,auditory,taskconditioned,raw,autoencoder,128,2,2137.938893015113
223,auditory,taskconditioned,raw,autoencoder,128,3,2104.809865900396
224,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,0,2568.839166010912
225,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive+autoencoder,128,1,3029.7196902025503
